corpus,stratum,metric,statistic,eligible_units,estimate,ci95_low,ci95_high,status
ideatrail,default/train,any_prior_explore,mean,4,,,,N/A
ideatrail,default/train,prior_explore_calls,median,4,,,,N/A
ideatrail,default/train,same_path_share,mean,4,,,,N/A
ideatrail,default/train,same_module_share,mean,4,,,,N/A
ideatrail,default/train,cross_module_share,mean,4,,,,N/A
ideatrail,default/train,observed_module_returns,median,4,,,,N/A
ideatrail,default/train,return_gap_median_calls,median,4,,,,N/A
ideatrail,default/train,top_target_share,median,4,,,,N/A
ideatrail,default/train,target_hhi,median,4,,,,N/A
ideatrail,default/train,mutated_path_read_before_share,median,4,,,,N/A
ideatrail,default/train,mutated_path_mutated_again_share,median,4,,,,N/A
openswe,openhands/minimax_m25,any_prior_explore,mean,1,,,,N/A
openswe,openhands/minimax_m25,prior_explore_calls,median,1,,,,N/A
openswe,openhands/minimax_m25,same_path_share,mean,1,,,,N/A
openswe,openhands/minimax_m25,same_module_share,mean,1,,,,N/A
openswe,openhands/minimax_m25,cross_module_share,mean,1,,,,N/A
openswe,openhands/minimax_m25,observed_module_returns,median,1,,,,N/A
openswe,openhands/minimax_m25,return_gap_median_calls,median,1,,,,N/A
openswe,openhands/minimax_m25,top_target_share,median,1,,,,N/A
openswe,openhands/minimax_m25,target_hhi,median,1,,,,N/A
openswe,openhands/minimax_m25,mutated_path_read_before_share,median,1,,,,N/A
openswe,openhands/minimax_m25,mutated_path_mutated_again_share,median,1,,,,N/A
openswe,openhands/qwen35_122b,any_prior_explore,mean,1,,,,N/A
openswe,openhands/qwen35_122b,prior_explore_calls,median,1,,,,N/A
openswe,openhands/qwen35_122b,same_path_share,mean,1,,,,N/A
openswe,openhands/qwen35_122b,same_module_share,mean,1,,,,N/A
openswe,openhands/qwen35_122b,cross_module_share,mean,1,,,,N/A
openswe,openhands/qwen35_122b,observed_module_returns,median,1,,,,N/A
openswe,openhands/qwen35_122b,return_gap_median_calls,median,1,,,,N/A
openswe,openhands/qwen35_122b,top_target_share,median,1,,,,N/A
openswe,openhands/qwen35_122b,target_hhi,median,1,,,,N/A
openswe,openhands/qwen35_122b,mutated_path_read_before_share,median,1,,,,N/A
openswe,openhands/qwen35_122b,mutated_path_mutated_again_share,median,1,,,,N/A
openswe,sweagent/minimax_m25,any_prior_explore,mean,1,,,,N/A
openswe,sweagent/minimax_m25,prior_explore_calls,median,1,,,,N/A
openswe,sweagent/minimax_m25,same_path_share,mean,1,,,,N/A
openswe,sweagent/minimax_m25,same_module_share,mean,1,,,,N/A
openswe,sweagent/minimax_m25,cross_module_share,mean,1,,,,N/A
openswe,sweagent/minimax_m25,observed_module_returns,median,1,,,,N/A
openswe,sweagent/minimax_m25,return_gap_median_calls,median,1,,,,N/A
openswe,sweagent/minimax_m25,top_target_share,median,1,,,,N/A
openswe,sweagent/minimax_m25,target_hhi,median,1,,,,N/A
openswe,sweagent/minimax_m25,mutated_path_read_before_share,median,1,,,,N/A
openswe,sweagent/minimax_m25,mutated_path_mutated_again_share,median,1,,,,N/A
openswe,sweagent/qwen35_122b,any_prior_explore,mean,1,,,,N/A
openswe,sweagent/qwen35_122b,prior_explore_calls,median,1,,,,N/A
openswe,sweagent/qwen35_122b,same_path_share,mean,1,,,,N/A
openswe,sweagent/qwen35_122b,same_module_share,mean,1,,,,N/A
openswe,sweagent/qwen35_122b,cross_module_share,mean,1,,,,N/A
openswe,sweagent/qwen35_122b,observed_module_returns,median,1,,,,N/A
openswe,sweagent/qwen35_122b,return_gap_median_calls,median,1,,,,N/A
openswe,sweagent/qwen35_122b,top_target_share,median,1,,,,N/A
openswe,sweagent/qwen35_122b,target_hhi,median,1,,,,N/A
openswe,sweagent/qwen35_122b,mutated_path_read_before_share,median,1,,,,N/A
openswe,sweagent/qwen35_122b,mutated_path_mutated_again_share,median,1,,,,N/A
