project,vendor,session_id,visibility_class,record_type_or_policy,count
ActPlane,claude,claude:029626e5-7e67-4ba3-a1a0-7255de9d6169,permission_policy_configuration,bypassPermissions,46
ActPlane,claude,claude:04ca59d2-9389-4832-9d65-692027b16da3,permission_policy_configuration,bypassPermissions,315
ActPlane,claude,claude:05f051df-f61c-4935-8da8-71a0965bc3dc,permission_policy_configuration,bypassPermissions,5
ActPlane,claude,claude:0c5b2a39-44f8-4ab8-a856-5a35821f9403,permission_policy_configuration,bypassPermissions,3
ActPlane,claude,claude:0ccecb8d-f285-4ec8-9322-f80a3ca25226,permission_policy_configuration,bypassPermissions,16
ActPlane,claude,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,permission_policy_configuration,bypassPermissions,51
ActPlane,claude,claude:1206cca6-d292-4d81-b609-57ee8382c2c0,permission_policy_configuration,bypassPermissions,74
ActPlane,claude,claude:12383b64-0b12-42b5-a80e-2a5dc3f38910,permission_policy_configuration,bypassPermissions,3
ActPlane,claude,claude:18531398-00eb-4bb8-816f-6995a2fc07ed,permission_policy_configuration,bypassPermissions,15
ActPlane,claude,claude:22ffeddd-8777-4e05-af12-df96fd639138,permission_policy_configuration,bypassPermissions,39
ActPlane,claude,claude:246029ca-1cda-47a4-9a34-973c3c704c24,permission_policy_configuration,bypassPermissions,77
ActPlane,claude,claude:2a49a297-1f98-4407-848c-47ac6e223cc6,permission_policy_configuration,bypassPermissions,129
ActPlane,claude,claude:34ae67ce-04dd-4b4b-b940-f7134b5e4dbf,permission_policy_configuration,bypassPermissions,1
ActPlane,claude,claude:393f5e75-5e69-4577-8b87-2650cedb497d,permission_policy_configuration,bypassPermissions,1
ActPlane,claude,claude:3bfa6632-02db-43d0-af47-9c23f6508142,permission_policy_configuration,acceptEdits,1
ActPlane,claude,claude:3bfa6632-02db-43d0-af47-9c23f6508142,permission_policy_configuration,auto,9
ActPlane,claude,claude:3d4a3d7b-1732-4142-83b6-8da1a8dfbd5c,permission_policy_configuration,bypassPermissions,1
ActPlane,claude,claude:47e5bf9f-e50e-41cc-aefa-caa6f7f8c61d,permission_policy_configuration,default,1
ActPlane,claude,claude:4baa7d18-aef3-49bb-92c7-88330a60a1ae,permission_policy_configuration,auto,1
