contrast,scope,project,vendor,group,sessions,direction_claim_allowed,agent_actions_sum,agent_actions_median,agent_actions_q25,agent_actions_q75,mutations_sum,mutations_median,mutations_q25,mutations_q75,mutation_density_mean,mutation_density_median,mutation_density_q25,mutation_density_q75,nondelete_eligible_mutations,reuse_observed,reuse_competing_delete,reuse_competing_supersede,reuse_censored_end,reuse_missing,reuse_observed_pooled_rate,reuse_session_rate_median,validation_observed,validation_competing_supersede,validation_censored_end,validation_missing,validation_observed_pooled_rate,validation_session_rate_median
session_style,overall_project_attributed,ALL,ALL,startup_only,337,True,4771.0,7.0,1.0,20.0,130.0,0.0,0.0,0.0,2.8083243730319447,0.0,0.0,0.0,127,121,3,0,3,0,0.952755905511811,1.0,40,87,0,0,0.31496062992125984,0.5
session_style,overall_project_attributed,ALL,ALL,guided,196,True,174316.0,216.5,80.5,555.0,13765.0,6.0,0.0,47.0,12.03012758160893,1.8752665512656481,0.0,21.189213340635902,13000,12206,60,0,734,0,0.938923076923077,0.993421052631579,3849,9066,85,0,0.29607692307692307,0.2108843537414966
session_style,project_vendor,agentsight,claude,startup_only,96,True,1590.0,14.0,6.75,22.0,36.0,0.0,0.0,0.0,2.203799061157932,0.0,0.0,0.0,35,32,3,0,0,0,0.9142857142857143,1.0,12,23,0,0,0.34285714285714286,1.0
session_style,project_vendor,agentsight,claude,guided,27,True,10935.0,231.0,77.5,600.0,1853.0,15.0,4.5,97.5,14.956699388225688,11.76470588235294,2.6669758812615956,21.759712342306813,1837,1782,1,0,54,0,0.9700598802395209,1.0,432,1405,0,0,0.2351660315732172,0.4079593751724899
session_style,project_vendor,agentsight,codex,startup_only,118,True,268.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,agentsight,codex,guided,46,True,82825.0,255.5,87.75,717.5,4688.0,0.0,0.0,3.0,1.074674883171277,0.0,0.0,1.1547034349642578,4232,3755,33,0,444,0,0.8872873345935728,0.887093722804495,2005,2180,47,0,0.4737712665406427,1.0
session_style,project_vendor,agentsight,gemini,startup_only,2,False,27.0,13.5,13.25,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,agentsight,gemini,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,ActPlane,claude,startup_only,20,True,446.0,20.0,14.75,28.0,2.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,ActPlane,claude,guided,42,True,17548.0,218.5,86.75,420.75,5065.0,51.5,10.75,109.75,25.248410795311173,23.149517434620172,12.609900036131519,39.131097560975604,5043,4931,5,0,107,0,0.9777909974221694,1.0,817,4224,2,0,0.1620067420186397,0.11033434650455927
session_style,project_vendor,ActPlane,codex,startup_only,44,True,1246.0,29.5,10.75,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,ActPlane,codex,guided,33,True,46998.0,266.0,131.0,1098.0,782.0,0.0,0.0,3.0,0.8855363467829817,0.0,0.0,0.2967359050445104,561,511,14,0,36,0,0.910873440285205,0.5833333333333333,393,166,2,0,0.7005347593582888,1.0
session_style,project_vendor,ActPlane,gemini,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,ActPlane,gemini,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,bpf-developer-tutorial,claude,startup_only,21,True,345.0,11.0,6.0,18.0,46.0,1.0,0.0,2.0,24.394216894216896,16.666666666666664,0.0,50.0,46,46,0,0,0,0,1.0,1.0,15,31,0,0,0.32608695652173914,0.5
session_style,project_vendor,bpf-developer-tutorial,claude,guided,10,True,707.0,62.0,27.75,110.5,218.0,16.5,6.0,33.75,29.627677634865584,24.2503259452412,21.34502923976608,39.0688501075783,217,200,0,0,17,0,0.9216589861751152,1.0,23,184,10,0,0.10599078341013825,0.08488964346349745
session_style,project_vendor,bpf-developer-tutorial,codex,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,bpf-developer-tutorial,codex,guided,2,False,556.0,278.0,244.0,312.0,15.0,7.5,3.75,11.25,3.571428571428571,3.571428571428571,1.7857142857142856,5.357142857142857,15,8,0,0,7,0,0.5333333333333333,0.5333333333333333,7,8,0,0,0.4666666666666667,0.4666666666666667
session_style,project_vendor,bpf-developer-tutorial,gemini,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,bpf-developer-tutorial,gemini,guided,1,False,17.0,17.0,17.0,17.0,4.0,4.0,4.0,4.0,23.52941176470588,23.52941176470588,23.52941176470588,23.52941176470588,4,3,0,0,1,0,0.75,0.75,2,2,0,0,0.5,0.5
session_style,project_vendor,eunomia.dev,claude,startup_only,15,True,268.0,16.0,10.5,21.5,23.0,0.0,0.0,2.0,6.537806637806637,0.0,0.0,11.011904761904763,23,22,0,0,1,0,0.9565217391304348,1.0,6,17,0,0,0.2608695652173913,0.5
session_style,project_vendor,eunomia.dev,claude,guided,9,False,3048.0,282.0,53.0,365.0,529.0,22.0,0.0,63.0,13.99687592504454,6.528189910979229,0.0,17.12538226299694,514,491,1,0,22,0,0.9552529182879378,0.9841269841269841,64,450,0,0,0.1245136186770428,0.23636363636363636
session_style,project_vendor,eunomia.dev,codex,startup_only,9,False,413.0,34.0,24.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,eunomia.dev,codex,guided,14,True,9930.0,388.5,109.5,1095.5,187.0,1.0,0.0,9.75,1.399343826954383,0.35009351526334465,0.0,0.9616380873439361,157,137,5,0,15,0,0.8726114649681529,0.8055555555555556,71,81,5,0,0.45222929936305734,0.6666666666666667
session_style,project_vendor,eunomia.dev,gemini,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,eunomia.dev,gemini,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,agentskill-observability-paper,claude,startup_only,1,False,15.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,5,5,0,0,0,0,1.0,1.0,0,5,0,0,0.0,0.0
session_style,project_vendor,agentskill-observability-paper,claude,guided,6,False,957.0,60.5,15.75,295.75,191.0,21.5,3.25,41.25,21.31755569669477,20.349187236604457,13.920454545454547,23.129139072847682,191,170,0,0,21,0,0.8900523560209425,0.8995668034655723,9,168,14,0,0.04712041884816754,0.0
session_style,project_vendor,agentskill-observability-paper,codex,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,agentskill-observability-paper,codex,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,agentskill-observability-paper,gemini,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,agentskill-observability-paper,gemini,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,academic-writing-skills,claude,startup_only,11,True,153.0,9.0,3.5,22.5,18.0,0.0,0.0,2.0,7.73645546372819,0.0,0.0,9.722222222222223,18,16,0,0,2,0,0.8888888888888888,0.8571428571428571,7,11,0,0,0.3888888888888889,0.2857142857142857
session_style,project_vendor,academic-writing-skills,claude,guided,6,False,795.0,99.5,73.0,212.25,233.0,24.5,2.25,58.75,35.761008116886735,42.645582329317264,9.656954887218046,59.00661469407039,229,218,1,0,10,0,0.9519650655021834,0.9366918103448276,26,198,5,0,0.11353711790393013,0.07197273456295109
session_style,project_vendor,academic-writing-skills,codex,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,academic-writing-skills,codex,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,academic-writing-skills,gemini,startup_only,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
session_style,project_vendor,academic-writing-skills,gemini,guided,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,overall_project_attributed,ALL,ALL,low,107,True,3182.0,24.0,11.5,36.0,86.0,0.0,0.0,0.0,2.4556956196041853,0.0,0.0,0.0,83,74,1,0,8,0,0.891566265060241,1.0,13,65,5,0,0.1566265060240964,0.2857142857142857
guidance_density_tertiles,overall_project_attributed,ALL,ALL,high,73,True,41467.0,199.0,65.0,453.0,2605.0,6.0,0.0,47.0,13.76003730936651,0.8411363275670528,0.0,23.333333333333332,2434,2323,4,0,107,0,0.9543960558751027,0.9887740183792815,314,2111,9,0,0.12900575184880855,0.11033434650455927
guidance_density_tertiles,project_vendor,agentsight,claude,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,agentsight,claude,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,agentsight,codex,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
