corpus,stratum,cluster_id,row_id,tool_calls,shell_calls,shell_share,path_calls,path_transitions,local_path_transitions,same_path_transitions,same_module_only_transitions,cross_module_transitions,path_locality_share,module_return_calls,module_return_call_share,path_instances,reused_path_instances,path_reuse_share,path_read_instances,repeated_path_read_instances,repeat_path_read_share,top_path_share,unique_target_paths,top_path_excess,late_path_reread_delta
ideatrail,default/train,efficient-real-time-video-generation,018_top1_l1_003_01_04_07,88,0,0.0,52,51,42,7,35,9,0.8235294117647058,8,0.15384615384615385,52,24,0.46153846153846156,46,19,0.41304347826086957,0.11538461538461539,28,0.07967032967032968,0.2681818181818182
ideatrail,default/train,automatic-3d-scene-generation,033_top1_l1_003_02_02_02,99,0,0.0,63,62,51,17,34,11,0.8225806451612904,10,0.15873015873015872,63,36,0.5714285714285714,48,22,0.4583333333333333,0.25396825396825395,27,0.21693121693121692,0.381578947368421
ideatrail,default/train,efficient-large-model-training,070_top1_l1_005_02_07,143,0,0.0,78,77,68,29,39,9,0.8831168831168831,8,0.10256410256410256,78,40,0.5128205128205128,58,21,0.3620689655172414,0.2692307692307692,38,0.242914979757085,0.7307692307692307
ideatrail,default/train,learning-from-imperfect-supervision,116_top1_l1_009_04_02,100,0,0.0,70,69,68,33,35,1,0.9855072463768116,0,0.0,70,44,0.6285714285714286,60,34,0.5666666666666667,0.24285714285714285,26,0.2043956043956044,0.9166666666666666
ideatrail,default/train,fast-diffusion-language-model-generation,139_top1_l1_016_01_06,91,0,0.0,51,50,36,6,30,14,0.72,13,0.2549019607843137,51,20,0.39215686274509803,43,13,0.3023255813953488,0.1568627450980392,31,0.12460468058191018,0.3333333333333333
ideatrail,default/train,world-models-long-horizon-planning,b2_017_2510_00739,110,0,0.0,66,65,44,15,29,21,0.676923076923077,20,0.30303030303030304,66,31,0.4696969696969697,50,17,0.34,0.19696969696969696,35,0.16839826839826838,0.631578947368421
ideatrail,default/train,inference-time-compute-scaling,b2_020_2510_02263,72,0,0.0,49,48,41,16,25,7,0.8541666666666666,6,0.12244897959183673,49,18,0.3673469387755102,43,14,0.32558139534883723,0.24489795918367346,31,0.21263989466754443,0.7142857142857143
ideatrail,default/train,cross-domain-generalization-data-scarcity,b2_028_2510_06377,110,0,0.0,68,67,52,13,39,15,0.7761194029850746,14,0.20588235294117646,68,37,0.5441176470588235,62,32,0.5161290322580645,0.14705882352941177,31,0.11480075901328274,0.84
ideatrail,default/train,multimodal-spatial-reasoning-survey,b2_033_2510_08531,151,0,0.0,112,111,102,32,70,9,0.918918918918919,7,0.0625,112,52,0.4642857142857143,83,31,0.37349397590361444,0.16071428571428573,60,0.14404761904761906,0.5948616600790513
ideatrail,default/train,learned-world-models-embodied-control,b2_051_2510_18135,124,0,0.0,70,69,60,13,47,9,0.8695652173913043,8,0.11428571428571428,70,31,0.44285714285714284,62,24,0.3870967741935484,0.14285714285714285,39,0.11721611721611722,0.6133333333333334
ideatrail,default/train,cross-domain-generalization-distribution-shift,b2_067_2511_02331,136,0,0.0,102,101,92,34,58,9,0.9108910891089109,8,0.0784313725490196,102,48,0.47058823529411764,93,41,0.44086021505376344,0.16666666666666666,54,0.14814814814814814,0.698136645962733
ideatrail,default/train,multi-agent-ai-security-threats,b3_034_2509_07553,125,0,0.0,99,98,89,27,62,9,0.9081632653061225,8,0.08080808080808081,99,47,0.47474747474747475,80,31,0.3875,0.20202020202020202,52,0.18278943278943277,0.5542857142857143
