metric,metric_label,eligible_cells,mean,sd,cv,cv_cell_bootstrap_ci95_low,cv_cell_bootstrap_ci95_high,direction_contrast_available,modal_direction,direction_consistency,leave_one_cell_out_invariant_stability,eligible_projects,eligible_vendors,complete_claude_codex_pairs,paired_grid_complete,project_rank_spearman,vendor_direction_consistency,median_codex_minus_claude,project_ss_share,vendor_ss_share,interaction_ss_share,leave_one_project_out_shape_stability,external_status,classification,evidence_sufficiency,classification_status,evidence
artifact_reuse_access_share,Stable-identity access reuse,8,0.8800348962811406,0.06606701694816888,0.0750731786061615,0.017174938422001337,0.1060640309062248,False,0,0.0,0.0,5,2,3,True,0.5,1.0,-0.06777044232245266,0.2520808084542201,0.6175719967200294,0.1303471948257505,0.6666666666666666,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.62, vendor sign=1.00, project SS=0.25"
top10_session_call_share,Top-10% session call concentration,8,0.6577294622083493,0.1651806863014809,0.25113773335754347,0.1281076430012779,0.30742895232469725,False,0,0.0,0.0,5,2,3,True,0.5,0.6666666666666666,0.17627269815333224,0.5718282531988262,0.18814469709725073,0.24002704970392305,0.3333333333333333,descriptive_magnitude,idiosyncratic,sufficient,classified,"eligible=8, CV=0.251, direction=0.00, external=descriptive_magnitude"
path_locality_share,Within-session path locality,8,0.8811344508210484,0.07791325351143912,0.0884237966621767,0.04799033949971538,0.11082681257738436,True,1,1.0,1.0,5,2,3,True,0.5,1.0,-0.08576660677380132,0.43954927635652685,0.4614708646273036,0.09897985901616958,0.3333333333333333,replicated_direction,invariant-candidate,sufficient,classified,"CV=0.088, direction=1.00, external=replicated_direction"
same_prompt_repeat_read_share,Same-prompt repeated identity reads,8,0.2907645511511519,0.177423946505755,0.6101979962939925,0.2976954505993795,0.8801308656048061,False,0,0.0,0.0,5,2,3,True,0.5,1.0,0.189965095660115,0.4274818928557512,0.5426604859813386,0.029857621162910058,0.6666666666666666,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.54, vendor sign=1.00, project SS=0.43"
shell_share,Shell tool share,8,0.5043869416800756,0.19438546013891767,0.3853895572542661,0.2186147731535415,0.4498805374187907,False,0,0.0,0.0,5,2,3,True,0.5,1.0,0.29292284119579826,0.13126564254323095,0.8331092186670561,0.03562513878971289,1.0,harness-shaped,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.83, vendor sign=1.00, project SS=0.13"
shell_shell_bigram_share,Shell→shell bigram share,8,0.40523939972808604,0.17018914983596298,0.41997187329306873,0.22849446056986913,0.5079241442680575,True,1,1.0,0.0,5,2,3,True,0.5,1.0,0.28381716821581,0.16694196889979782,0.7907163924571511,0.04234163864305118,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.79, vendor sign=1.00, project SS=0.17"
zero_decisive_validation_session_share,Sessions with zero decisive validation,8,0.7104655130953033,0.13607849611734305,0.191534273809416,0.09684164958374487,0.23556687558293585,False,0,0.0,0.0,5,2,3,True,-0.5,0.6666666666666666,-0.17720988688730632,0.3616084025103576,0.1555904343151346,0.4828011631745078,0.6666666666666666,N/A,idiosyncratic,sufficient,classified,"eligible=8, CV=0.192, direction=0.00, external=N/A"
startup_extended_excess_median,Startup extended-proxy excess (first 10 − calls 11–20),7,0.035714285714285705,0.04755948656056709,1.3316656236958788,0.5879447357921316,2.6457513110645907,True,1,0.42857142857142855,0.0,4,2,3,True,-0.8660254037844387,0.6666666666666666,0.04999999999999993,0.06896551724137952,0.034482758620689585,0.8965517241379309,0.6666666666666666,N/A,idiosyncratic,sufficient,classified,"eligible=7, CV=1.332, direction=0.43, external=N/A"
late_reread_delta_median,Late-minus-early reread share (median),5,0.21602420004703124,0.04992210793171226,0.23109497880720575,0.10615526492502007,0.2994095123160856,True,1,1.0,1.0,3,2,2,False,,,,,,,,undercovered,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=5, CV=0.231, direction=1.00, external=undercovered"
dormant_revival_transition_share,Dormant revival among repeat touches,8,0.18846463980158643,0.11196002334335617,0.5940638172827885,0.2927282513345804,0.8217598798331128,False,0,0.0,0.0,5,2,3,True,0.5,1.0,0.1499562327776732,0.19518174993061158,0.7451242456788384,0.059694004390550136,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.75, vendor sign=1.00, project SS=0.20"
decisive_failure_rate,Decisive Tool-call failure rate,8,0.036387490901097906,0.009743492483016833,0.26777038596862546,0.1522586318388208,0.3221764051947441,False,0,0.0,0.0,5,2,3,True,-0.5,1.0,0.016421610173716572,0.07403543106627217,0.7904351882638597,0.13552938066986808,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.79, vendor sign=1.00, project SS=0.07"
bigram_entropy_bits,Tool-family bigram entropy,8,2.8320898414092923,0.6271452606782404,0.2214425727279058,0.12178037881654369,0.26475816577793104,False,0,0.0,0.0,5,2,3,True,1.0,1.0,-1.3383190049163858,0.06007749307131007,0.9382377954321589,0.0016847114965310675,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.94, vendor sign=1.00, project SS=0.06"
shell_burst_p90,Same-prompt shell-burst p90,8,8.75,3.4121631178560534,0.38996149918354894,0.17494595882028435,0.48812397902508764,False,0,0.0,0.0,5,2,3,True,0.8660254037844387,1.0,4.0,0.2190284196699139,0.7132846235444198,0.06768695678566634,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.71, vendor sign=1.00, project SS=0.22"
module_return_call_share,Within-session module-return call share,8,0.10257299756302798,0.07977293855604979,0.7777187023030281,0.41004412959872666,1.103395902632306,False,0,0.0,0.0,5,2,3,True,1.0,1.0,0.11320780167088162,0.2976605535904268,0.626089975989619,0.07624947041995413,1.0,replicated_presence,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.63, vendor sign=1.00, project SS=0.30"
session_top_path_share_median,Per-session top-path share (median),8,0.3642282475846666,0.152575030989843,0.41889950052371,0.11518475140989075,0.581919432914044,False,0,0.0,0.0,5,2,3,True,0.0,0.6666666666666666,-0.1875245966155057,0.4401391322728031,0.016085260677033975,0.5437756070501628,0.6666666666666666,descriptive_magnitude,idiosyncratic,sufficient,classified,"eligible=8, CV=0.419, direction=0.00, external=descriptive_magnitude"
