project,method,repetition,source_bytes,input_bytes,output_bytes,tool_result_bytes,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,model_calls,tool_calls,build_seconds,query_seconds,wall_seconds,peak_rss_kib,terminal_status
agentsight,raw_model,1,130186388,639,3998,500656,849074,743424,9708,4998,1,14,0.0,202.65335416898597,202.65335416898597,156552,complete
agentsight,raw_model,2,130186388,639,4736,254081,1138128,1047808,17003,7059,1,18,0.0,341.14820495201275,341.14820495201275,151068,complete
agentsight,raw_model,3,130186388,639,0,1420969,0,0,0,0,1,10,0.0,70.58750426297775,70.58750426297775,158748,boundary_violation:tool_result_byte_cap
ActPlane,raw_model,1,47043331,637,3849,513555,634814,554240,11183,5005,1,12,0.0,223.02998285699869,223.02998285699869,154668,complete
ActPlane,raw_model,2,47043331,637,4215,540277,1672742,1575936,19197,10165,1,25,0.0,384.7538922490203,384.7538922490203,160636,complete
ActPlane,raw_model,3,47043331,637,3677,758452,1209913,1115648,13567,6467,1,19,0.0,284.40729135100264,284.40729135100264,151588,complete
bpf-developer-tutorial,raw_model,1,6796786,651,0,1695314,0,0,0,0,1,9,0.0,84.65994133002823,84.65994133002823,151684,boundary_violation:tool_result_byte_cap
bpf-developer-tutorial,raw_model,2,6796786,651,0,1060157,0,0,0,0,1,4,0.0,26.170848075009417,26.170848075009417,160040,boundary_violation:tool_result_byte_cap
bpf-developer-tutorial,raw_model,3,6796786,651,0,1256841,0,0,0,0,1,6,0.0,37.8869403389981,37.8869403389981,155752,boundary_violation:tool_result_byte_cap
eunomia.dev,raw_model,1,21923708,640,5719,207312,1572865,1485056,23559,10294,1,28,0.0,491.2654992620228,491.2654992620228,160084,complete
eunomia.dev,raw_model,2,21923708,640,4903,294508,964628,865280,18219,7182,1,18,0.0,364.3467857699725,364.3467857699725,155668,complete
eunomia.dev,raw_model,3,21923708,640,4503,554873,1942913,1840384,17451,7696,1,30,0.0,357.23580468801083,357.23580468801083,161216,complete
agentskill-observability-paper,raw_model,1,6602732,659,0,1243208,0,0,0,0,1,11,0.0,82.34132441005204,82.34132441005204,150404,boundary_violation:tool_result_byte_cap
agentskill-observability-paper,raw_model,2,6602732,659,6776,363622,363071,304640,11763,5324,1,10,0.0,224.743646507035,224.743646507035,154432,complete
agentskill-observability-paper,raw_model,3,6602732,659,6136,120298,767399,709120,10436,4686,1,17,0.0,234.2995946650044,234.2995946650044,153948,complete
academic-writing-skills,raw_model,1,8934935,652,6391,646692,654421,578304,11979,4588,1,13,0.0,233.33608867798466,233.33608867798466,169200,complete
academic-writing-skills,raw_model,2,8934935,652,7557,277971,889971,827392,14916,4280,1,21,0.0,296.2886074499693,296.2886074499693,152564,complete
academic-writing-skills,raw_model,3,8934935,652,5557,167459,774895,697600,14225,4215,1,17,0.0,283.2574442580226,283.2574442580226,159744,complete
