project,variant,threshold_value,threshold_unit,observed_artifacts,multi_touch_artifacts,revived_artifacts,revived_share_all_artifacts,revived_share_multi_touch_artifacts,revival_transitions,lifecycle_episodes,mutation_bearing_episodes,median_active_mutation_span_actions,p90_active_mutation_span_actions,median_active_mutation_span_hours,p90_active_mutation_span_hours,median_gap_intervening_actions,p90_gap_intervening_actions,median_gap_elapsed_hours,p90_gap_elapsed_hours,cross_session_revivals,mutation_revivals
agentsight,action_gap_gt_100,100,intervening_tool_actions,3287,1856,1269,0.38606632187404927,0.6837284482758621,6859,10146,2321,1.0,92.0,0.0,0.25078666666666666,351.0,5027.799999999999,1.367325,68.25360388888889,1843,202
agentsight,time_gap_gt_24h,24.0,elapsed_hours,3287,1856,524,0.15941588074231822,0.2823275862068966,1091,4378,1741,1.0,258.0,0.0,1.0015536111111112,6362.0,24469.0,83.35728,409.6928836111111,651,18
ActPlane,action_gap_gt_100,100,intervening_tool_actions,1834,881,660,0.35986913849509267,0.7491486946651532,3512,5346,1152,1.0,126.90000000000009,0.0,0.5206775555555587,469.5,5014.0,3.6545406944444445,90.4833411666667,1398,132
ActPlane,time_gap_gt_24h,24.0,elapsed_hours,1834,881,382,0.20828789531079608,0.4335981838819523,801,2635,712,1.0,1041.3999999999994,0.0,8.041927888888889,4302.0,26980.0,80.82214,279.2176313888889,716,16
bpf-developer-tutorial,action_gap_gt_100,100,intervening_tool_actions,170,98,42,0.24705882352941178,0.42857142857142855,73,243,49,12.0,108.80000000000008,0.13233083333333334,11.81962561111111,271.0,661.1999999999999,12.858602777777778,3217.3869198888888,68,7
bpf-developer-tutorial,time_gap_gt_24h,24.0,elapsed_hours,170,98,21,0.12352941176470589,0.21428571428571427,26,196,34,15.5,816.7999999999998,0.28668027777777777,24.791949416666657,518.5,951.5,682.8800630555556,3234.8340340277778,26,5
eunomia.dev,action_gap_gt_100,100,intervening_tool_actions,360,243,174,0.48333333333333334,0.7160493827160493,805,1165,181,1.0,114.0,0.0,0.5183902777777778,449.0,2339.000000000001,15.471715277777777,1059.7093949444445,480,9
eunomia.dev,time_gap_gt_24h,24.0,elapsed_hours,360,243,144,0.4,0.5925925925925926,349,709,148,1.0,289.1000000000002,0.0,1.5355273888888927,1119.0,3688.3999999999996,267.8343652777778,1800.380803388889,342,2
agentskill-observability-paper,action_gap_gt_100,100,intervening_tool_actions,25,5,3,0.12,0.6,4,29,22,1.0,100.00000000000023,0.0,0.25543825000000064,114.5,174.40000000000003,0.4993234722222222,0.8860021666666668,1,0
agentskill-observability-paper,time_gap_gt_24h,24.0,elapsed_hours,25,5,0,0.0,0.0,0,25,21,1.0,238.0,0.0,0.2838202777777778,,,,,0,0
academic-writing-skills,action_gap_gt_100,100,intervening_tool_actions,116,30,13,0.11206896551724138,0.43333333333333335,16,132,30,7.5,199.50000000000017,0.09193222222222222,60.32889713888889,167.5,360.5,41.62869388888889,635.4158344444445,14,2
academic-writing-skills,time_gap_gt_24h,24.0,elapsed_hours,116,30,18,0.15517241379310345,0.6,23,139,35,5.0,184.60000000000002,0.007991388888888888,16.745096888888888,39.0,343.8,60.19645416666667,605.2984504444445,23,1
