project,variant,threshold_value,threshold_unit,worktree_id,artifact_id,artifact_key,episode_ordinal,touch_count,mutation_touch_count,first_touch_event_index,last_touch_event_index,first_touch_ts_ms,last_touch_ts_ms,first_mutation_event_index,last_mutation_event_index,active_mutation_span_actions,active_mutation_span_hours,first_path,last_path
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001170,b5bc34dabe6aagentsight:a00001170,1,1,0,39379,39379,1782015611552,1782015611552,,,,,docs/visexp/out/local-real-session-flamegraph/tools-real-local.folded,docs/visexp/out/local-real-session-flamegraph/tools-real-local.folded
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001171,b5bc34dabe6aagentsight:a00001171,1,1,0,39380,39380,1782015611597,1782015611597,,,,,docs/visexp/out/local-real-session-flamegraph/tools-real-local.svg,docs/visexp/out/local-real-session-flamegraph/tools-real-local.svg
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,1,11,0,39419,39527,1782015725314,1782020454955,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,2,1,0,39648,39648,1782026866876,1782026866876,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,3,6,0,40360,40429,1782091340819,1782104089663,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,4,1,0,40612,40612,1782106084841,1782106084841,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,5,4,0,48030,48091,1783578773505,1783578899033,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,6,3,0,49168,49242,1783747056628,1783749040201,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,7,1,0,52323,52323,1783815410362,1783815410362,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,8,4,0,53027,53189,1783824114218,1783825486695,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,9,1,0,55097,55097,1783850682986,1783850682986,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,10,2,0,56869,56885,1783893335622,1783893570897,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,11,1,0,57905,57905,1783905622618,1783905622618,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,12,2,0,58522,58568,1783914131210,1783914942391,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,13,1,0,58731,58731,1783916933093,1783916933093,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,14,1,0,60563,60563,1783945130227,1783945130227,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,15,1,0,62521,62521,1783971274077,1783971274077,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,16,2,0,62758,62789,1783974195137,1783974360245,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,17,1,0,62960,62960,1783975734800,1783975734800,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,18,1,0,64343,64343,1783992785533,1783992785533,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,19,1,0,66623,66623,1784021832417,1784021832417,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
agentsight,action_gap_gt_100,100,intervening_tool_actions,b5bc34dabe6a,agentsight:a00001173,b5bc34dabe6aagentsight:a00001173,20,6,0,68368,68487,1784033130542,1784034346671,,,,,agentpprof/src/main.rs,agentpprof/src/main.rs
