project,variant,threshold_value,threshold_unit,observed_artifacts,multi_touch_artifacts,revived_artifacts,revived_share_all_artifacts,revived_share_multi_touch_artifacts,revival_transitions,lifecycle_episodes,mutation_bearing_episodes,median_active_mutation_span_actions,p90_active_mutation_span_actions,median_active_mutation_span_hours,p90_active_mutation_span_hours,median_gap_intervening_actions,p90_gap_intervening_actions,median_gap_elapsed_hours,p90_gap_elapsed_hours,cross_session_revivals,mutation_revivals
agentsight,action_gap_gt_100,100,intervening_tool_actions,3267,1853,1271,0.38904193449647995,0.6859147328656233,6856,10123,2321,1.0,92.0,0.0,0.25151555555555555,349.0,4965.5,1.3584834722222223,68.05856208333333,1839,197
agentsight,time_gap_gt_24h,24.0,elapsed_hours,3267,1853,526,0.16100397918579737,0.2838640043173233,1086,4353,1739,1.0,258.20000000000005,0.0,1.0039627777777784,6336.0,24449.0,83.12173305555555,409.56828430555555,646,17
ActPlane,action_gap_gt_100,100,intervening_tool_actions,1809,881,662,0.36594803758982863,0.7514188422247446,3518,5327,1146,1.0,127.0,0.0,0.5394140277777778,469.5,5014.0,3.6090925,90.87023019444459,1398,133
ActPlane,time_gap_gt_24h,24.0,elapsed_hours,1809,881,382,0.2111663902708679,0.4335981838819523,801,2610,706,1.0,1054.0,0.0,8.065001666666667,4288.0,27106.0,81.01073583333333,279.2339738888889,716,16
bpf-developer-tutorial,action_gap_gt_100,100,intervening_tool_actions,170,98,42,0.24705882352941178,0.42857142857142855,73,243,49,12.0,108.80000000000008,0.13233083333333334,11.81962561111111,271.0,661.1999999999999,12.858602777777778,3217.3869198888888,68,7
bpf-developer-tutorial,time_gap_gt_24h,24.0,elapsed_hours,170,98,21,0.12352941176470589,0.21428571428571427,26,196,34,15.5,816.7999999999998,0.28668027777777777,24.791949416666657,518.5,951.5,682.8800630555556,3234.8340340277778,26,5
eunomia.dev,action_gap_gt_100,100,intervening_tool_actions,360,243,174,0.48333333333333334,0.7160493827160493,805,1165,181,1.0,114.0,0.0,0.5183902777777778,449.0,2339.000000000001,15.471715277777777,1059.7093949444445,480,9
eunomia.dev,time_gap_gt_24h,24.0,elapsed_hours,360,243,144,0.4,0.5925925925925926,349,709,148,1.0,289.1000000000002,0.0,1.5355273888888927,1119.0,3688.3999999999996,267.8343652777778,1800.380803388889,342,2
agentskill-observability-paper,action_gap_gt_100,100,intervening_tool_actions,24,4,2,0.08333333333333333,0.5,3,27,22,1.0,100.00000000000023,0.0,0.25543825000000064,105.0,120.2,0.4259363888888889,0.5433557222222222,1,0
agentskill-observability-paper,time_gap_gt_24h,24.0,elapsed_hours,24,4,0,0.0,0.0,0,24,21,1.0,238.0,0.0,0.2838202777777778,,,,,0,0
academic-writing-skills,action_gap_gt_100,100,intervening_tool_actions,116,30,13,0.11206896551724138,0.43333333333333335,16,132,30,7.5,199.50000000000017,0.09193222222222222,60.32889713888889,167.5,360.5,41.62869388888889,635.4158344444445,14,2
academic-writing-skills,time_gap_gt_24h,24.0,elapsed_hours,116,30,18,0.15517241379310345,0.6,23,139,35,5.0,184.60000000000002,0.007991388888888888,16.745096888888888,39.0,343.8,60.19645416666667,605.2984504444445,23,1
