project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
agentsight,e58fce112c6e,0,1,1,3,7068792993,1591,True,,,0,18,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,1,2,3,1,358787149,671,False,49,3458170,48,82,6,13,3,0.5384615384615384,1.0,14,0,0,0,34,0,1,0,0,0,0
agentsight,e58fce112c6e,2,3,1,1,28651325,49,True,,,0,27,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,3,4,1,9,27024836,1164,True,,,0,6,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,4,5,9,1,483544,40,True,,,0,72,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,5,6,1,18,54820,6343,False,136,1362285,135,10,4,55,3,0.01818181818181818,1.0,18,39,5,0,73,0,0,1,0,0,0
agentsight,e58fce112c6e,6,7,18,15,79868,7241,False,1194,13663241,1193,221,8,67,5,0.5373134328358209,1.0,435,38,0,0,720,0,1,0,0,0,0
agentsight,e58fce112c6e,7,8,15,1,66283127,75,False,68,31633637,67,204,7,3,1,0.0,1.0,16,9,0,0,42,0,0,0,0,2,0
agentsight,e58fce112c6e,8,9,1,9,244121270,1566,False,390,6344884,389,24,4,11,1,0.0,1.0,14,81,0,0,294,0,0,0,0,1,0
agentsight,e58fce112c6e,9,10,9,1,117590,514,False,136,344819,135,56,3,52,4,0.3076923076923077,0.5,40,22,12,0,61,0,0,0,1,0,0
agentsight,e58fce112c6e,10,11,1,1,208305953,710,True,,,0,94,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,11,12,1,129,7964561,20327,False,456,33404792,455,38,3,235,6,0.0,0.3333333333333333,22,19,52,1,361,0,0,0,0,1,0
agentsight,e58fce112c6e,12,13,129,5,2289517,2151,False,36,495782,35,851,11,27,5,0.14814814814814814,0.8,17,5,0,0,13,0,1,0,0,0,0
agentsight,e58fce112c6e,13,14,5,1,112887595,27,False,22,8035255,21,95,11,4,1,0.25,1.0,5,3,0,0,13,1,0,0,0,0,0
agentsight,e58fce112c6e,14,15,1,1,2710894,34,True,,,0,8,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,15,16,1,3,308260179,514,False,311,172664416,310,1,1,1,1,0.0,0.0,0,0,44,0,266,0,0,0,0,1,0
agentsight,e58fce112c6e,16,17,3,1,32048,33,True,,,0,29,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,17,18,1,1,358945,16,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,18,19,1,2,83796,139,False,50,1179602,49,0,0,5,2,,,0,0,9,0,40,0,0,0,0,1,0
agentsight,e58fce112c6e,19,20,2,1,327168259,1,True,,,0,16,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,20,21,1,1,6527845,304,False,60,790113,59,1,1,17,2,0.0,0.0,0,1,13,0,45,0,0,0,0,1,0
agentsight,e58fce112c6e,21,22,1,70,255016533,29884,False,460,102853250,459,31,4,109,10,0.05504587155963303,0.4,7,29,10,0,413,0,0,0,0,1,0
agentsight,b5bc34dabe6a,0,1,1,1,875476921,1,True,,,0,20,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,b5bc34dabe6a,1,2,1,1,330190135,1,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,b5bc34dabe6a,2,3,1,1,1324954,307,False,12,618314,11,0,0,4,3,,,0,0,2,0,9,0,0,0,0,2,0
agentsight,b5bc34dabe6a,3,4,1,1,1157603,339,False,13,263969,12,35,4,3,1,0.6666666666666666,1.0,1,0,0,0,11,1,0,0,0,0,0
agentsight,b5bc34dabe6a,4,5,1,6,49415967,2842,False,34,186619,33,3,1,30,1,0.06666666666666667,1.0,4,3,0,0,26,1,0,0,0,0,0
agentsight,b5bc34dabe6a,5,6,6,20,89205850,20505,False,80,28090686,79,48,2,1087,7,0.007359705611775529,0.2857142857142857,7,4,0,0,68,0,1,0,0,0,0
ActPlane,3dae89cd06ae,0,1,1,8,3597939,1101,False,309,52027432,308,2,1,47,3,0.0,0.0,3,3,70,0,232,0,0,0,0,12,0
ActPlane,3dae89cd06ae,1,2,8,1,11234329,2,True,,,0,109,10,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,2,3,1,1,180153,12,True,,,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,3,4,1,1,162278,29,True,,,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,4,5,1,1,328664726,8,True,,,0,2,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,5,6,1,8,332033,2882,False,110,2921408,109,4,1,103,6,0.019417475728155338,0.16666666666666666,2,16,0,0,91,0,0,0,1,0,0
ActPlane,3dae89cd06ae,6,7,8,14,30488489,6647,False,10,484857,9,214,8,195,10,0.48717948717948717,0.7,7,0,0,0,2,1,0,0,0,0,0
