project,vendor,tool_events,status_ok_events,status_observed_events,status_fail_events,worktree_attributed_tool_events,source_action_rows,non_scope_action_rows,retained_non_scope_action_rows,scope_action_rows,scope_only_tool_events,no_resolved_path_tool_events,failed_without_resolved_path,failed_status_action_rows,path_resolved_units,ok_units,observed_units,identity_unknown_units,resolved_event_ids,resolved_worktree_calls,worktrees,module_names,module_keys,eligible_transitions,observed_returns,allocation_qualified,transition_qualified,revisit_qualified
agentsight,ALL,97586,77601,17409,2576,94052,39132,39003,38399,129,48,65277,2149,604,38333,32342,5991,0,31833,31837,3,27,39,31834,4641,True,True,True
agentsight,claude,12525,12173,4,348,12390,5434,5423,5276,11,5,7170,201,147,5272,5270,2,0,5203,5203,2,16,20,4875,435,False,False,False
agentsight,codex,85034,65403,17405,2226,81635,33688,33570,33113,118,43,58090,1946,457,33051,27062,5989,0,26620,26624,3,25,37,26292,4201,False,False,False
agentsight,gemini,27,25,0,2,27,10,10,10,0,0,17,2,0,10,10,0,0,10,10,1,4,4,8,5,False,False,False
ActPlane,ALL,66238,51305,12845,2088,65341,25499,25286,24992,213,94,42951,1837,294,24968,20502,4466,0,22942,22942,2,18,25,22940,2754,True,True,True
ActPlane,claude,17994,17489,24,481,17345,9520,9496,9297,24,10,8536,282,199,9295,9293,2,0,9249,9249,2,13,20,8872,481,False,False,False
ActPlane,codex,48244,33816,12821,1607,47996,15979,15790,15695,189,84,34415,1555,95,15673,11209,4464,0,13693,13693,1,15,15,13316,2273,False,False,False
bpf-developer-tutorial,ALL,1664,1493,89,82,1663,879,879,841,0,0,843,44,38,841,779,62,0,783,783,1,5,5,782,49,True,True,True
bpf-developer-tutorial,claude,1052,1001,0,51,1051,658,658,623,0,0,397,16,35,623,623,0,0,620,620,1,4,4,618,28,False,False,False
bpf-developer-tutorial,codex,595,475,89,31,595,206,206,203,0,0,444,28,3,203,141,62,0,148,148,1,4,4,146,21,False,False,False
bpf-developer-tutorial,gemini,17,17,0,0,17,15,15,15,0,0,2,0,0,15,15,0,0,15,15,1,2,2,14,0,False,False,False
eunomia.dev,ALL,13876,9769,3754,353,13393,3498,3484,3426,14,7,10882,313,58,3422,2901,521,0,2947,2947,2,17,18,2945,711,True,True,True
eunomia.dev,claude,3316,3236,1,79,3203,1043,1039,1021,4,2,2310,64,18,1021,1020,1,0,989,989,1,12,12,967,179,False,False,False
eunomia.dev,codex,10560,6533,3753,274,10190,2455,2445,2405,10,5,8572,249,40,2401,1881,520,0,1958,1958,2,13,14,1934,532,False,False,False
agentskill-observability-paper,ALL,991,948,0,43,990,464,464,438,0,0,527,17,26,438,438,0,0,438,438,1,1,1,437,0,True,False,False
agentskill-observability-paper,claude,991,948,0,43,990,464,464,438,0,0,527,17,26,438,438,0,0,438,438,1,1,1,437,0,False,False,False
academic-writing-skills,ALL,948,898,7,43,879,478,476,462,2,1,485,31,14,462,457,5,0,450,450,1,4,4,449,30,True,True,True
academic-writing-skills,claude,948,898,7,43,879,478,476,462,2,1,485,31,14,462,457,5,0,450,450,1,4,4,449,30,False,False,False
