project,worktree_id,component_index,start_ms,end_ms,session_count,session_ids,action_count,mutation_rows
agentsight,e58fce112c6e,0,1772761744423,1772762331845,1,codex:019cc0d4-edae-7e81-92e2-239691fed904,71,0
agentsight,e58fce112c6e,1,1779831124838,1779936706202,3,claude:016ba422-fb25-4e93-b8ae-a3d9aecd8b22;claude:bee8d813-49ba-4db2-9fc3-92b7d3a3fa8b;codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,1591,0
agentsight,e58fce112c6e,2,1780295493351,1780311116873,1,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,671,97
agentsight,e58fce112c6e,3,1780339768198,1780340936381,1,codex:019e8484-8844-7e21-9550-05074a58c4fc,49,0
agentsight,e58fce112c6e,4,1780367961217,1780423790645,9,claude:c05dad0c-e868-4c47-8cfe-9ba20260eae0;codex:019e8638-9b48-71d1-b01a-88363db4413e;codex:019e863f-e962-7051-a33c-cc708da4e49d;codex:019e8654-5a96-79f2-acdf-e9903d935394;codex:019e8654-5b1e-7d30-ae8a-0f1ccdc1cd50;codex:019e8654-5b71-7630-bb97-ddfeaba7fb93;codex:019e8654-5c03-7711-9b43-e0321887e2a2;codex:019e8713-2449-71e3-8358-d3310df82456;codex:019e8732-bb63-74c3-bb16-80c7899de248,1164,0
agentsight,e58fce112c6e,5,1780424274189,1780424405391,1,codex:019e898e-4f1d-74e2-aed5-0b765abeb25c,40,0
agentsight,e58fce112c6e,6,1780424460211,1780533741591,18,claude:04e5e953-5127-4e95-b90b-df7698898541;claude:0796efe9-9a09-4b20-9851-99186e85b086;claude:2ecd6fa9-3d86-4ad2-8367-24466e57efae;claude:2f7b5041-46aa-4858-800e-50d8a37a79a0;claude:46db4cd4-541a-4ac9-80b8-5adaaca37455;claude:64208586-89d5-41bf-b984-43b3279bed2d;claude:81d7b9b6-ad41-4188-a5e7-60929528cfeb;claude:c84b3339-55dc-4e91-8136-b1f5d4da7857;claude:d673ad35-b129-4e1e-a3ff-ed71deeedff9;claude:f88b54dc-0be7-45a8-8e44-86c344d1cd96;codex:019e8990-ece7-70d0-b469-b8d10527ef86;codex:019e899c-fc11-7d20-bc8d-8706747e90ab;codex:019e8a5c-9f7a-74c1-933b-5cd21c1646ad;codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5;codex:019e8eb8-4aa8-74b0-af35-f251ed73079b;codex:019e8f73-5e06-7751-9ee2-e0aadedc0755;codex:019e8fb7-7101-7252-a326-594a3daabb00;codex:019e8fd9-a945-7290-85e1-5adc35c8fb2c,6343,57
agentsight,e58fce112c6e,7,1780533821459,1780637288263,15,claude:047ce1aa-9d25-4596-9aaa-f3562206109b;claude:18cf8818-865b-44a4-8f5d-92c5d97a2c6d;claude:20f60818-1348-4e39-853d-2e6899dca7d0;claude:27edce40-cb64-4bb7-b352-e45966d4de5c;claude:34934785-8ee2-4f9c-be78-794bce7e1361;claude:5db7e4bd-3d95-46c0-8827-40cef1cf9f44;claude:5fe659c0-2292-4289-a994-f430779708b6;claude:7ad7c67d-e6e3-4e64-afa1-4327e4497858;codex:019e9014-8640-79d3-a482-8cf585a5c3db;codex:019e9124-dcca-7f93-8e21-0304362f59ac;codex:019e913b-eeb3-78a1-ba15-cad42eddf411;codex:019e918b-1f49-71d1-9677-3b7e73e80303;codex:019e91ad-cc38-7c23-a47a-f5e71fb1d14a;codex:019e9467-1ae0-7511-b8f1-1cc8570c039c;codex:019e953c-903e-71e1-b7d2-1ca9b4f952f0,7241,270
agentsight,e58fce112c6e,8,1780703571390,1780735228836,1,codex:019e9a33-98ff-7dc1-99e7-46f58bdc0542,75,2
agentsight,e58fce112c6e,9,1780979350106,1781082374457,9,claude:0a0d52ca-1337-4bdb-8012-b4499aa3d3ae;claude:173a3d33-be1e-476b-980b-0378f533443a;claude:4522c52e-85e9-480f-9765-5223d84a46a5;claude:836a5458-492e-4510-a424-823362c705bf;claude:982e9a35-19e8-4318-9e3e-8385d0a22abf;claude:b46d1ef7-d4c4-4727-8f6a-3db7a973dbeb;claude:b69f7036-2f76-46ce-898d-82959967642f;codex:019eaaa2-bac4-7502-a803-46f93a3de4f9;codex:019eab26-60ac-78e0-9862-6274ae5e39bd,1566,12
agentsight,e58fce112c6e,10,1781082492047,1781119735057,1,claude:aa27b1bd-8e29-4074-a1a7-7b7d4b444620,514,157
agentsight,e58fce112c6e,11,1781328041010,1781367127103,1,codex:019ebf6c-ae8e-78c1-a49e-9e005f5abecd,710,0
agentsight,e58fce112c6e,12,1781375091664,1782183104167,129,claude:10d49fab-8f0a-43d8-a7e6-3e35cf5dba04;claude:1a53b59c-15da-4252-a488-87ac6266516e;claude:2fcb484c-b2bc-43b8-b54e-6f84f93148e8;claude:34045a98-6cf0-424a-ba47-0a1bd406a26f;claude:47ce5d28-1fec-4f49-a25a-9b48e6adb869;claude:4ce5468f-9521-4bbe-a798-480671586bb2;claude:5757cc5e-80d6-4401-94f4-aac1ed34f986;claude:5b31399e-776a-4a0f-9010-db897d05e374;claude:5d90d5b7-5492-4b74-96d0-40f1748358ac;claude:61b2d272-dd0b-460e-921f-a115fbb81a7c;claude:61f8b3b9-6b31-4b04-b10f-95a7b1b43f10;claude:71c94652-4203-4f34-9112-bd6393a0be3f;claude:80d7643a-d02d-4e41-aba8-dfaad02ec9ed;claude:915736d4-0d80-4499-8787-88941988fc4c;claude:9383a21f-9120-41bb-890e-37cca947bd2d;claude:998aaef4-9330-427d-b240-303d8ee32e32;claude:ababd09e-d105-45ee-8703-9809546be0f9;claude:c48c4381-9806-4ce5-a17d-52b0812a9b96;claude:cd64eec2-8a08-480b-a372-1d83c79cec75;claude:dc56343a-fcbd-4b35-bbed-61da1ff7b22d;claude:e06e1cd6-76f6-447b-8fbf-6102117c7b2e;codex:019ec23a-9d01-7981-aaa4-1be1af89ba69;codex:019ec241-bb77-7583-b955-6f15e37aa351;codex:019ec8d0-8796-7943-b5df-c7d870e364f5;codex:019ec8d0-c04b-79f2-bfbf-51f11a702765;codex:019ec8d0-fd23-72e1-a94f-73eb15f7935f;codex:019ec8d1-4f27-7871-bd11-3cc352864edb;codex:019ec8d1-925f-7f51-bc59-958096fe8c1e;codex:019ec8da-1ea9-7c81-9439-9702c16eccc7;codex:019ec8da-57dc-7760-84e2-cdaf0eeedf82;codex:019ec8da-93be-7bc1-b2dd-f28eba81e763;codex:019ec8da-dc05-71e2-945a-fe128602079d;codex:019ec8db-2bd8-7323-97a7-aae094fa26a4;codex:019ec8e0-f3d2-7bb3-90bb-a8cd7c1426ea;codex:019ec8e1-3333-7452-bb08-36beda843967;codex:019ec8e1-793b-7152-8674-1fa363472e9f;codex:019ec8e1-b3b9-7071-9542-55f51d18f0ba;codex:019ec8e2-2c68-7ce0-ba99-6851fbd0e3b8;codex:019ec8e7-d5b0-7ff0-9502-6fec666b3f13;codex:019ec8e8-0dd4-7d02-983f-7f60f5dbf4ab;codex:019ec8e8-52bd-7041-8e0a-153fd15cf7f1;codex:019ec8e8-97a6-7661-ad95-259a8f2cf807;codex:019ec8e8-dd0f-7f81-8173-603964ca86e6;codex:019ec8f7-849e-7650-964e-e5da2bb95819;codex:019ec8f7-c4a3-70c1-a2b3-1b2fadc78d2b;codex:019ec8f8-05b2-7780-85dd-bd38020014e5;codex:019ec8f8-522e-7642-91da-22d114427a27;codex:019ec8f8-a3b2-7552-b2ea-72e0861a1172;codex:019ec90d-0d5d-7fd1-948c-b94f508dbe6f;codex:019ec90e-6d20-7040-9dec-e4b9c2d097f8;codex:019ec917-4d56-7083-8892-f0e8c8a4209f;codex:019ec918-2bd6-7fa0-9182-270228649f86;codex:019ec91d-b20f-7633-a9ed-e5e3049e2ff9;codex:019ec921-1713-7eb3-89d6-9e7da9c582c9;codex:019ec921-675f-7f63-8661-5a3f982abdb4;codex:019ec921-aa51-79a1-9de6-7701f03d941d;codex:019ec921-dcc4-7181-a2f5-14513c8f8db0;codex:019ec922-124c-7dd3-81a6-f62b47a12692;codex:019ec922-8abb-74f0-9de5-31eea39e83f9;codex:019ec922-bb15-7ba3-a7ed-074ed2ad80a0;codex:019ec923-03ca-7172-8284-b1fdc2e827d7;codex:019ec923-de2e-7f11-8a95-cd5e427a7801;codex:019ec924-1c84-7aa0-a485-ed6395cee550;codex:019ec924-5332-77c3-ae6c-ab3c4bf83b62;codex:019ec924-b9d4-7cf3-be43-55daa6dd4408;codex:019ec929-0ecb-7e73-b360-0b92b78316f4;codex:019ec929-417b-76a0-940a-5da10f4d9813;codex:019ec929-74e2-7c80-b004-189c59883f63;codex:019ec929-b149-78e2-91fd-d9a11e9d8a0d;codex:019ec929-e6a0-71f0-98a0-77e49066842c;codex:019ec92a-2c14-7b52-bb42-56e7ed233723;codex:019ec92a-68e0-7ee1-942f-999dc430db66;codex:019ec92a-b454-7922-8135-52aab464e651;codex:019ec92d-1cec-71f0-a4c1-f1d85c46373e;codex:019ec92d-6c8b-71f3-b6cd-f91fe25b1bd4;codex:019ec92d-9fe2-7533-8905-5a33700a7a57;codex:019ec92e-a508-7650-b12d-f77e94e49fb7;codex:019ec93a-a069-77e3-83fd-9062f56dda4e;codex:019ec93a-e423-7171-8a38-b42714e4a4d3;codex:019ec93b-15dd-79e0-a4fd-2f38c0fa32c7;codex:019ec93b-48bf-74e2-8f5d-3f7e2590b888;codex:019ec93b-90b0-7b70-b4c1-a2dc72974931;codex:019ec93b-d848-7343-8fa8-83983fa47a97;codex:019ec93c-0bab-7382-a641-70fc2a329f66;codex:019ec93c-449c-76f2-b4c5-c0ad9838a1c4;codex:019ec93e-9626-7412-90e9-0e171f258065;codex:019ec93e-cfcc-7f70-90ab-96d5ea66bcb6;codex:019ec93f-0a28-73d0-b915-424ea997f58c;codex:019ec940-36c0-7911-844a-d6f1dbf11644;codex:019ec941-a6b0-75c0-9bfe-afc8bd00d329;codex:019ec941-dca1-7811-91cf-97431220dd1e;codex:019ec942-471d-7ce0-bb85-d374a4d65baf;codex:019ec942-7dbd-7650-af1b-2795be63fd80;codex:019ec942-c6e6-7162-951d-1ee9e75acc6e;codex:019ec942-f86d-7f60-9967-742361b7952e;codex:019ec943-5937-78c2-9948-8e86d3d5ae17;codex:019ec943-97f3-7912-90e4-7e70d0f950e2;codex:019ec943-cedd-7243-ba19-5e32a69698ea;codex:019ec944-04de-76b3-a978-3aa28b58022f;codex:019ec946-4ef9-7633-bb95-a8405e4337c7;codex:019ec946-89b9-7a20-917f-7d37fdc912b1;codex:019ec946-bbce-7820-a674-3fe6b4df90ee;codex:019ec948-5030-7ff2-8d6c-ca43bb431449;codex:019ec949-2bf7-7591-8941-da304056fd4c;codex:019ec949-6bdd-7b10-ae02-51bc23de64c2;codex:019ec949-b292-7f63-844c-3b132305e1ec;codex:019ec949-f1b0-7be3-bed2-b915a94f098a;codex:019ec94a-3cef-7003-8e88-9fcd2b3336d1;codex:019ec94a-7488-7873-8410-4633500a296d;codex:019ec94a-bb02-77b0-a958-f65b01ea4128;codex:019ec94a-ee37-7092-857f-787951b81b87;codex:019ec94b-1dd1-73b1-9306-9c73f28d2a82;codex:019ec94b-5336-77e0-80d9-81c13f00bdab;codex:019ec94b-9088-7a10-aa50-88ea6b5c7c9f;codex:019ec94b-ca49-76c1-ae21-beb0ac079ca5;codex:019ec94e-24c3-7fd0-bf2e-9aef968be6d9;codex:019ec94e-7483-7fe2-aa5d-5b66fb41dc59;codex:019ec94e-b251-7641-a6c3-6e1b6bf790b6;codex:019ec94f-c9d6-7b70-bc70-10a2b23f699b;codex:019ece90-398b-7162-8172-f37baed9b796;codex:019edc6a-3f84-7490-b081-4eeb37b64094;codex:019edc6a-96cd-7cc2-8196-992ecb5d27df;codex:019edc6c-2bd9-7c40-8d03-5ea7bccde8a8;codex:019edc6c-845e-7062-b416-7868c02ef5a9;codex:019edc7d-4001-7030-9903-f2ab0ff763b8;codex:019edc7d-9608-7030-998d-57d2f2ac864d;codex:019edc82-8dcb-75e1-8bf4-bdceb6e9ff44;codex:019ee345-cc2e-7c41-ac59-dc6cf85f0fce;codex:019ef1cc-23d6-7e73-93de-adb218e14ef2,20327,247
agentsight,e58fce112c6e,13,1782185393684,1782336157062,5,claude:3ffba9ca-527e-480f-b87b-40e7f1f858cf;codex:019ef28c-3d34-7e01-93fd-2426c62be756;codex:019ef29e-d220-77f0-9504-811ae05e9d4d;codex:019ef649-f693-71b1-94d1-8e9dfafda53e;codex:019ef867-bf97-7d13-a1d3-9a59c8383a3b,2151,306
agentsight,e58fce112c6e,14,1782449044657,1782457106955,1,claude:ed46355c-a1b6-4c15-8867-d7d8569c7e3c,27,5
agentsight,e58fce112c6e,15,1782459817849,1782460895175,1,codex:019f02e1-904f-7121-bdec-2443f8140e01,34,0
agentsight,e58fce112c6e,16,1782769155354,1783042146380,3,codex:019f1550-03d9-7603-ae66-f8ce6b3e4c4c;codex:019f1f91-194d-7e20-823b-0dd849799532;codex:019f1fe5-beea-7420-b561-57d9913eb5e3,514,0
agentsight,e58fce112c6e,17,1783042178428,1783046733260,1,codex:019f2598-2b0f-7f42-9318-61b0e5f92428,33,0
agentsight,e58fce112c6e,18,1783047092205,1783047601057,1,codex:019f25de-2e14-7bf0-a368-2899aad03fb9,16,0
agentsight,e58fce112c6e,19,1783047684853,1783058279292,2,claude:019ce9f7-7368-473e-8291-853df0154645;codex:019f25eb-f3cb-7472-837a-f9c24394ea02,139,42
agentsight,e58fce112c6e,20,1783385447551,1783385447551,1,claude:18de423e-e0ff-45d9-94a1-6c94909272b6,1,0
agentsight,e58fce112c6e,21,1783391975396,1783394512866,1,codex:019f3a71-d0e3-7ee0-a25d-76a4aa3367c8,304,12
