project,project_type,vendor,attributed_actions,project_action_share_pct,recognized_attempts,recognized_success,recognized_fail,recognized_observed_unknown,attempts_per_1000_vendor_actions
agentsight,systems/research,codex,81621,86.802,3427,2864,361,202,41.987
agentsight,systems/research,claude,12383,13.169,436,424,12,0,35.210
agentsight,systems/research,gemini,27,0.029,0,0,0,0,0.000
ActPlane,systems/research,codex,47992,73.456,2529,2139,231,159,52.696
ActPlane,systems/research,claude,17342,26.544,483,437,46,0,27.851
bpf-developer-tutorial,tutorial/code/docs,claude,1051,63.275,21,21,0,0,19.981
bpf-developer-tutorial,tutorial/code/docs,codex,593,35.701,1,1,0,0,1.686
bpf-developer-tutorial,tutorial/code/docs,gemini,17,1.023,0,0,0,0,0.000
eunomia.dev,content/software,codex,10190,76.085,146,51,0,95,14.328
eunomia.dev,content/software,claude,3203,23.915,4,1,3,0,1.249
agentskill-observability-paper,auto research,claude,990,100.000,4,1,3,0,4.040
academic-writing-skills,skill/harness development,claude,879,100.000,9,9,0,0,10.239
