id,project,family,template,method,repetition,status,answer,expected,correct,wrong,question_spec_sha256
agentsight-A1,agentsight,A,A1,procgrep,0,answer,71,81,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A1,agentsight,A,A1,counts,0,answer,71,81,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A1,agentsight,A,A1,final_state,0,abstain,,81,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A1,agentsight,A,A1,trajectory,0,answer,71,81,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A2,agentsight,A,A2,procgrep,0,answer,19,19,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A2,agentsight,A,A2,counts,0,answer,19,19,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A2,agentsight,A,A2,final_state,0,abstain,,19,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A2,agentsight,A,A2,trajectory,0,answer,19,19,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A3,agentsight,A,A3,procgrep,0,answer,11,13,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A3,agentsight,A,A3,counts,0,answer,11,13,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A3,agentsight,A,A3,final_state,0,abstain,,13,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A3,agentsight,A,A3,trajectory,0,answer,11,13,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A4,agentsight,A,A4,procgrep,0,answer,1,1,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A4,agentsight,A,A4,counts,0,abstain,,1,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A4,agentsight,A,A4,final_state,0,abstain,,1,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A4,agentsight,A,A4,trajectory,0,answer,1,1,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A5,agentsight,A,A5,procgrep,0,answer,1,1,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A5,agentsight,A,A5,counts,0,abstain,,1,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A5,agentsight,A,A5,final_state,0,abstain,,1,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A5,agentsight,A,A5,trajectory,0,answer,1,1,1,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B1,agentsight,B,B1,procgrep,0,abstain,,21,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B1,agentsight,B,B1,counts,0,abstain,,21,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B1,agentsight,B,B1,final_state,0,abstain,,21,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B1,agentsight,B,B1,trajectory,0,answer,22,21,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B2,agentsight,B,B2,procgrep,0,abstain,,17,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B2,agentsight,B,B2,counts,0,abstain,,17,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B2,agentsight,B,B2,final_state,0,abstain,,17,0,0,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B2,agentsight,B,B2,trajectory,0,answer,18,17,0,1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
