project,vendor,strict_class,metric,n,q25,median,q75,p90,mean,n_units
ActPlane,claude,bookkeeping,reads,28,0.0,1.0,3.25,7.300000000000001,2.4642857142857144,28
ActPlane,claude,bookkeeping,writes,28,1.0,2.5,5.0,9.900000000000002,4.178571428571429,28
ActPlane,claude,bookkeeping,write_read_ratio,15,1.0,1.25,1.8571428571428572,2.6999999999999997,1.4678042328042327,15
ActPlane,claude,bookkeeping,write_revisit_share,28,0.0,0.0,0.5416666666666666,1.0,0.27885487528344666,28
ActPlane,claude,ordinary,reads,299,0.0,3.0,6.0,19.19999999999999,12.394648829431437,299
ActPlane,claude,ordinary,writes,299,1.0,3.0,10.5,25.0,16.926421404682273,299
ActPlane,claude,ordinary,write_read_ratio,210,0.8,1.0,2.0,3.5,1.6774428958827328,210
ActPlane,claude,ordinary,write_revisit_share,284,0.0,0.0,0.43719806763285024,0.7899305555555558,0.21971134766257264,284
ActPlane,codex,bookkeeping,reads,13,2.0,5.0,16.0,23.200000000000006,9.153846153846153,13
ActPlane,codex,bookkeeping,writes,13,2.0,3.0,13.0,22.000000000000007,13.923076923076923,13
ActPlane,codex,bookkeeping,write_read_ratio,11,0.675,0.8275862068965517,1.0,2.4,1.168341170323929,11
ActPlane,codex,bookkeeping,write_revisit_share,13,0.0,0.20833333333333334,0.4387755102040816,0.6333333333333334,0.24391679748822603,13
ActPlane,codex,ordinary,reads,942,0.0,1.0,2.0,11.0,8.961783439490446,942
ActPlane,codex,ordinary,writes,942,1.0,1.0,2.0,8.0,5.685774946921444,942
ActPlane,codex,ordinary,write_read_ratio,485,0.5,1.0,1.0,2.0,1.2286518509619988,485
ActPlane,codex,ordinary,write_revisit_share,925,0.0,0.0,0.0,0.5,0.12179356672212117,925
academic-writing-skills,claude,bookkeeping,reads,57,1.0,1.0,3.0,5.0,2.175438596491228,57
academic-writing-skills,claude,bookkeeping,writes,57,1.0,2.0,6.0,16.0,6.87719298245614,57
academic-writing-skills,claude,bookkeeping,write_read_ratio,44,1.0,2.0,4.625,6.700000000000003,3.262164918414918,44
academic-writing-skills,claude,bookkeeping,write_revisit_share,42,0.0,0.0,0.1607142857142857,0.8635714285714281,0.16933621933621937,42
academic-writing-skills,claude,ordinary,reads,5,0.0,1.0,6.0,6.6,2.8,5
academic-writing-skills,claude,ordinary,writes,5,1.0,1.0,2.0,2.0,1.4,5
academic-writing-skills,claude,ordinary,write_read_ratio,3,0.22619047619047616,0.2857142857142857,1.1428571428571428,1.6571428571428573,0.8174603174603176,3
academic-writing-skills,claude,ordinary,write_revisit_share,3,0.0,0.0,0.5,0.8,0.3333333333333333,3
agentsight,claude,bookkeeping,reads,45,0.0,1.0,3.0,9.200000000000003,2.577777777777778,45
agentsight,claude,bookkeeping,writes,45,1.0,2.0,3.0,8.0,3.2666666666666666,45
agentsight,claude,bookkeeping,write_read_ratio,28,0.6666666666666666,1.0,2.0,2.3700000000000006,1.5505952380952384,28
agentsight,claude,bookkeeping,write_revisit_share,32,0.0,0.0,0.4464285714285714,1.0,0.23370249542124538,32
agentsight,claude,ordinary,reads,165,0.0,3.0,10.0,38.19999999999999,15.363636363636363,165
agentsight,claude,ordinary,writes,165,1.0,1.0,4.0,15.799999999999983,11.139393939393939,165
agentsight,claude,ordinary,write_read_ratio,98,0.20896464646464646,0.375,0.6944444444444444,1.749999999999999,0.6721294733216676,98
agentsight,claude,ordinary,write_revisit_share,151,0.0,0.0,0.5,0.8181818181818182,0.21876285349602065,151
agentsight,codex,bookkeeping,reads,365,0.0,2.0,9.0,25.200000000000045,17.194520547945206,365
agentsight,codex,bookkeeping,writes,365,1.0,2.0,4.0,9.600000000000023,6.1808219178082195,365
agentsight,codex,bookkeeping,write_read_ratio,259,0.2857142857142857,0.5,1.0,1.7333333333333392,0.7320121286989293,259
agentsight,codex,bookkeeping,write_revisit_share,360,0.0,0.5590277777777778,1.0,1.0,0.5110285794752178,360
agentsight,codex,ordinary,reads,1719,0.0,1.0,5.0,15.0,9.354857475276324,1719
agentsight,codex,ordinary,writes,1719,1.0,1.0,3.0,8.0,5.486329261198371,1719
agentsight,codex,ordinary,write_read_ratio,1092,0.3333333333333333,0.6666666666666666,1.0,1.5,0.8242985000391053,1092
agentsight,codex,ordinary,write_revisit_share,1697,0.0,0.0,0.5555555555555556,1.0,0.29220588210566023,1697
agentskill-observability-paper,claude,bookkeeping,reads,11,7.5,10.0,11.0,16.0,9.818181818181818,11
agentskill-observability-paper,claude,bookkeeping,writes,11,2.5,5.0,8.0,11.0,6.181818181818182,11
agentskill-observability-paper,claude,bookkeeping,write_read_ratio,11,0.3092105263157895,0.8181818181818182,1.0,1.1,0.7203729882557633,11
agentskill-observability-paper,claude,bookkeeping,write_revisit_share,11,0.09090909090909091,0.5294117647058824,0.7083333333333333,1.0,0.47526332847188457,11
agentskill-observability-paper,claude,ordinary,reads,20,0.0,0.0,0.0,0.6000000000000085,11.35,20
agentskill-observability-paper,claude,ordinary,writes,20,1.0,1.0,1.0,2.700000000000024,9.35,20
agentskill-observability-paper,claude,ordinary,write_read_ratio,2,1.262443438914027,1.8416289592760182,2.4208144796380093,2.7683257918552036,1.8416289592760182,2
agentskill-observability-paper,claude,ordinary,write_revisit_share,16,0.0,0.0,0.0,0.4166666666666667,0.11458333333333334,16
bpf-developer-tutorial,claude,bookkeeping,reads,3,1.5,2.0,2.5,2.8,2.0,3
bpf-developer-tutorial,claude,bookkeeping,writes,3,1.0,1.0,1.5,1.8,1.3333333333333333,3
bpf-developer-tutorial,claude,bookkeeping,write_read_ratio,3,0.5833333333333333,0.6666666666666666,0.8333333333333333,0.9333333333333333,0.7222222222222222,3
bpf-developer-tutorial,claude,bookkeeping,write_revisit_share,3,0.0,0.0,0.25,0.4,0.16666666666666666,3
bpf-developer-tutorial,claude,ordinary,reads,20,2.0,3.5,14.25,19.1,6.9,20
bpf-developer-tutorial,claude,ordinary,writes,20,3.0,4.5,28.25,35.300000000000004,13.0,20
bpf-developer-tutorial,claude,ordinary,write_read_ratio,16,1.25,1.5,1.9249999999999998,2.0555555555555554,1.5397145800106327,16
bpf-developer-tutorial,claude,ordinary,write_revisit_share,15,1.0,1.0,1.0,1.0,0.9666666666666667,15
bpf-developer-tutorial,codex,ordinary,reads,25,1.0,2.0,3.0,4.600000000000001,2.04,25
bpf-developer-tutorial,codex,ordinary,writes,25,1.0,2.0,3.0,7.800000000000004,3.08,25
bpf-developer-tutorial,codex,ordinary,write_read_ratio,19,0.5833333333333333,1.0,1.9,2.666666666666666,1.3982456140350876,19
bpf-developer-tutorial,codex,ordinary,write_revisit_share,23,0.25,0.5,1.0,1.0,0.5839371980676329,23
bpf-developer-tutorial,gemini,ordinary,reads,2,0.0,0.0,0.0,0.0,0.0,2
bpf-developer-tutorial,gemini,ordinary,writes,2,1.5,2.0,2.5,2.8,2.0,2
bpf-developer-tutorial,gemini,ordinary,write_read_ratio,0,,,,,,0
bpf-developer-tutorial,gemini,ordinary,write_revisit_share,0,,,,,,0
