project,vendor,strict_class,writes,same_root_opportunities,same_root_revisit_share,next_root_opportunities,next_root_revisit_share,first_read_distance_median,first_read_distance_q25,first_read_distance_q75,h10_opportunities,h10_revisit_share,h50_opportunities,h50_revisit_share,h100_opportunities,h100_revisit_share
ActPlane,claude,bookkeeping,117,116,0.5172413793103449,86,0.023255813953488372,20.5,8.75,109.25,113,0.1504424778761062,111,0.36936936936936937,86,0.5232558139534884
ActPlane,claude,ordinary,5061,5048,0.873217115689382,2610,0.4099616858237548,15.0,3.0,92.0,4997,0.39143486091654994,4890,0.598364008179959,4819,0.6986926748288027
ActPlane,codex,bookkeeping,181,181,0.9005524861878453,162,0.006172839506172839,72.0,23.5,196.5,181,0.14917127071823205,180,0.37222222222222223,180,0.5166666666666667
ActPlane,codex,ordinary,5356,5354,0.7474785207321629,4580,0.11113537117903931,37.0,8.0,113.0,5338,0.212439115773698,5285,0.4359508041627247,5236,0.5603514132925898
academic-writing-skills,claude,bookkeeping,392,390,0.25384615384615383,386,0.37305699481865284,30.0,12.0,49.5,352,0.0625,252,0.2976190476190476,178,0.5168539325842697
academic-writing-skills,claude,ordinary,7,6,0.16666666666666666,7,0.14285714285714285,2.0,2.0,2.0,5,0.2,3,0.3333333333333333,3,0.3333333333333333
agentsight,claude,bookkeeping,147,143,0.48951048951048953,111,0.14414414414414414,107.5,6.0,602.0,128,0.1875,106,0.2641509433962264,101,0.33663366336633666
agentsight,claude,ordinary,1838,1835,0.8277929155313352,1514,0.5746367239101717,6.0,2.0,17.0,1791,0.5600223338916807,1738,0.7675489067894131,1702,0.8372502937720329
agentsight,codex,bookkeeping,2256,2256,0.8705673758865248,326,0.006134969325153374,27.0,8.0,67.0,2249,0.26900844819919967,2218,0.5955816050495942,2198,0.7374886260236578
agentsight,codex,ordinary,9431,9428,0.7642129826050064,2812,0.39011379800853485,31.0,7.0,83.0,9404,0.2385155253083794,9328,0.4808104631217839,9203,0.6186026295773117
agentskill-observability-paper,claude,bookkeeping,68,68,0.4264705882352941,63,0.06349206349206349,4.0,2.0,19.0,66,0.30303030303030304,59,0.4576271186440678,35,0.8285714285714286
agentskill-observability-paper,claude,ordinary,187,185,0.8864864864864865,149,0.785234899328859,3.0,1.0,6.0,182,0.8186813186813187,179,0.9050279329608939,178,0.9213483146067416
bpf-developer-tutorial,claude,bookkeeping,4,4,0.25,4,0.0,26.0,26.0,26.0,4,0.0,4,0.25,1,1.0
bpf-developer-tutorial,claude,ordinary,260,248,0.6733870967741935,189,0.4021164021164021,10.0,5.0,23.0,193,0.45595854922279794,167,0.9940119760479041,167,1.0
bpf-developer-tutorial,codex,ordinary,77,77,0.6493506493506493,77,0.05194805194805195,24.0,17.25,35.75,77,0.12987012987012986,71,0.6056338028169014,68,0.7058823529411765
bpf-developer-tutorial,gemini,ordinary,4,3,0.0,4,0.0,,,,0,,0,,0,
eunomia-dev,claude,bookkeeping,109,109,0.44036697247706424,105,0.3238095238095238,139.0,6.0,197.25,104,0.1346153846153846,100,0.16,88,0.23863636363636365
eunomia-dev,claude,ordinary,524,524,0.6870229007633588,524,0.11450381679389313,18.0,5.0,47.0,513,0.25925925925925924,475,0.5810526315789474,465,0.6774193548387096
eunomia-dev,codex,bookkeeping,193,193,0.5284974093264249,38,0.0,50.5,7.0,115.0,193,0.16062176165803108,191,0.2670157068062827,185,0.32972972972972975
eunomia-dev,codex,ordinary,656,656,0.6996951219512195,568,0.4876760563380282,56.0,6.0,111.0,655,0.21221374045801528,643,0.3328149300155521,634,0.5126182965299685
