project,vendor,strict_class,written_files,zero_read_written_files,zero_read_written_share
ActPlane,claude,bookkeeping,28,13,0.4642857142857143
ActPlane,claude,ordinary,299,89,0.2976588628762542
ActPlane,codex,bookkeeping,13,2,0.15384615384615385
ActPlane,codex,ordinary,942,457,0.4851380042462845
academic-writing-skills,claude,bookkeeping,57,13,0.22807017543859648
academic-writing-skills,claude,ordinary,5,2,0.4
agentsight,claude,bookkeeping,45,17,0.37777777777777777
agentsight,claude,ordinary,165,67,0.40606060606060607
agentsight,codex,bookkeeping,365,106,0.29041095890410956
agentsight,codex,ordinary,1719,627,0.3647469458987784
agentskill-observability-paper,claude,bookkeeping,11,0,0.0
agentskill-observability-paper,claude,ordinary,20,18,0.9
bpf-developer-tutorial,claude,bookkeeping,3,0,0.0
bpf-developer-tutorial,claude,ordinary,20,4,0.2
bpf-developer-tutorial,codex,ordinary,25,6,0.24
bpf-developer-tutorial,gemini,ordinary,2,2,1.0
eunomia-dev,claude,bookkeeping,26,9,0.34615384615384615
eunomia-dev,claude,ordinary,74,21,0.28378378378378377
eunomia-dev,codex,bookkeeping,50,26,0.52
eunomia-dev,codex,ordinary,161,59,0.36645962732919257
