project,vendor,sessions,tool_calls,drift_sessions_ge3,drift_long_sessions_ge30,startup_complete_n10,startup_predecessor_n10,bookkeeping_matched_calls,strict_failure_chains
agentsight,claude,123,12525,105,35,91,91,520,1
agentsight,codex,176,85034,64,52,58,51,8266,0
agentsight,gemini,2,27,2,0,2,2,0,0
ActPlane,claude,62,17994,59,40,57,56,455,4
ActPlane,codex,77,48244,69,51,66,65,1242,3
ActPlane,gemini,0,0,0,0,0,0,0,0
bpf-developer-tutorial,claude,31,1052,30,10,22,22,56,3
bpf-developer-tutorial,codex,3,595,3,3,3,3,7,0
bpf-developer-tutorial,gemini,1,17,1,0,1,0,0,0
eunomia-dev,claude,24,3316,24,10,19,19,125,0
eunomia-dev,codex,27,10560,27,21,25,24,271,0
eunomia-dev,gemini,0,0,0,0,0,0,0,0
agentskill-observability-paper,claude,8,991,8,4,7,5,217,1
agentskill-observability-paper,codex,0,0,0,0,0,0,0,0
agentskill-observability-paper,gemini,0,0,0,0,0,0,0,0
academic-writing-skills,claude,17,948,15,7,11,10,584,4
academic-writing-skills,codex,0,0,0,0,0,0,0,0
academic-writing-skills,gemini,0,0,0,0,0,0,0,0
