project,session_id,vendor,calls,start_ms,end_ms,duration_hours,worktree_id,worktree_count,worktree_ids,source_streams,prompt_indices,root_calls,subagent_calls,user_role_calls,max_internal_gap_hours,tied_adjacent_timestamp_share
ActPlane,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,14,1779512196435,1779512245770,0.013704166666666667,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,14,0.0038966666666666668,0.23076923076923078
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,1098,1779515843709,1779595414622,22.10303138888889,3dae89cd06ae,1,3dae89cd06ae,2,35,0,0,1098,11.914851666666667,0.12944393801276208
ActPlane,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,1,1779572004919,1779572004919,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,1,1779572018256,1779572018256,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,1,1779572033861,1779572033861,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,1,1779572051666,1779572051666,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,1,1779572082745,1779572082745,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,1,1779572125875,1779572125875,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e56df-0b23-7713-b77b-1fb654e48f58,codex,1,1779573923165,1779573923165,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,1,0.0,0.0
ActPlane,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,2,1779606648951,1779606648951,0.0,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,2,0.0,1.0
ActPlane,codex:019e58d5-1ccc-73a1-ab44-1dbf1ca6569b,codex,12,1779606829104,1779607218578,0.10818722222222223,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,12,0.03741916666666667,0.36363636363636365
ActPlane,codex:019e58dd-87ec-7e81-8cf0-6078a4c22482,codex,29,1779607380856,1779608569740,0.33024555555555557,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,29,0.07732444444444445,0.21428571428571427
ActPlane,codex:019e6c85-f596-7aa3-97e8-e838b99542db,codex,8,1779937234466,1779937494752,0.07230166666666667,3dae89cd06ae,1,3dae89cd06ae,1,2,0,0,8,0.070205,0.2857142857142857
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,2537,1779937826785,1780076021403,38.38739388888889,3dae89cd06ae,1,3dae89cd06ae,73,353,1360,1177,0,8.988694444444445,0.0
ActPlane,codex:019e6cc9-a740-7983-b0b2-a7e9bdebd47c,codex,160,1779941650297,1779942733265,0.30082444444444445,3dae89cd06ae,1,3dae89cd06ae,1,3,0,0,160,0.035485,0.09433962264150944
ActPlane,claude:0ccecb8d-f285-4ec8-9322-f80a3ca25226,claude,36,1779990592556,1779992768196,0.6043444444444445,3dae89cd06ae,1,3dae89cd06ae,1,17,36,0,0,0.14606833333333333,0.0
ActPlane,codex:019e70de-92fe-7e01-92e6-7424f0a2ea69,codex,81,1780010110415,1780010615993,0.14043833333333333,3dae89cd06ae,1,3dae89cd06ae,1,3,0,0,81,0.029799166666666668,0.1625
ActPlane,codex:019e70e5-3b4c-7f70-b511-d52151361901,codex,16,1780010536557,1780010580219,0.012128333333333333,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,16,0.005584722222222222,0.26666666666666666
ActPlane,codex:019e70e5-c2ae-72c3-a05d-eea95fd72020,codex,4,1780010572765,1780010577046,0.0011891666666666667,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,4,0.0011869444444444445,0.0
ActPlane,codex:019e70e7-a045-75a2-905b-0b00ce3baa02,codex,12,1780010694931,1780010725344,0.008448055555555556,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,12,0.003761111111111111,0.09090909090909091
ActPlane,codex:019e70ed-9b79-7802-9687-f91911ae2b88,codex,39,1780011086321,1780011262818,0.04902694444444444,3dae89cd06ae,1,3dae89cd06ae,1,1,0,0,39,0.017979166666666668,0.23684210526315788
ActPlane,claude:565172de-c87a-47fb-95e4-6f2b994e2ee3,claude,1209,1780106509892,1780169743270,17.564827222222224,3dae89cd06ae,1,3dae89cd06ae,13,119,428,781,0,9.8578175,0.0
ActPlane,claude:acc85540-7200-40c3-a2d5-b6efe809d639,claude,361,1780116373304,1780133751614,4.827308333333334,3dae89cd06ae,1,3dae89cd06ae,8,48,143,218,0,1.6084630555555555,0.0
