project,vendor,n,spearman_rho,pvalue_descriptive
ActPlane,claude,56,-0.022065438522019497,0.871764211445635
ActPlane,codex,65,0.055712651231128764,0.6593599359121849
academic-writing-skills,claude,10,-0.5988681274827808,0.06733912881294427
agentsight,claude,91,-0.29210306515097273,0.0049615991183867975
agentsight,codex,51,-0.0576445659023868,0.6878361614287754
agentsight,gemini,2,,
agentskill-observability-paper,claude,5,,
bpf-developer-tutorial,claude,22,-0.020165389128906325,0.9290249632539156
bpf-developer-tutorial,codex,3,,
eunomia-dev,claude,19,-0.7603175102617882,0.0001578791017208142
eunomia-dev,codex,24,-0.2115991906160377,0.3209145534918069
