project,event_id,source_call_id,session_id,vendor,event_index,ts_ms,artifact_id,worktree_id,path,operation,birth_create,final_path,final_exists,final_tracked,final_state_known,content_durability,reuse_outcome,reuse_duration_events,reuse_duration_ms,reuse_event_index,reuse_cross_session,validation_outcome,validation_duration_events,validation_duration_ms,validation_event_index,global_validation_event_index,global_validation_duration_events,conjunction_observed
agentsight,codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab:8,call_DNHX6MiNPg78ML91FlGzgh83,codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab,codex,3252,1780425362941,agentsight:a00000164,e58fce112c6e,docs/design/vis/vis.md,rename,false,docs/design/vis/vis.md,true,true,true,unknown,observed_reuse,5,8749,3257,false,observed_validation,259,13165514,3511,3511,259,false
agentsight,codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab:8,call_DNHX6MiNPg78ML91FlGzgh83,codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab,codex,3252,1780425362941,agentsight:a00000124,e58fce112c6e,docs/design/vis/why.md,rename,false,,false,false,true,unknown,observed_reuse,7,8750,3259,false,observed_validation,259,13165514,3511,3511,259,false
agentsight,codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab:30,call_GTIsKWnkmLZY9Kn0Z6BKrXzz,codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab,codex,3286,1780425822496,agentsight:a00000169,e58fce112c6e,docs/design/vis/why.md,rename,false,docs/design/vis/why.md,true,true,true,unknown,observed_reuse,7,19424,3293,false,observed_validation,225,12705959,3511,3511,225,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:309,call_7Ymx7Oz2MMRpgRzvunsjJdGr,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4621,1780446662117,agentsight:a00000200,e58fce112c6e,bpf/tests/test_process_ext_map_flush.c,rename,false,bpf/tests/test_process_ext_map_flush.c,true,true,true,unknown,observed_reuse,3,8250,4624,false,competing_supersede,3,8250,4624,4639,18,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:310,call_jTN17lmC3rHDsWGfUjsFfxzA,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4622,1780446662151,agentsight:a00000201,e58fce112c6e,bpf/tests/test_process_ext_mem_info.c,rename,false,,false,false,true,unknown,observed_reuse,2,8216,4624,false,competing_supersede,2,8216,4624,4639,17,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:311,call_VQ29x4pfrLWvmPvdbEuw8MwR,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4623,1780446662151,agentsight:a00000202,e58fce112c6e,bpf/tests/test_process_ext_types.c,rename,false,bpf/tests/test_process_ext_types.c,true,true,true,unknown,observed_reuse,1,8216,4624,false,competing_supersede,1,8216,4624,4639,16,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:317,call_XB8bmwmPkcv2VpRPlEZks5Y9,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4633,1780446734397,agentsight:a00000207,e58fce112c6e,bpf/process_new,delete,false,,false,false,true,unknown,censored_end,121842,4261833552,,false,observed_validation,6,20065,4639,4639,6,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:345,call_bQWrBgXYJmEqHypsBYLv6hKe,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4669,1780446973251,agentsight:a00000210,e58fce112c6e,bpf/test_process_ext_map_flush,delete,false,,false,false,true,unknown,censored_end,121806,4261594698,,false,observed_validation,24,114245,4693,4693,24,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:345,call_bQWrBgXYJmEqHypsBYLv6hKe,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4669,1780446973251,agentsight:a00000211,e58fce112c6e,bpf/test_process_ext_mem_info,delete,false,,false,false,true,unknown,censored_end,121806,4261594698,,false,observed_validation,24,114245,4693,4693,24,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:345,call_bQWrBgXYJmEqHypsBYLv6hKe,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4669,1780446973251,agentsight:a00000212,e58fce112c6e,bpf/test_process_ext_types,delete,false,,false,false,true,unknown,censored_end,121806,4261594698,,false,observed_validation,24,114245,4693,4693,24,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:367,call_1TAJ0JU5XTurYwzQ71dvQKMa,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4703,1780447108955,agentsight:a00000214,e58fce112c6e,bpf/test_process_ext_map_flush,delete,false,,false,false,true,unknown,censored_end,121772,4261458994,,false,observed_validation,9,29871,4712,4712,9,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:367,call_1TAJ0JU5XTurYwzQ71dvQKMa,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4703,1780447108955,agentsight:a00000215,e58fce112c6e,bpf/test_process_ext_mem_info,delete,false,,false,false,true,unknown,censored_end,121772,4261458994,,false,observed_validation,9,29871,4712,4712,9,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:367,call_1TAJ0JU5XTurYwzQ71dvQKMa,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4703,1780447108955,agentsight:a00000216,e58fce112c6e,bpf/test_process_ext_types,delete,false,,false,false,true,unknown,censored_end,121772,4261458994,,false,observed_validation,9,29871,4712,4712,9,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:375,call_NI1rzdwEU620LMoB1RFPVST8,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4714,1780447151305,agentsight:a00000217,e58fce112c6e,bpf/test_process_ext_map_flush,delete,false,,false,false,true,unknown,censored_end,121761,4261416644,,false,observed_validation,22,411334,4736,4736,22,false
agentsight,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:375,call_NI1rzdwEU620LMoB1RFPVST8,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,codex,4714,1780447151305,agentsight:a00000218,e58fce112c6e,bpf/test_process_ext_mem_info,delete,false,,false,false,true,unknown,censored_end,121761,4261416644,,false,observed_validation,22,411334,4736,4736,22,false
