project,worktree_id,interval_type,start_event_id,end_event_id,start_action_rank,end_action_rank,action_length,duration_ms,distinct_sessions,mutation_rows,mutated_artifacts,failed_attempts,observed_unknown_attempts,ending_co_observed_mutation_rows
agentsight,e58fce112c6e,left_censored,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:0,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:32,1,33,33,302390,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:32,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:210,33,282,249,7073933516,2,0,0,2,9,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:210,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:221,282,293,11,71296,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:221,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:269,293,341,48,287605,1,0,0,1,1,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:269,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:280,341,352,11,47215,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:280,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:291,352,363,11,53379,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:291,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:292,363,364,1,5453,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:292,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:321,364,393,29,160724,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:321,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:379,393,488,95,2492366,2,0,0,1,2,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:379,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:441,488,550,62,378210,1,0,0,1,2,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:441,codex:rollout-2026-05-26T16-52-43-019e66b4-75a7-7211-9174-76d8ad2a08de:22,550,608,58,195058,2,0,0,0,1,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T16-52-43-019e66b4-75a7-7211-9174-76d8ad2a08de:22,codex:rollout-2026-05-26T16-52-43-019e66b4-75a7-7211-9174-76d8ad2a08de:23,608,609,1,42,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T16-52-43-019e66b4-75a7-7211-9174-76d8ad2a08de:23,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:479,609,630,21,127625,2,0,0,1,0,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:479,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:533,630,684,54,362904,1,0,0,1,3,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:533,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:534,684,685,1,36,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:534,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:535,685,686,1,0,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:535,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:537,686,688,2,5302,1,0,0,1,0,0
