project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
agentsight,e58fce112c6e,0,1,1,5,7068792993,1589,True,,,0,22,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,1,2,5,1,403061996,49,True,,,0,93,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,2,3,1,10,27024836,1191,True,,,0,6,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,3,4,10,1,483544,40,True,,,0,90,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,4,5,1,47,54820,6351,False,102,902730,101,13,4,57,3,0.017543859649122806,1.0,39,41,0,0,21,0,0,1,0,1,0
agentsight,e58fce112c6e,5,6,47,62,79868,7246,False,1194,13663241,1193,266,8,67,5,0.6268656716417911,1.0,687,217,0,0,289,0,1,0,0,0,0
agentsight,e58fce112c6e,6,7,62,1,66283127,75,False,68,31633637,67,265,9,3,1,0.0,1.0,19,20,0,0,28,0,0,0,0,2,0
agentsight,e58fce112c6e,7,8,1,11,244121270,1566,True,,,0,29,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,8,9,11,6,117590,521,False,136,344819,135,53,4,56,5,0.26785714285714285,0.6,53,52,15,0,15,0,0,0,0,1,0
agentsight,e58fce112c6e,9,10,6,1,208305953,710,False,113,2202888,112,130,7,2,2,0.0,1.0,40,4,0,0,68,0,0,0,2,0,0
agentsight,e58fce112c6e,10,11,1,232,7964561,20369,False,456,33404792,455,43,2,203,5,0.0,0.2,45,18,127,19,246,0,0,0,0,1,0
agentsight,e58fce112c6e,11,12,232,10,2289517,2162,False,36,495782,35,961,11,35,6,0.22857142857142856,0.8333333333333334,19,6,0,0,10,0,1,0,0,0,0
agentsight,e58fce112c6e,12,13,10,2,112887595,27,False,22,8035255,21,134,11,4,1,0.25,1.0,5,3,0,0,13,1,0,0,0,0,0
agentsight,e58fce112c6e,13,14,2,1,2710894,34,True,,,0,8,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,14,15,1,3,308260179,515,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,15,16,3,1,32048,33,True,,,0,41,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,16,17,1,1,358945,17,True,,,0,1,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,17,18,1,2,30583,139,False,68,2336310,67,1,1,4,1,0.0,0.0,1,0,15,3,48,0,0,1,0,0,0
agentsight,e58fce112c6e,18,19,2,1,327168259,1,True,,,0,26,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
agentsight,e58fce112c6e,19,20,1,2,6527845,316,False,69,790113,68,1,1,17,2,0.0,0.0,0,2,22,0,44,0,0,0,0,1,0
agentsight,e58fce112c6e,20,21,2,508,255016533,29987,False,815,107220981,814,33,4,99,11,0.08080808080808081,0.36363636363636365,65,110,66,3,570,0,0,0,0,6,0
