project,vendor,admitted_sessions,skill_tool_sessions,instruction_read_sessions,instruction_mutation_sessions,any_observed_source_event_sessions,no_observed_source_event_sessions
agentsight,ALL,1363,21,118,17,137,1226
agentsight,claude,290,21,29,6,48,242
agentsight,codex,1071,0,89,11,89,982
agentsight,gemini,2,0,0,0,0,2
ActPlane,ALL,524,16,116,13,131,393
ActPlane,claude,385,16,69,9,84,301
ActPlane,codex,139,0,47,4,47,92
bpf-developer-tutorial,ALL,58,3,4,1,6,52
bpf-developer-tutorial,claude,50,3,2,1,4,46
bpf-developer-tutorial,codex,4,0,1,0,1,3
bpf-developer-tutorial,gemini,4,0,1,0,1,3
eunomia.dev,ALL,48,0,11,6,11,37
eunomia.dev,codex,48,0,11,6,11,37
agentskill-observability-paper,ALL,36,12,1,0,13,23
agentskill-observability-paper,claude,36,12,1,0,13,23
academic-writing-skills,ALL,20,0,18,7,18,2
academic-writing-skills,claude,20,0,18,7,18,2
