Type: duration
Showing nodes accounting for 3856s, 96.84% of 3982s total
Dropped 221 nodes (cum <= 19s)
      flat  flat%   sum%        cum   cum%
     2526s 63.44% 63.44%      2526s 63.44%  tool:run
      449s 11.28% 74.71%       449s 11.28%  tool:sshpass
      205s  5.15% 79.86%       205s  5.15%  tool:edit
      135s  3.39% 83.25%       135s  3.39%  tool:curl
       94s  2.36% 85.61%        94s  2.36%  tool:ls
       87s  2.18% 87.80%        87s  2.18%  tool:apt-get
       66s  1.66% 89.45%        66s  1.66%  tool:git
       60s  1.51% 90.96%        60s  1.51%  tool:service
       48s  1.21% 92.16%        48s  1.21%  tool:cat
       43s  1.08% 93.24%        43s  1.08%  tool:ip
       29s  0.73% 93.97%        29s  0.73%  tool:chgrp
       27s  0.68% 94.65%        27s  0.68%  tool:think
       26s  0.65% 95.30%        26s  0.65%  tool:echo
       21s  0.53% 95.83%        21s  0.53%  tool:chown
       20s   0.5% 96.33%        20s   0.5%  tool:cd
       20s   0.5% 96.84%        20s   0.5%  tool:kill
         0     0% 96.84%      2764s 69.41%  agent:openhands
         0     0% 96.84%      1218s 30.59%  agent:terminus2
         0     0% 96.84%        19s  0.48%  call:openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01nmpjyewsvr4v4q1f5wkydt
         0     0% 96.84%        19s  0.48%  call:openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01r4fr5t6kgqmcwqstfwlwml
         0     0% 96.84%        66s  1.66%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:06399541fa924cee9d6b8d4e65fe60b7
         0     0% 96.84%        95s  2.39%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0d173c5234ad40c6b3883db2d8c7b55f
         0     0% 96.84%        76s  1.91%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0f7ea635798a49219f7af651e23613e8
         0     0% 96.84%        38s  0.95%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2183675570e54b70bd45d5775d2f619e
         0     0% 96.84%        38s  0.95%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:289a7def66324c8dbc3bf0004603f457
         0     0% 96.84%        70s  1.76%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2adf8cedd83242b68133fdc2d4a71ad5
         0     0% 96.84%        48s  1.21%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2f84151a5f754c588c1f2d234031e217
         0     0% 96.84%        38s  0.95%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3fcbc62effe4489bb3ef2805d1a50a15
         0     0% 96.84%        74s  1.86%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4846ce2671e8462883025a20e1f17ff4
         0     0% 96.84%        36s   0.9%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4b2cba31bc3a444087cb9e48b9072cf1
         0     0% 96.84%        34s  0.85%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4fdcf09d07834fe393b66e16b3002b0f
         0     0% 96.84%        33s  0.83%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:574305cd14564d518268eea523e704e8
         0     0% 96.84%        36s   0.9%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5ac1aa55bd7f495e968c6c6e5c6bcfd3
         0     0% 96.84%        38s  0.95%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5bdeba9554a2447383b51834ef2bfee5
         0     0% 96.84%        67s  1.68%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:64dab553b10e41d2b380e8e3b3a695d5
         0     0% 96.84%        65s  1.63%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:6e57375e59ef48a48bc2e5b7aa2f09f9
         0     0% 96.84%        67s  1.68%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:793eca35e9db4eb694c5faee4dd65098
