Type: file_events
Showing nodes accounting for 606, 82.23% of 737 total
Dropped 682 nodes (cum <= 3)
      flat  flat%   sum%        cum   cum%
       135 18.32% 18.32%        135 18.32%  target:docs/agentpprof-paper/main.tex
        71  9.63% 27.95%         71  9.63%  target:external/tmp
        55  7.46% 35.41%         55  7.46%  target:docs/visexp/out
        36  4.88% 40.30%         36  4.88%  target:.md
        30  4.07% 44.37%         30  4.07%  target:external/claude
        27  3.66% 48.03%         27  3.66%  target:docs/agentpprof-paper
        26  3.53% 51.56%         26  3.53%  target:docs/paper/main.tex
        18  2.44% 54.00%         18  2.44%  target:docs/agentpprof-paper/references.bib
        12  1.63% 55.63%         12  1.63%  target:agentpprof/src/profile.rs
        11  1.49% 57.12%         11  1.49%  target:.json
        11  1.49% 58.62%         11  1.49%  target:docs/idea-story.md
        11  1.49% 60.11%         11  1.49%  target:docs/visexp/paper
        11  1.49% 61.60%         11  1.49%  target:repo
        10  1.36% 62.96%         10  1.36%  target:docs/agentpprof-paper/main.log
         9  1.22% 64.18%          9  1.22%  target:docs/tmp/build-and-evaluate
         9  1.22% 65.40%          9  1.22%  target:docs/user-instruction.md
         8  1.09% 66.49%          8  1.09%  target:docs/agentpprof-paper/figures
         6  0.81% 67.30%          6  0.81%  target:agent-session/src/parser.rs
         6  0.81% 68.11%          6  0.81%  target:agentpprof/readme.md
         6  0.81% 68.93%          6  0.81%  target:docs
         6  0.81% 69.74%          6  0.81%  target:docs/evaluation.md
         5  0.68% 70.42%          5  0.68%  target:.py
         5  0.68% 71.10%          5  0.68%  target:agentpprof
         5  0.68% 71.78%          5  0.68%  target:agentpprof/src/main.rs
         5  0.68% 72.46%          5  0.68%  target:agentpprof/src/tagger.rs
         5  0.68% 73.13%          5  0.68%  target:docs/agentpprof.md
         5  0.68% 73.81%          5  0.68%  target:docs/paper
         5  0.68% 74.49%          5  0.68%  target:docs/visexp
         5  0.68% 75.17%          5  0.68%  target:script
         5  0.68% 75.85%          5  0.68%  target:script/rq3_codetracebench_stage_fidelity_eval.py
         5  0.68% 76.53%          5  0.68%  target:script/rq3_recurrence_stack_induction_eval.py
         4  0.54% 77.07%          4  0.54%  target:docs/visexp/research_plan.md
         4  0.54% 77.61%          4  0.54%  target:external/home
         4  0.54% 78.15%          4  0.54%  target:readme.md
         3  0.41% 78.56%          3  0.41%  target:.agentsight/experiments
         3  0.41% 78.97%          3  0.41%  target:.svg
         3  0.41% 79.38%          3  0.41%  target:agentpprof/tests
         3  0.41% 79.78%          3  0.41%  target:docs/flamegraph-example/agentsight.sh
         3  0.41% 80.19%          3  0.41%  target:docs/implementation.md
         3  0.41% 80.60%          3  0.41%  target:docs/tmp
         3  0.41% 81.00%          3  0.41%  target:docs/tmp/writing
         3  0.41% 81.41%          3  0.41%  target:docs/visexp/state.md
         3  0.41% 81.82%          3  0.41%  target:research/semantic-flamegraph-artifacts:docs
         3  0.41% 82.23%          3  0.41%  target:script/agentreward_diff_pprof_eval.py
         0     0% 82.23%        540 73.27%  agent:claude
         0     0% 82.23%        197 26.73%  agent:codex
         0     0% 82.23%        737   100%  disposition:read
         0     0% 82.23%        737   100%  effect:file.read
         0     0% 82.23%         32  4.34%  llm_evidence:llm:00000
         0     0% 82.23%         38  5.16%  llm_evidence:llm:00001
         0     0% 82.23%         55  7.46%  llm_evidence:llm:00002
         0     0% 82.23%         48  6.51%  llm_evidence:llm:00003
         0     0% 82.23%         32  4.34%  llm_evidence:llm:00004
         0     0% 82.23%         15  2.04%  llm_evidence:llm:00005
         0     0% 82.23%         14  1.90%  llm_evidence:llm:00006
         0     0% 82.23%         10  1.36%  llm_evidence:llm:00007
         0     0% 82.23%         13  1.76%  llm_evidence:llm:00008
         0     0% 82.23%          9  1.22%  llm_evidence:llm:00009
         0     0% 82.23%         10  1.36%  llm_evidence:llm:00010
         0     0% 82.23%          6  0.81%  llm_evidence:llm:00011
         0     0% 82.23%         10  1.36%  llm_evidence:llm:00012
         0     0% 82.23%          7  0.95%  llm_evidence:llm:00013
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00014
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00016
         0     0% 82.23%          5  0.68%  llm_evidence:llm:00017
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00018
         0     0% 82.23%          9  1.22%  llm_evidence:llm:00019
         0     0% 82.23%          8  1.09%  llm_evidence:llm:00020
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00022
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00023
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00024
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00026
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00028
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00029
         0     0% 82.23%          8  1.09%  llm_evidence:llm:00030
         0     0% 82.23%          8  1.09%  llm_evidence:llm:00031
         0     0% 82.23%          5  0.68%  llm_evidence:llm:00032
         0     0% 82.23%          5  0.68%  llm_evidence:llm:00033
         0     0% 82.23%          8  1.09%  llm_evidence:llm:00034
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00037
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00038
         0     0% 82.23%          5  0.68%  llm_evidence:llm:00039
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00044
         0     0% 82.23%          5  0.68%  llm_evidence:llm:00046
         0     0% 82.23%          6  0.81%  llm_evidence:llm:00048
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00057
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00316
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00317
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00319
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00329
         0     0% 82.23%          3  0.41%  llm_evidence:llm:00502
         0     0% 82.23%          6  0.81%  llm_evidence:llm:00669
         0     0% 82.23%         10  1.36%  llm_evidence:llm:00852
         0     0% 82.23%          4  0.54%  llm_evidence:llm:00960
         0     0% 82.23%          3  0.41%  llm_evidence:llm:01245
         0     0% 82.23%          4  0.54%  llm_evidence:llm:01249
         0     0% 82.23%          5  0.68%  llm_evidence:llm:01250
         0     0% 82.23%          4  0.54%  llm_evidence:llm:01251
         0     0% 82.23%          5  0.68%  llm_evidence:llm:01252
         0     0% 82.23%          4  0.54%  llm_evidence:llm:01253
         0     0% 82.23%          7  0.95%  operation:add_time_figure
         0     0% 82.23%         15  2.04%  operation:advance_research
         0     0% 82.23%         40  5.43%  operation:analyze_profiles
         0     0% 82.23%          4  0.54%  operation:analyze_research_plan
         0     0% 82.23%         34  4.61%  operation:analyze_session_corpus
         0     0% 82.23%          5  0.68%  operation:anonymize_manuscript
         0     0% 82.23%          3  0.41%  operation:apply_consistency_fixes
         0     0% 82.23%          3  0.41%  operation:apply_review_fixes
         0     0% 82.23%         10  1.36%  operation:assess_paper_progress
         0     0% 82.23%         40  5.43%  operation:assess_profile_graph
         0     0% 82.23%         22  2.99%  operation:assess_research_artifacts
         0     0% 82.23%          5  0.68%  operation:assess_tag_adequacy
         0     0% 82.23%          3  0.41%  operation:audit_academic_terms
         0     0% 82.23%          3  0.41%  operation:audit_boundary_terminology
         0     0% 82.23%         71  9.63%  operation:audit_evaluation
         0     0% 82.23%         18  2.44%  operation:audit_evaluations
         0     0% 82.23%         18  2.44%  operation:audit_evidence
         0     0% 82.23%          4  0.54%  operation:audit_experiment_history
         0     0% 82.23%          6  0.81%  operation:audit_jargon
         0     0% 82.23%          5  0.68%  operation:audit_language
         0     0% 82.23%          5  0.68%  operation:audit_notation
         0     0% 82.23%          4  0.54%  operation:audit_rewrite
         0     0% 82.23%          6  0.81%  operation:audit_structure
         0     0% 82.23%          3  0.41%  operation:audit_trace_terminology
         0     0% 82.23%          4  0.54%  operation:check_citation
         0     0% 82.23%          7  0.95%  operation:check_consistency
         0     0% 82.23%          4  0.54%  operation:check_references
         0     0% 82.23%          7  0.95%  operation:check_structure
         0     0% 82.23%          6  0.81%  operation:codify_figure_rules
         0     0% 82.23%          4  0.54%  operation:compare_branch_history
         0     0% 82.23%         10  1.36%  operation:compare_paper_drafts
         0     0% 82.23%         14  1.90%  operation:compare_paper_versions
         0     0% 82.23%         17  2.31%  operation:compare_profile_views
         0     0% 82.23%          4  0.54%  operation:compare_published_history
         0     0% 82.23%          6  0.81%  operation:consolidate_figure
         0     0% 82.23%          5  0.68%  operation:continue_refinement
         0     0% 82.23%          4  0.54%  operation:copy_paper_versions
         0     0% 82.23%          5  0.68%  operation:correct_report_logic
         0     0% 82.23%          4  0.54%  operation:create_figures
         0     0% 82.23%          3  0.41%  operation:delegate_experiments
         0     0% 82.23%         21  2.85%  operation:design_inventory
         0     0% 82.23%          3  0.41%  operation:develop_cost_rationale
         0     0% 82.23%         91 12.35%  operation:develop_manuscript
         0     0% 82.23%         58  7.87%  operation:develop_paper
         0     0% 82.23%         39  5.29%  operation:develop_research_paper
         0     0% 82.23%          5  0.68%  operation:diagnose_execution
         0     0% 82.23%          5  0.68%  operation:discover_label_evidence
         0     0% 82.23%          4  0.54%  operation:estimate_workload
         0     0% 82.23%         18  2.44%  operation:evaluate_label_quality
         0     0% 82.23%         10  1.36%  operation:explain_paper
         0     0% 82.23%          9  1.22%  operation:find_benchmark_command
         0     0% 82.23%          5  0.68%  operation:finish_refinement
         0     0% 82.23%          3  0.41%  operation:fix_cross_references
         0     0% 82.23%         10  1.36%  operation:fix_section_consistency
         0     0% 82.23%         11  1.49%  operation:generate_profile_graph
         0     0% 82.23%          4  0.54%  operation:identify_framing
         0     0% 82.23%         11  1.49%  operation:improve_presentation
