stratum_type,project,vendor,events,sessions,streams,events_with_worktree,worktree_coverage,events_with_source_event_id,events_with_artifact_actions,artifact_action_event_coverage,artifact_action_entries,observed_status_events,observed_status_share
overall,ALL,ALL,181303,551,1918,176288,0.9723391229047507,95179,60336,0.3327909631942108,69922,34104,0.18810499550476276
vendor,ALL,claude,36826,265,878,35848,0.973442676369956,36826,17399,0.47246510617498505,17593,36,0.0009775701949709444
vendor,ALL,codex,144433,283,1037,140396,0.9720493239079712,58309,42912,0.2971066169088782,52304,34068,0.2358740730996379
vendor,ALL,gemini,44,3,3,44,1.0,44,25,0.5681818181818182,25,,0.0
project,ActPlane,ALL,66238,139,525,65334,0.9863522449349316,23691,23286,0.3515504695190072,25499,12845,0.19392191793230473
project_vendor,ActPlane,claude,17994,62,386,17342,0.9637656996776703,17994,9457,0.5255640769145271,9518,24,0.001333777925975325
project_vendor,ActPlane,codex,48244,77,139,47992,0.9947765525246662,5697,13829,0.28664704419202386,15981,12821,0.265753254290689
project,academic-writing-skills,ALL,948,17,25,879,0.9272151898734177,948,463,0.4883966244725738,478,7,0.007383966244725738
project_vendor,academic-writing-skills,claude,948,17,25,879,0.9272151898734177,948,463,0.4883966244725738,478,7,0.007383966244725738
project,agentsight,ALL,97586,301,1147,94031,0.9635705941426024,60409,32308,0.33107208001147703,39105,17409,0.17839649129998156
project_vendor,agentsight,claude,12525,123,299,12383,0.9886626746506986,12525,5354,0.42746506986027943,5433,4,0.0003193612774451098
project_vendor,agentsight,codex,85034,176,846,81621,0.9598631135780982,47857,26944,0.31686149069783853,33662,17405,0.20468283274925325
project_vendor,agentsight,gemini,27,2,2,27,1.0,27,10,0.37037037037037035,10,,0.0
project,agentskill-observability-paper,ALL,991,8,36,990,0.9989909182643795,991,464,0.4682139253279516,464,,0.0
project_vendor,agentskill-observability-paper,claude,991,8,36,990,0.9989909182643795,991,464,0.4682139253279516,464,,0.0
project,bpf-developer-tutorial,ALL,1664,35,48,1661,0.9981971153846154,1279,822,0.49399038461538464,880,89,0.05348557692307692
project_vendor,bpf-developer-tutorial,claude,1052,31,43,1051,0.9990494296577946,1052,656,0.623574144486692,659,,0.0
project_vendor,bpf-developer-tutorial,codex,595,3,4,593,0.9966386554621849,210,151,0.253781512605042,206,89,0.1495798319327731
project_vendor,bpf-developer-tutorial,gemini,17,1,1,17,1.0,17,15,0.8823529411764706,15,,0.0
project,eunomia.dev,ALL,13876,51,137,13393,0.9651916978956472,7861,2993,0.21569616604208705,3496,3754,0.2705390602479101
project_vendor,eunomia.dev,claude,3316,24,89,3203,0.9659227985524729,3316,1005,0.3030759951749095,1041,1,0.00030156815440289503
project_vendor,eunomia.dev,codex,10560,27,48,10190,0.9649621212121212,4545,1988,0.18825757575757576,2455,3753,0.3553977272727273
