stratum_type,project,vendor,tool_family,analysis_scope,window,behavior,count,share,failed_calls
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,end_of_prompt,6,0.06060606060606061,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.010101010101010102,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,same_family_changed_tool_or_arguments,42,0.42424242424242425,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.010101010101010102,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,switch_to:edit,2,0.020202020202020204,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,switch_to:plan/goal,2,0.020202020202020204,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,switch_to:shell,34,0.3434343434343434,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,switch_to:task,9,0.09090909090909091,99
overall,ALL,ALL,coordination,same_prompt_source_stream,next_call,switch_to:wait/control,2,0.020202020202020204,99
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,end_of_prompt,27,0.07377049180327869,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,end_of_stream,1,0.00273224043715847,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,exact_retry_not_success,35,0.09562841530054644,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,exact_retry_success,15,0.040983606557377046,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,20,0.0546448087431694,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,switch_to:plan/goal,1,0.00273224043715847,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,switch_to:read,205,0.5601092896174863,366
overall,ALL,ALL,edit,same_prompt_source_stream,next_call,switch_to:shell,62,0.16939890710382513,366
overall,ALL,ALL,fetch,same_prompt_source_stream,next_call,end_of_prompt,1,0.023809523809523808,42
overall,ALL,ALL,fetch,same_prompt_source_stream,next_call,end_of_stream,2,0.047619047619047616,42
overall,ALL,ALL,fetch,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,29,0.6904761904761905,42
overall,ALL,ALL,fetch,same_prompt_source_stream,next_call,switch_to:search,9,0.21428571428571427,42
overall,ALL,ALL,fetch,same_prompt_source_stream,next_call,switch_to:shell,1,0.023809523809523808,42
overall,ALL,ALL,multimodal,same_prompt_source_stream,next_call,end_of_stream,1,0.3333333333333333,3
overall,ALL,ALL,multimodal,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.3333333333333333,3
overall,ALL,ALL,multimodal,same_prompt_source_stream,next_call,switch_to:edit,1,0.3333333333333333,3
overall,ALL,ALL,other,same_prompt_source_stream,next_call,end_of_prompt,2,0.08695652173913043,23
overall,ALL,ALL,other,same_prompt_source_stream,next_call,exact_retry_not_success,2,0.08695652173913043,23
overall,ALL,ALL,other,same_prompt_source_stream,next_call,switch_to:fetch,1,0.043478260869565216,23
overall,ALL,ALL,other,same_prompt_source_stream,next_call,switch_to:shell,18,0.782608695652174,23
overall,ALL,ALL,plan/goal,same_prompt_source_stream,next_call,switch_to:edit,3,0.5,6
overall,ALL,ALL,plan/goal,same_prompt_source_stream,next_call,switch_to:read,2,0.3333333333333333,6
overall,ALL,ALL,plan/goal,same_prompt_source_stream,next_call,switch_to:shell,1,0.16666666666666666,6
overall,ALL,ALL,read,same_prompt_source_stream,next_call,end_of_prompt,4,0.0392156862745098,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.00980392156862745,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,exact_retry_success,8,0.0784313725490196,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,44,0.43137254901960786,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,switch_to:edit,1,0.00980392156862745,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,switch_to:search,2,0.0196078431372549,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,switch_to:shell,40,0.39215686274509803,102
overall,ALL,ALL,read,same_prompt_source_stream,next_call,switch_to:write,2,0.0196078431372549,102
overall,ALL,ALL,search,same_prompt_source_stream,next_call,end_of_stream,1,0.2,5
overall,ALL,ALL,search,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,4,0.8,5
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,end_of_prompt,80,0.021063717746182202,3798
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,end_of_stream,19,0.005002632964718273,3798
