stratum_type,project,vendor,grouping,tool_group,calls,ok,fail,observed,decisive_calls,decisive_failure_rate,observed_share
overall,ALL,ALL,tool_family,coordination,6538,12,99,6427,111,0.8918918918918919,0.9830223309880698
overall,ALL,ALL,tool_family,edit,17800,7997,366,9437,8363,0.04376419944995815,0.5301685393258427
overall,ALL,ALL,tool_family,fetch,1265,1210,42,13,1252,0.03354632587859425,0.010276679841897233
overall,ALL,ALL,tool_family,multimodal,148,34,3,111,37,0.08108108108108109,0.75
overall,ALL,ALL,tool_family,network/other,23,23,0,0,23,0.0,0.0
overall,ALL,ALL,tool_family,other,108,72,23,13,95,0.24210526315789474,0.12037037037037036
overall,ALL,ALL,tool_family,plan/goal,1565,9,6,1550,15,0.4,0.9904153354632588
overall,ALL,ALL,tool_family,read,9001,8892,102,7,8994,0.01134089392928619,0.0007776913676258194
overall,ALL,ALL,tool_family,search,1957,1943,5,9,1948,0.002566735112936345,0.004598875830352581
overall,ALL,ALL,tool_family,shell,124342,114308,3798,6236,118106,0.03215755338424805,0.050152000128677356
overall,ALL,ALL,tool_family,skill,76,75,1,0,76,0.013157894736842105,0.0
overall,ALL,ALL,tool_family,task,1592,754,14,824,768,0.018229166666666668,0.5175879396984925
overall,ALL,ALL,tool_family,tool discovery,313,313,0,0,313,0.0,0.0
overall,ALL,ALL,tool_family,wait/control,15908,5721,711,9476,6432,0.11054104477611941,0.5956751320090521
overall,ALL,ALL,tool_family,write,667,651,15,1,666,0.02252252252252252,0.0014992503748125937
vendor,ALL,claude,tool_family,coordination,15,12,3,0,15,0.2,0.0
vendor,ALL,claude,tool_family,edit,8349,7997,350,2,8347,0.041931232778243684,0.00023954964666427118
vendor,ALL,claude,tool_family,fetch,1253,1210,38,5,1248,0.030448717948717948,0.0039904229848363925
vendor,ALL,claude,tool_family,multimodal,35,34,1,0,35,0.02857142857142857,0.0
vendor,ALL,claude,tool_family,network/other,23,23,0,0,23,0.0,0.0
vendor,ALL,claude,tool_family,other,71,69,2,0,71,0.028169014084507043,0.0
vendor,ALL,claude,tool_family,plan/goal,15,9,6,0,15,0.4,0.0
vendor,ALL,claude,tool_family,read,8980,8871,102,7,8973,0.011367435640254095,0.0007795100222717149
vendor,ALL,claude,tool_family,search,1943,1929,5,9,1934,0.0025853154084798345,0.004632012352032939
vendor,ALL,claude,tool_family,shell,14303,13794,507,2,14301,0.035452066289070695,0.0001398308047262812
vendor,ALL,claude,tool_family,skill,76,75,1,0,76,0.013157894736842105,0.0
vendor,ALL,claude,tool_family,task,778,754,14,10,768,0.018229166666666668,0.012853470437017995
vendor,ALL,claude,tool_family,tool discovery,313,313,0,0,313,0.0,0.0
vendor,ALL,claude,tool_family,wait/control,9,8,1,0,9,0.1111111111111111,0.0
vendor,ALL,claude,tool_family,write,663,647,15,1,662,0.022658610271903322,0.0015082956259426848
vendor,ALL,codex,tool_family,coordination,6523,0,96,6427,96,1.0,0.9852828453165722
vendor,ALL,codex,tool_family,edit,9451,0,16,9435,16,1.0,0.9983070574542376
vendor,ALL,codex,tool_family,fetch,12,0,4,8,4,1.0,0.6666666666666666
vendor,ALL,codex,tool_family,multimodal,113,0,2,111,2,1.0,0.9823008849557522
vendor,ALL,codex,tool_family,other,34,0,21,13,21,1.0,0.38235294117647056
vendor,ALL,codex,tool_family,plan/goal,1550,0,0,1550,0,,1.0
vendor,ALL,codex,tool_family,shell,110037,100514,3289,6234,103803,0.03168501873741607,0.056653671037923604
vendor,ALL,codex,tool_family,task,814,0,0,814,0,,1.0
vendor,ALL,codex,tool_family,wait/control,15899,5713,710,9476,6423,0.11054024599096995,0.5960123278193598
vendor,ALL,gemini,tool_family,other,3,3,0,0,3,0.0,0.0
vendor,ALL,gemini,tool_family,read,21,21,0,0,21,0.0,0.0
vendor,ALL,gemini,tool_family,search,14,14,0,0,14,0.0,0.0
vendor,ALL,gemini,tool_family,shell,2,0,2,0,2,1.0,0.0
vendor,ALL,gemini,tool_family,write,4,4,0,0,4,0.0,0.0
project,ActPlane,ALL,tool_family,coordination,291,0,6,285,6,1.0,0.979381443298969
project,ActPlane,ALL,tool_family,edit,8771,4800,191,3780,4991,0.03826888399118413,0.4309656823623304
project,ActPlane,ALL,tool_family,fetch,769,746,18,5,764,0.02356020942408377,0.006501950585175552
project,ActPlane,ALL,tool_family,multimodal,67,17,2,48,19,0.10526315789473684,0.7164179104477612
project,ActPlane,ALL,tool_family,network/other,23,23,0,0,23,0.0,0.0
project,ActPlane,ALL,tool_family,other,67,59,5,3,64,0.078125,0.04477611940298507
project,ActPlane,ALL,tool_family,plan/goal,761,3,6,752,9,0.6666666666666666,0.988173455978975
project,ActPlane,ALL,tool_family,read,4243,4212,30,1,4242,0.007072135785007072,0.00023568230025925054
project,ActPlane,ALL,tool_family,search,1179,1166,5,8,1171,0.004269854824935952,0.006785411365564037
project,ActPlane,ALL,tool_family,shell,40994,38198,1346,1450,39544,0.03403803358284443,0.035371029906815635
project,ActPlane,ALL,tool_family,skill,23,23,0,0,23,0.0,0.0
project,ActPlane,ALL,tool_family,task,377,281,7,89,288,0.024305555555555556,0.23607427055702918
project,ActPlane,ALL,tool_family,tool discovery,195,195,0,0,195,0.0,0.0
project,ActPlane,ALL,tool_family,wait/control,8108,1218,467,6423,1685,0.2771513353115727,0.7921805624074988
project,ActPlane,ALL,tool_family,write,370,364,5,1,369,0.013550135501355014,0.002702702702702703
project_vendor,ActPlane,claude,tool_family,coordination,1,0,1,0,1,1.0,0.0
project_vendor,ActPlane,claude,tool_family,edit,4981,4800,181,0,4981,0.03633808472194339,0.0
project_vendor,ActPlane,claude,tool_family,fetch,769,746,18,5,764,0.02356020942408377,0.006501950585175552
project_vendor,ActPlane,claude,tool_family,multimodal,17,17,0,0,17,0.0,0.0
project_vendor,ActPlane,claude,tool_family,network/other,23,23,0,0,23,0.0,0.0
project_vendor,ActPlane,claude,tool_family,other,59,59,0,0,59,0.0,0.0
project_vendor,ActPlane,claude,tool_family,plan/goal,9,3,6,0,9,0.6666666666666666,0.0
project_vendor,ActPlane,claude,tool_family,read,4243,4212,30,1,4242,0.007072135785007072,0.00023568230025925054
project_vendor,ActPlane,claude,tool_family,search,1179,1166,5,8,1171,0.004269854824935952,0.006785411365564037
project_vendor,ActPlane,claude,tool_family,shell,5828,5600,228,0,5828,0.03912148249828414,0.0
project_vendor,ActPlane,claude,tool_family,skill,23,23,0,0,23,0.0,0.0
project_vendor,ActPlane,claude,tool_family,task,297,281,7,9,288,0.024305555555555556,0.030303030303030304
project_vendor,ActPlane,claude,tool_family,tool discovery,195,195,0,0,195,0.0,0.0
project_vendor,ActPlane,claude,tool_family,write,370,364,5,1,369,0.013550135501355014,0.002702702702702703
project_vendor,ActPlane,codex,tool_family,coordination,290,0,5,285,5,1.0,0.9827586206896551
project_vendor,ActPlane,codex,tool_family,edit,3790,0,10,3780,10,1.0,0.9973614775725593
project_vendor,ActPlane,codex,tool_family,multimodal,50,0,2,48,2,1.0,0.96
project_vendor,ActPlane,codex,tool_family,other,8,0,5,3,5,1.0,0.375
project_vendor,ActPlane,codex,tool_family,plan/goal,752,0,0,752,0,,1.0
project_vendor,ActPlane,codex,tool_family,shell,35166,32598,1118,1450,33716,0.033159330881480605,0.04123300915657169
project_vendor,ActPlane,codex,tool_family,task,80,0,0,80,0,,1.0
project_vendor,ActPlane,codex,tool_family,wait/control,8108,1218,467,6423,1685,0.2771513353115727,0.7921805624074988
project,academic-writing-skills,ALL,tool_family,edit,391,371,19,1,390,0.04871794871794872,0.0025575447570332483
project,academic-writing-skills,ALL,tool_family,fetch,2,2,0,0,2,0.0,0.0
project,academic-writing-skills,ALL,tool_family,other,4,3,1,0,4,0.25,0.0
project,academic-writing-skills,ALL,tool_family,read,218,213,1,4,214,0.004672897196261682,0.01834862385321101
project,academic-writing-skills,ALL,tool_family,search,5,5,0,0,5,0.0,0.0
project,academic-writing-skills,ALL,tool_family,shell,300,277,21,2,298,0.07046979865771812,0.006666666666666667
project,academic-writing-skills,ALL,tool_family,skill,1,1,0,0,1,0.0,0.0
project,academic-writing-skills,ALL,tool_family,task,8,8,0,0,8,0.0,0.0
project,academic-writing-skills,ALL,tool_family,tool discovery,3,3,0,0,3,0.0,0.0
project,academic-writing-skills,ALL,tool_family,write,16,15,1,0,16,0.0625,0.0
project_vendor,academic-writing-skills,claude,tool_family,edit,391,371,19,1,390,0.04871794871794872,0.0025575447570332483
project_vendor,academic-writing-skills,claude,tool_family,fetch,2,2,0,0,2,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_family,other,4,3,1,0,4,0.25,0.0
project_vendor,academic-writing-skills,claude,tool_family,read,218,213,1,4,214,0.004672897196261682,0.01834862385321101
project_vendor,academic-writing-skills,claude,tool_family,search,5,5,0,0,5,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_family,shell,300,277,21,2,298,0.07046979865771812,0.006666666666666667
project_vendor,academic-writing-skills,claude,tool_family,skill,1,1,0,0,1,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_family,task,8,8,0,0,8,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_family,tool discovery,3,3,0,0,3,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_family,write,16,15,1,0,16,0.0625,0.0
project,agentsight,ALL,tool_family,coordination,6009,1,88,5920,89,0.9887640449438202,0.9851888833416542
project,agentsight,ALL,tool_family,edit,7094,1812,105,5177,1917,0.054773082942097026,0.729771638003947
project,agentsight,ALL,tool_family,fetch,168,147,17,4,164,0.10365853658536585,0.023809523809523808
project,agentsight,ALL,tool_family,multimodal,50,14,1,35,15,0.06666666666666667,0.7
project,agentsight,ALL,tool_family,other,23,4,13,6,17,0.7647058823529411,0.2608695652173913
project,agentsight,ALL,tool_family,plan/goal,772,6,0,766,6,0.0,0.9922279792746114
project,agentsight,ALL,tool_family,read,3287,3240,45,2,3285,0.0136986301369863,0.000608457560085184
project,agentsight,ALL,tool_family,search,324,323,0,1,323,0.0,0.0030864197530864196
project,agentsight,ALL,tool_family,shell,73834,68002,2144,3688,70146,0.030564821942805007,0.04994988758566514
project,agentsight,ALL,tool_family,skill,31,30,1,0,31,0.03225806451612903,0.0
project,agentsight,ALL,tool_family,task,1043,338,0,705,338,0.0,0.675934803451582
project,agentsight,ALL,tool_family,tool discovery,44,44,0,0,44,0.0,0.0
project,agentsight,ALL,tool_family,wait/control,4766,3503,158,1105,3661,0.0431576072111445,0.23185060847671002
project,agentsight,ALL,tool_family,write,141,137,4,0,141,0.028368794326241134,0.0
project_vendor,agentsight,claude,tool_family,coordination,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,claude,tool_family,edit,1911,1812,99,0,1911,0.05180533751962323,0.0
project_vendor,agentsight,claude,tool_family,fetch,163,147,16,0,163,0.09815950920245399,0.0
project_vendor,agentsight,claude,tool_family,multimodal,15,14,1,0,15,0.06666666666666667,0.0
project_vendor,agentsight,claude,tool_family,other,4,3,1,0,4,0.25,0.0
project_vendor,agentsight,claude,tool_family,plan/goal,6,6,0,0,6,0.0,0.0
project_vendor,agentsight,claude,tool_family,read,3277,3230,45,2,3275,0.013740458015267175,0.0006103143118706134
project_vendor,agentsight,claude,tool_family,search,310,309,0,1,309,0.0,0.0032258064516129032
project_vendor,agentsight,claude,tool_family,shell,6281,6100,181,0,6281,0.02881706734596402,0.0
project_vendor,agentsight,claude,tool_family,skill,31,30,1,0,31,0.03225806451612903,0.0
project_vendor,agentsight,claude,tool_family,task,339,338,0,1,338,0.0,0.0029498525073746312
project_vendor,agentsight,claude,tool_family,tool discovery,44,44,0,0,44,0.0,0.0
project_vendor,agentsight,claude,tool_family,wait/control,2,2,0,0,2,0.0,0.0
project_vendor,agentsight,claude,tool_family,write,141,137,4,0,141,0.028368794326241134,0.0
project_vendor,agentsight,codex,tool_family,coordination,6008,0,88,5920,88,1.0,0.9853528628495339
project_vendor,agentsight,codex,tool_family,edit,5183,0,6,5177,6,1.0,0.9988423692841983
project_vendor,agentsight,codex,tool_family,fetch,5,0,1,4,1,1.0,0.8
project_vendor,agentsight,codex,tool_family,multimodal,35,0,0,35,0,,1.0
project_vendor,agentsight,codex,tool_family,other,18,0,12,6,12,1.0,0.3333333333333333
project_vendor,agentsight,codex,tool_family,plan/goal,766,0,0,766,0,,1.0
project_vendor,agentsight,codex,tool_family,shell,67551,61902,1961,3688,63863,0.030706355792869112,0.05459578688694468
project_vendor,agentsight,codex,tool_family,task,704,0,0,704,0,,1.0
project_vendor,agentsight,codex,tool_family,wait/control,4764,3501,158,1105,3659,0.04318119704837387,0.23194794290512175
project_vendor,agentsight,gemini,tool_family,other,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,gemini,tool_family,read,10,10,0,0,10,0.0,0.0
project_vendor,agentsight,gemini,tool_family,search,14,14,0,0,14,0.0,0.0
project_vendor,agentsight,gemini,tool_family,shell,2,0,2,0,2,1.0,0.0
project,agentskill-observability-paper,ALL,tool_family,coordination,2,0,2,0,2,1.0,0.0
project,agentskill-observability-paper,ALL,tool_family,edit,264,236,28,0,264,0.10606060606060606,0.0
project,agentskill-observability-paper,ALL,tool_family,fetch,10,10,0,0,10,0.0,0.0
project,agentskill-observability-paper,ALL,tool_family,multimodal,2,2,0,0,2,0.0,0.0
project,agentskill-observability-paper,ALL,tool_family,other,2,2,0,0,2,0.0,0.0
project,agentskill-observability-paper,ALL,tool_family,read,350,348,2,0,350,0.005714285714285714,0.0
project,agentskill-observability-paper,ALL,tool_family,search,48,48,0,0,48,0.0,0.0
project,agentskill-observability-paper,ALL,tool_family,shell,242,235,7,0,242,0.028925619834710745,0.0
project,agentskill-observability-paper,ALL,tool_family,skill,13,13,0,0,13,0.0,0.0
project,agentskill-observability-paper,ALL,tool_family,task,30,26,4,0,30,0.13333333333333333,0.0
project,agentskill-observability-paper,ALL,tool_family,tool discovery,6,6,0,0,6,0.0,0.0
project,agentskill-observability-paper,ALL,tool_family,write,22,22,0,0,22,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,coordination,2,0,2,0,2,1.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,edit,264,236,28,0,264,0.10606060606060606,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,fetch,10,10,0,0,10,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,multimodal,2,2,0,0,2,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,other,2,2,0,0,2,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,read,350,348,2,0,350,0.005714285714285714,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,search,48,48,0,0,48,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,shell,242,235,7,0,242,0.028925619834710745,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,skill,13,13,0,0,13,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,task,30,26,4,0,30,0.13333333333333333,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,tool discovery,6,6,0,0,6,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_family,write,22,22,0,0,22,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_family,coordination,12,0,0,12,0,,1.0
project,bpf-developer-tutorial,ALL,tool_family,edit,248,218,12,18,230,0.05217391304347826,0.07258064516129033
project,bpf-developer-tutorial,ALL,tool_family,other,2,2,0,0,2,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_family,plan/goal,4,0,0,4,0,,1.0
project,bpf-developer-tutorial,ALL,tool_family,read,407,388,19,0,407,0.04668304668304668,0.0
project,bpf-developer-tutorial,ALL,tool_family,search,5,5,0,0,5,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_family,shell,855,761,45,49,806,0.05583126550868486,0.05730994152046784
project,bpf-developer-tutorial,ALL,tool_family,skill,3,3,0,0,3,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_family,task,14,12,0,2,12,0.0,0.14285714285714285
project,bpf-developer-tutorial,ALL,tool_family,tool discovery,6,6,0,0,6,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_family,wait/control,54,47,3,4,50,0.06,0.07407407407407407
project,bpf-developer-tutorial,ALL,tool_family,write,54,51,3,0,54,0.05555555555555555,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,edit,230,218,12,0,230,0.05217391304347826,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,read,396,377,19,0,396,0.047979797979797977,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,search,5,5,0,0,5,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,shell,349,333,16,0,349,0.045845272206303724,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,skill,3,3,0,0,3,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,task,12,12,0,0,12,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,tool discovery,6,6,0,0,6,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,wait/control,1,0,1,0,1,1.0,0.0
project_vendor,bpf-developer-tutorial,claude,tool_family,write,50,47,3,0,50,0.06,0.0
project_vendor,bpf-developer-tutorial,codex,tool_family,coordination,12,0,0,12,0,,1.0
project_vendor,bpf-developer-tutorial,codex,tool_family,edit,18,0,0,18,0,,1.0
project_vendor,bpf-developer-tutorial,codex,tool_family,plan/goal,4,0,0,4,0,,1.0
project_vendor,bpf-developer-tutorial,codex,tool_family,shell,506,428,29,49,457,0.06345733041575492,0.09683794466403162
project_vendor,bpf-developer-tutorial,codex,tool_family,task,2,0,0,2,0,,1.0
project_vendor,bpf-developer-tutorial,codex,tool_family,wait/control,53,47,2,4,49,0.04081632653061224,0.07547169811320754
project_vendor,bpf-developer-tutorial,gemini,tool_family,other,2,2,0,0,2,0.0,0.0
project_vendor,bpf-developer-tutorial,gemini,tool_family,read,11,11,0,0,11,0.0,0.0
project_vendor,bpf-developer-tutorial,gemini,tool_family,write,4,4,0,0,4,0.0,0.0
project,eunomia.dev,ALL,tool_family,coordination,224,11,3,210,14,0.21428571428571427,0.9375
project,eunomia.dev,ALL,tool_family,edit,1032,560,11,461,571,0.01926444833625219,0.44670542635658916
project,eunomia.dev,ALL,tool_family,fetch,316,305,7,4,312,0.022435897435897436,0.012658227848101266
project,eunomia.dev,ALL,tool_family,multimodal,29,1,0,28,1,0.0,0.9655172413793104
project,eunomia.dev,ALL,tool_family,other,10,2,4,4,6,0.6666666666666666,0.4
project,eunomia.dev,ALL,tool_family,plan/goal,28,0,0,28,0,,1.0
project,eunomia.dev,ALL,tool_family,read,496,491,5,0,496,0.010080645161290322,0.0
project,eunomia.dev,ALL,tool_family,search,396,396,0,0,396,0.0,0.0
project,eunomia.dev,ALL,tool_family,shell,8117,6835,235,1047,7070,0.03323903818953324,0.12898854256498707
project,eunomia.dev,ALL,tool_family,skill,5,5,0,0,5,0.0,0.0
project,eunomia.dev,ALL,tool_family,task,120,89,3,28,92,0.03260869565217391,0.23333333333333334
project,eunomia.dev,ALL,tool_family,tool discovery,59,59,0,0,59,0.0,0.0
project,eunomia.dev,ALL,tool_family,wait/control,2980,953,83,1944,1036,0.08011583011583012,0.6523489932885906
project,eunomia.dev,ALL,tool_family,write,64,62,2,0,64,0.03125,0.0
project_vendor,eunomia.dev,claude,tool_family,coordination,11,11,0,0,11,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,edit,572,560,11,1,571,0.01926444833625219,0.0017482517482517483
project_vendor,eunomia.dev,claude,tool_family,fetch,309,305,4,0,309,0.012944983818770227,0.0
project_vendor,eunomia.dev,claude,tool_family,multimodal,1,1,0,0,1,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,other,2,2,0,0,2,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,read,496,491,5,0,496,0.010080645161290322,0.0
project_vendor,eunomia.dev,claude,tool_family,search,396,396,0,0,396,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,shell,1303,1249,54,0,1303,0.04144282425172678,0.0
project_vendor,eunomia.dev,claude,tool_family,skill,5,5,0,0,5,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,task,92,89,3,0,92,0.03260869565217391,0.0
