stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
overall,ALL,ALL,all_adjacent,ALL,179385,6586.0,34788.600000000006,51272.59999999992,268708.2000000013,239182545,0.25480391337068314,0.639501630571118,7807,0.04352091869442819,922,0.005139783147977813,1.0
overall,ALL,ALL,all_adjacent,coordination,6428,31063.5,65632.0,112738.54999999977,416554.2899999992,75767527,0.008245177349097698,0.2739576851275669,895,0.13923459863098941,48,0.0074673304293715,0.11464070705776867
overall,ALL,ALL,all_adjacent,edit,17759,6710.0,24761.600000000002,45511.89999999994,255466.23999999266,98770358,0.00861534996339884,0.6999267976800495,684,0.038515682189312464,66,0.0037164254744073426,0.08761368003074164
overall,ALL,ALL,all_adjacent,fetch,1221,1683.0,15735.0,24046.0,65400.2,3311714,0.3153153153153153,0.773955773955774,15,0.012285012285012284,2,0.001638001638001638,0.0019213526322531063
overall,ALL,ALL,all_adjacent,multimodal,141,13350.0,238046.0,534241.0,4592772.599999999,12628213,0.18439716312056736,0.425531914893617,34,0.24113475177304963,7,0.04964539007092199,0.004355065966440374
overall,ALL,ALL,all_adjacent,other,53,11888.0,156062.8000000002,488954.1999999996,13326646.519999921,26415072,0.11320754716981132,0.37735849056603776,9,0.16981132075471697,3,0.05660377358490566,0.0011528115793518637
overall,ALL,ALL,all_adjacent,plan/goal,1522,8641.0,50427.200000000266,189367.2500000002,5915385.729999991,62192492,0.0032851511169513796,0.6031537450722734,141,0.09264126149802891,55,0.03613666228646518,0.018060714743179197
overall,ALL,ALL,all_adjacent,read,8799,4309.0,33398.200000000004,86729.0000000001,426052.98000000074,40064545,0.24718718036140472,0.7720195476758722,589,0.06693942493465166,69,0.007841800204568702,0.0754451133598053
overall,ALL,ALL,all_adjacent,search,1883,945.0,15189.799999999997,20166.499999999996,37310.06000000012,252712,0.5209771640998406,0.6648964418481147,6,0.003186404673393521,0,0.0,0.0007685410529012425
overall,ALL,ALL,all_adjacent,shell,123073,5467.0,25161.0,40725.19999999998,201448.12,239182545,0.3330137398129565,0.694409009287171,3992,0.03243603389858052,602,0.0048914059135634945,0.5113359805302933
