project,vendor,session_id,source_stream_id,source_file,batch_id,batch_size,source_call_ids,source_event_ids,tool_families,tool_names,observable_path_relation,timestamp_spread_ms
ActPlane,codex,codex:019e5330-9be0-7382-a97a-4c877af56b82,0cd01a9f6f2d7da3,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl|1,2,call_MMZNxZborlY7jZ8Aabti0XBW | call_SeZnqJtFZ1ObWtXWBY7iGtIE, | ,shell | shell,exec_command | exec_command,unknown,3
ActPlane,codex,codex:019e5330-9be0-7382-a97a-4c877af56b82,0cd01a9f6f2d7da3,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl|2,3,call_VBd1RWqYfARgKjO5w6TOg8i2 | call_bkUA7qwhPIH95CXUcgrPw598 | call_ZpcRcSzTs0zVvVvM3eg5hCgZ, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,47
ActPlane,codex,codex:019e5330-9be0-7382-a97a-4c877af56b82,0cd01a9f6f2d7da3,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl|3,2,call_OD0q0RSFylPnTuX5ffvUJ98E | call_YERM8XEjsHm62oW1FLnArNdi, | ,shell | shell,exec_command | exec_command,unknown,37
ActPlane,codex,codex:019e5330-9be0-7382-a97a-4c877af56b82,0cd01a9f6f2d7da3,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl|4,2,call_HMsTgxsd0iFhjsuAb6yEt5aT | call_w9dBwulUkRDC49QQMIRHsTuI, | ,shell | shell,exec_command | exec_command,unknown,0
ActPlane,codex,codex:019e5330-9be0-7382-a97a-4c877af56b82,0cd01a9f6f2d7da3,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82.jsonl|6,3,call_hz2FmBKAYWSIzEoCybQwSxRX | call_aySO7aO6MVzppNuN4hjjUsAV | call_FyK9cVKanvlb9kgDRQPYecWk, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,47
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|1,3,call_JQOOFnjTp2AIUjPv5Onb9oZL | call_NsHPL1DGSoZ3p6cMCBBMMz8l | call_4BZX8FlD45iK0eyO2UDQxlvx, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,47
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|10,4,call_CxaZKKAC5b919ZsHloFj4E7T | call_BoA27AXTotgtUcGW6rFa17XK | call_Iw3Bvzea67zD68NgPNP1yTAO | call_sXG1ieSawbKyrWzHfjZbFsLn, |  |  | ,shell | shell | shell | shell,exec_command | exec_command | exec_command | exec_command,unknown,0
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|108,3,call_pqtDxW6IsT1Kf2qEUzmD6x11 | call_xdBpv69QboVNp9X1pe6dA31K | call_GzEM09JCKOx16IQ5b2du5mco, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,47
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|11,4,call_P0620nLFIENbyfEeiL25fyUc | call_HYd0CrvJvs3UflgmzNN7bVGx | call_2WyHmkF2YsOrPtOl9HLcpptj | call_OO01IIXOYBQzsHSc4KHhdpAi, |  |  | ,shell | shell | shell | shell,exec_command | exec_command | exec_command | exec_command,pairwise_disjoint_observed_paths,47
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|112,2,call_sjeKAeotiL5nuicnXrvq8xzD | call_CIHH7rf6D9dhNfhtFbRGphua, | ,shell | shell,exec_command | exec_command,unknown,2
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|117,3,call_z5I56HBzApoUaNT89F2KQOO0 | call_rPefDrlWuYT6a1XHjTVeJCaL | call_2I8udvbVvQ35HxT6ILrrvpsn, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,40
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|118,3,call_hBs049Tl0cAIgqOjIMDkMGAz | call_qxO7UmmJAySMv7YvJggms8RN | call_8WSVXvnHrDEIKYBfFdidF7zE, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,47
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,721160a6c1643765,/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl,ActPlane|codex|/home/yunwei37/.codex/sessions/2026/05/22/rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe.jsonl|130,3,call_YPvW5v72RX7unaiNe7F64ipm | call_yN5b28aBcQakPoaF53o6pEwF | call_lCL006hhl6BIad8miRfeDnRe, |  | ,shell | shell | shell,exec_command | exec_command | exec_command,unknown,0
