stratum_type,project,vendor,analysis_unit,prompt_scope,evidence_source,identity_basis,read_instances,repeat_read_instances,repeat_read_share,unchanged_repeat_instances,unchanged_share_among_repeats,group_identity_units,repeated_group_identity_units,repeated_group_identity_share,gap_calls_p50,gap_calls_p90,gap_ms_p50,gap_ms_p90
overall,ALL,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,43878,20482,0.4667942932676968,15609,0.7620837808807733,23396,6841,0.29240041032655156,3.0,88.0,24153.0,1231182.700000001
vendor,ALL,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,8972,2613,0.2912394115024521,1790,0.6850363566781478,6359,1275,0.2005032237773235,2.0,11.0,8798.0,75742.40000000001
vendor,ALL,codex,source_stream,same_prompt,artifact_actions,registered_artifact_identity,34885,17869,0.5122258850508815,13819,0.77335049527114,17016,5566,0.327103902209685,4.0,103.0,37267.0,1452510.4000000001
vendor,ALL,gemini,source_stream,same_prompt,artifact_actions,registered_artifact_identity,21,0,0.0,0,,21,0,0.0,,,,
project,ActPlane,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,14806,7065,0.4771714169931109,5468,0.7739561217268224,7741,2089,0.2698617749644749,3.0,46.0,18791.0,555641.2000000003
project_vendor,ActPlane,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,4244,1244,0.293119698397738,823,0.6615755627009646,3000,622,0.20733333333333334,2.0,8.0,7677.0,72114.90000000002
project_vendor,ActPlane,codex,source_stream,same_prompt,artifact_actions,registered_artifact_identity,10562,5821,0.5511266805529256,4645,0.7979728568974404,4741,1467,0.30942839063488714,4.0,58.0,28573.0,767388.0
project,academic-writing-skills,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,212,12,0.05660377358490566,7,0.5833333333333334,200,12,0.06,6.0,22.800000000000004,111259.0,173279.4
project_vendor,academic-writing-skills,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,212,12,0.05660377358490566,7,0.5833333333333334,200,12,0.06,6.0,22.800000000000004,111259.0,173279.4
project,agentsight,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,25909,12584,0.48569994982438536,9536,0.757787666878576,13325,4301,0.3227767354596623,4.0,115.0,30223.5,1607983.3000000012
project_vendor,agentsight,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,3432,1102,0.3210955710955711,820,0.7441016333938294,2330,533,0.22875536480686695,2.0,12.0,9057.5,60926.69999999999
project_vendor,agentsight,codex,source_stream,same_prompt,artifact_actions,registered_artifact_identity,22467,11482,0.5110606667556861,8716,0.7591012018812053,10985,3768,0.34301319981793355,4.0,124.0,43472.0,1762313.4999999998
project_vendor,agentsight,gemini,source_stream,same_prompt,artifact_actions,registered_artifact_identity,10,0,0.0,0,,10,0,0.0,,,,
project,agentskill-observability-paper,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,242,130,0.5371900826446281,64,0.49230769230769234,112,34,0.30357142857142855,2.0,6.0,10154.0,86130.90000000021
project_vendor,agentskill-observability-paper,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,242,130,0.5371900826446281,64,0.49230769230769234,112,34,0.30357142857142855,2.0,6.0,10154.0,86130.90000000021
project,bpf-developer-tutorial,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,520,74,0.1423076923076923,50,0.6756756756756757,446,52,0.11659192825112108,13.0,57.0,103362.5,360868.2000000002
project_vendor,bpf-developer-tutorial,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,380,36,0.09473684210526316,22,0.6111111111111112,344,27,0.07848837209302326,6.0,27.5,28547.5,414190.0
project_vendor,bpf-developer-tutorial,codex,source_stream,same_prompt,artifact_actions,registered_artifact_identity,129,38,0.29457364341085274,28,0.7368421052631579,91,25,0.27472527472527475,25.0,58.0,120254.0,268324.9000000001
project_vendor,bpf-developer-tutorial,gemini,source_stream,same_prompt,artifact_actions,registered_artifact_identity,11,0,0.0,0,,11,0,0.0,,,,
project,eunomia.dev,ALL,source_stream,same_prompt,artifact_actions,registered_artifact_identity,2189,617,0.28186386477843767,484,0.7844408427876823,1572,353,0.22455470737913485,4.0,38.0,29522.0,677917.6000000001
project_vendor,eunomia.dev,claude,source_stream,same_prompt,artifact_actions,registered_artifact_identity,462,89,0.19264069264069264,54,0.6067415730337079,373,47,0.1260053619302949,2.0,15.200000000000003,16331.0,584825.8000000002
project_vendor,eunomia.dev,codex,source_stream,same_prompt,artifact_actions,registered_artifact_identity,1727,528,0.3057324840764331,430,0.8143939393939394,1199,306,0.25521267723102586,5.0,41.0,36726.5,690892.9000000005
overall,ALL,ALL,source_stream,full_stream,artifact_actions,registered_artifact_identity,43878,28101,0.6404348420620812,19831,0.7057044233301306,15777,5664,0.3590036128541548,7.0,229.0,93268.0,7056970.0
vendor,ALL,claude,source_stream,full_stream,artifact_actions,registered_artifact_identity,8972,4971,0.5540570664288899,2655,0.5340977670488836,4001,1041,0.2601849537615596,3.0,35.0,41471.0,1520246.0
vendor,ALL,codex,source_stream,full_stream,artifact_actions,registered_artifact_identity,34885,23128,0.6629783574602265,17174,0.7425631269456935,11757,4621,0.39304244280003403,9.0,293.0,114145.0,9245531.899999999
vendor,ALL,gemini,source_stream,full_stream,artifact_actions,registered_artifact_identity,21,2,0.09523809523809523,2,1.0,19,2,0.10526315789473684,7.0,8.6,544110.5,546388.5
project,ActPlane,ALL,source_stream,full_stream,artifact_actions,registered_artifact_identity,14806,10629,0.7178846413616101,7289,0.6857653589236993,4177,1690,0.40459660043093126,5.0,188.0,79871.0,6413912.800000004
project_vendor,ActPlane,claude,source_stream,full_stream,artifact_actions,registered_artifact_identity,4244,2720,0.6409048067860509,1353,0.4974264705882353,1524,514,0.33727034120734906,3.0,45.0,61862.0,2260604.199999999
project_vendor,ActPlane,codex,source_stream,full_stream,artifact_actions,registered_artifact_identity,10562,7909,0.7488165120242378,5936,0.7505373624984195,2653,1176,0.44327176781002636,7.0,267.39999999999964,84987.0,8045288.399999998
project,academic-writing-skills,ALL,source_stream,full_stream,artifact_actions,registered_artifact_identity,212,42,0.19811320754716982,16,0.38095238095238093,170,20,0.11764705882352941,19.5,66.99999999999999,651060.0,48825601.99999993
project_vendor,academic-writing-skills,claude,source_stream,full_stream,artifact_actions,registered_artifact_identity,212,42,0.19811320754716982,16,0.38095238095238093,170,20,0.11764705882352941,19.5,66.99999999999999,651060.0,48825601.99999993
project,agentsight,ALL,source_stream,full_stream,artifact_actions,registered_artifact_identity,25909,15961,0.6160407580377475,11579,0.7254557985088653,9948,3521,0.3539404905508645,8.0,256.0,103538.0,8148796.0
project_vendor,agentsight,claude,source_stream,full_stream,artifact_actions,registered_artifact_identity,3432,1741,0.5072843822843823,1051,0.6036760482481333,1691,381,0.2253104671791839,2.0,26.0,22090.0,562504.0
project_vendor,agentsight,codex,source_stream,full_stream,artifact_actions,registered_artifact_identity,22467,14220,0.6329282948324209,10528,0.740365682137834,8247,3140,0.38074451315629926,10.0,305.10000000000036,137072.0,10071926.000000004
project_vendor,agentsight,gemini,source_stream,full_stream,artifact_actions,registered_artifact_identity,10,0,0.0,0,,10,0,0.0,,,,
project,agentskill-observability-paper,ALL,source_stream,full_stream,artifact_actions,registered_artifact_identity,242,199,0.8223140495867769,91,0.457286432160804,43,15,0.3488372093023256,2.0,9.200000000000017,18606.0,284993.8000000001
project_vendor,agentskill-observability-paper,claude,source_stream,full_stream,artifact_actions,registered_artifact_identity,242,199,0.8223140495867769,91,0.457286432160804,43,15,0.3488372093023256,2.0,9.200000000000017,18606.0,284993.8000000001
project,bpf-developer-tutorial,ALL,source_stream,full_stream,artifact_actions,registered_artifact_identity,520,161,0.3096153846153846,101,0.6273291925465838,359,78,0.21727019498607242,15.0,57.0,202671.0,884601.0
