field,events_present,coverage
actions,181303,1.0
attribution_agent,12198,0.06727963685101736
attribution_skill,1815,0.010010865788210895
category,181303,1.0
command,181303,1.0
command_name,181303,1.0
effect,181303,1.0
id,181303,1.0
model,181303,1.0
native_session_id,181303,1.0
parent_event_id,36774,0.20283172368907298
prompt_index,181303,1.0
prompt_preview,177512,0.9790902522296928
session_id,181303,1.0
session_ordinal,181303,1.0
skill_args,69,0.0003805783688080175
skill_name,76,0.0004191877685421642
source_agent_id,23171,0.12780262874855905
source_call_id,181303,1.0
source_event_id,95179,0.5249720081851927
source_file,181303,1.0
source_paths,68954,0.3803246498954788
source_role,181303,1.0
source_stream_id,181303,1.0
source_tool_ordinal,181303,1.0
status,181303,1.0
tool_name,181303,1.0
ts_ms,181303,1.0
vendor,181303,1.0
workspace_session,181303,1.0
worktree_id,176288,0.9723391229047507
