stratum_type,project,vendor,analysis_unit,prompt_scope,shell_calls_with_command,unique_commands,exact_reruns,whitespace_normalized_reruns,immediate_exact_reruns,immediate_reruns_after_failure,immediate_failure_rerun_successes,exact_rerun_share,immediate_exact_rerun_share,failure_rerun_success_rate
overall,ALL,ALL,source_stream,same_prompt,124342,105173,19169,19174,804,26,9,0.15416351675218348,0.006466037219925689,0.34615384615384615
vendor,ALL,claude,source_stream,same_prompt,14303,13540,763,764,473,9,3,0.05334545200307628,0.033069985317765505,0.3333333333333333
vendor,ALL,codex,source_stream,same_prompt,110037,91631,18406,18410,331,17,6,0.16727100884248025,0.0030080791006661394,0.35294117647058826
vendor,ALL,gemini,source_stream,same_prompt,2,2,0,0,0,0,0,0.0,0.0,
project,ActPlane,ALL,source_stream,same_prompt,40994,32358,8636,8637,118,7,2,0.21066497536224812,0.0028784700200029274,0.2857142857142857
project_vendor,ActPlane,claude,source_stream,same_prompt,5828,5677,151,151,30,4,2,0.025909402882635553,0.005147563486616335,0.5
project_vendor,ActPlane,codex,source_stream,same_prompt,35166,26681,8485,8486,88,3,0,0.24128419496104192,0.0025024171074333164,0.0
project,academic-writing-skills,ALL,source_stream,same_prompt,300,293,7,7,3,3,0,0.023333333333333334,0.01,0.0
project_vendor,academic-writing-skills,claude,source_stream,same_prompt,300,293,7,7,3,3,0,0.023333333333333334,0.01,0.0
project,agentsight,ALL,source_stream,same_prompt,73834,64335,9499,9503,431,12,7,0.12865346588292656,0.005837419075222797,0.5833333333333334
project_vendor,agentsight,claude,source_stream,same_prompt,6281,5874,407,408,282,1,1,0.0647985989492119,0.0448973093456456,1.0
project_vendor,agentsight,codex,source_stream,same_prompt,67551,58459,9092,9095,149,11,6,0.13459460259655667,0.002205740847655845,0.5454545454545454
project_vendor,agentsight,gemini,source_stream,same_prompt,2,2,0,0,0,0,0,0.0,0.0,
project,agentskill-observability-paper,ALL,source_stream,same_prompt,242,229,13,13,4,0,0,0.05371900826446281,0.01652892561983471,
project_vendor,agentskill-observability-paper,claude,source_stream,same_prompt,242,229,13,13,4,0,0,0.05371900826446281,0.01652892561983471,
project,bpf-developer-tutorial,ALL,source_stream,same_prompt,855,789,66,66,0,0,0,0.07719298245614035,0.0,
project_vendor,bpf-developer-tutorial,claude,source_stream,same_prompt,349,349,0,0,0,0,0,0.0,0.0,
