stratum_type,project,vendor,calls,unique_source_call_ids,duplicated_id_groups,records_in_duplicated_id_groups,duplicate_records_beyond_first,cross_stream_duplicated_groups,cross_file_duplicated_groups,cross_session_duplicated_groups,exact_core_duplicated_groups,duplicate_records_beyond_first_share
overall,ALL,ALL,181303,180987,312,628,316,312,312,252,312,0.0017429386165700512
vendor,ALL,claude,36826,36510,312,628,316,312,312,252,312,0.008580893933633846
vendor,ALL,codex,144433,144433,0,0,0,0,0,0,0,0.0
vendor,ALL,gemini,44,44,0,0,0,0,0,0,0,0.0
project,ActPlane,ALL,66238,66238,0,0,0,0,0,0,0,0.0
project_vendor,ActPlane,claude,17994,17994,0,0,0,0,0,0,0,0.0
project_vendor,ActPlane,codex,48244,48244,0,0,0,0,0,0,0,0.0
project,academic-writing-skills,ALL,948,948,0,0,0,0,0,0,0,0.0
project_vendor,academic-writing-skills,claude,948,948,0,0,0,0,0,0,0,0.0
project,agentsight,ALL,97586,97295,291,582,291,291,291,239,291,0.0029819851208165104
project_vendor,agentsight,claude,12525,12234,291,582,291,291,291,239,291,0.023233532934131735
project_vendor,agentsight,codex,85034,85034,0,0,0,0,0,0,0,0.0
project_vendor,agentsight,gemini,27,27,0,0,0,0,0,0,0,0.0
project,agentskill-observability-paper,ALL,991,991,0,0,0,0,0,0,0,0.0
project_vendor,agentskill-observability-paper,claude,991,991,0,0,0,0,0,0,0,0.0
project,bpf-developer-tutorial,ALL,1664,1664,0,0,0,0,0,0,0,0.0
project_vendor,bpf-developer-tutorial,claude,1052,1052,0,0,0,0,0,0,0,0.0
project_vendor,bpf-developer-tutorial,codex,595,595,0,0,0,0,0,0,0,0.0
project_vendor,bpf-developer-tutorial,gemini,17,17,0,0,0,0,0,0,0,0.0
project,eunomia.dev,ALL,13876,13851,21,46,25,21,21,13,21,0.001801671951571058
project_vendor,eunomia.dev,claude,3316,3291,21,46,25,21,21,13,21,0.0075392038600723766
project_vendor,eunomia.dev,codex,10560,10560,0,0,0,0,0,0,0,0.0
