stratum_type,project,vendor,tool_family,source_category,projected_effect,calls,share,ok,fail,observed
overall,ALL,ALL,coordination,subagent,process,5491,0.030286316277171366,0,96,5395
overall,ALL,ALL,coordination,tool,process,1044,0.005758316188921309,12,3,1029
overall,ALL,ALL,coordination,tool,test,3,1.654688560034859e-05,0,0,3
overall,ALL,ALL,edit,edit,process,8321,0.04589554502683353,7969,350,2
overall,ALL,ALL,edit,edit,test,28,0.00015443759893658682,28,0,0
overall,ALL,ALL,edit,edit,write,9451,0.0521282052696315,0,16,9435
overall,ALL,ALL,fetch,network,network,813,0.004484205997694468,772,30,11
overall,ALL,ALL,fetch,network,process,452,0.0024930640971191874,438,12,2
overall,ALL,ALL,multimodal,tool,process,148,0.0008163130229505303,34,3,111
overall,ALL,ALL,network/other,network,network,23,0.00012685945626933918,23,0,0
overall,ALL,ALL,other,tool,network,1,5.515628533449529e-06,1,0,0
overall,ALL,ALL,other,tool,process,107,0.0005901722530790996,71,23,13
overall,ALL,ALL,plan/goal,plan,network,3,1.654688560034859e-05,0,0,3
overall,ALL,ALL,plan/goal,plan,process,1516,0.008361692856709487,9,6,1501
overall,ALL,ALL,plan/goal,plan,test,1,5.515628533449529e-06,0,0,1
overall,ALL,ALL,plan/goal,tool,process,45,0.0002482032840052288,0,0,45
overall,ALL,ALL,read,read,network,19,0.00010479694213554105,19,0,0
overall,ALL,ALL,read,read,process,8921,0.04920492214690325,8812,102,7
overall,ALL,ALL,read,read,test,40,0.00022062514133798118,40,0,0
overall,ALL,ALL,read,tool,process,21,0.00011582819920244011,21,0,0
overall,ALL,ALL,search,network,network,15,8.273442800174294e-05,15,0,0
overall,ALL,ALL,search,network,process,1877,0.010352834757284766,1863,5,9
overall,ALL,ALL,search,read,process,65,0.0003585158546742194,65,0,0
overall,ALL,ALL,shell,shell,network,2485,0.01370633690562208,2139,95,251
overall,ALL,ALL,shell,shell,process,37397,0.20626796026541205,30782,1412,5203
overall,ALL,ALL,shell,shell,read,69546,0.38358990198728093,68282,1179,85
overall,ALL,ALL,shell,shell,repo,1916,0.010567944270089297,1668,116,132
overall,ALL,ALL,shell,shell,test,7246,0.03996624435337529,6101,676,469
overall,ALL,ALL,shell,shell,write,5750,0.03171486406733479,5336,318,96
overall,ALL,ALL,shell,tool,process,2,1.1031257066899058e-05,0,2,0
overall,ALL,ALL,skill,tool,process,76,0.0004191877685421642,75,1,0
overall,ALL,ALL,task,network,network,34,0.000187531370137284,15,0,19
overall,ALL,ALL,task,network,process,4,2.2062514133798116e-05,4,0,0
overall,ALL,ALL,task,subagent,network,1,5.515628533449529e-06,1,0,0
overall,ALL,ALL,task,subagent,process,1545,0.008521646084179524,730,14,801
overall,ALL,ALL,task,subagent,test,8,4.412502826759623e-05,4,0,4
overall,ALL,ALL,tool discovery,network,process,313,0.0017263917309697026,313,0,0
overall,ALL,ALL,wait/control,network,network,7,3.8609399734146705e-05,0,3,4
overall,ALL,ALL,wait/control,tool,process,15901,0.08770400931038097,5721,708,9472
overall,ALL,ALL,write,edit,process,659,0.0036347992035432397,643,15,1
overall,ALL,ALL,write,edit,test,4,2.2062514133798116e-05,4,0,0
overall,ALL,ALL,write,tool,process,4,2.2062514133798116e-05,4,0,0
vendor,ALL,claude,coordination,tool,process,15,0.0004073209145712268,12,3,0
vendor,ALL,claude,edit,edit,process,8321,0.22595448867647858,7969,350,2
vendor,ALL,claude,edit,edit,test,28,0.0007603323738662901,28,0,0
vendor,ALL,claude,fetch,network,network,801,0.021750936838103512,772,26,3
vendor,ALL,claude,fetch,network,process,452,0.012273936892412969,438,12,2
vendor,ALL,claude,multimodal,tool,process,35,0.0009504154673328626,34,1,0
vendor,ALL,claude,network/other,network,network,23,0.0006245587356758812,23,0,0
vendor,ALL,claude,other,tool,network,1,2.715472763808179e-05,1,0,0
vendor,ALL,claude,other,tool,process,70,0.0019008309346657253,68,2,0
vendor,ALL,claude,plan/goal,plan,process,15,0.0004073209145712268,9,6,0
vendor,ALL,claude,read,read,network,19,0.000515939825123554,19,0,0
vendor,ALL,claude,read,read,process,8921,0.24224732525932766,8812,102,7
vendor,ALL,claude,read,read,test,40,0.0010861891055232715,40,0,0
vendor,ALL,claude,search,network,network,15,0.0004073209145712268,15,0,0
vendor,ALL,claude,search,network,process,1864,0.05061641231738446,1850,5,9
vendor,ALL,claude,search,read,process,64,0.0017379025688372346,64,0,0
vendor,ALL,claude,shell,shell,network,271,0.0073589311899201655,248,23,0
vendor,ALL,claude,shell,shell,process,4375,0.11880193341660783,4166,209,0
vendor,ALL,claude,shell,shell,read,8064,0.21897572367349155,7920,142,2
vendor,ALL,claude,shell,shell,repo,352,0.009558464128604791,302,50,0
vendor,ALL,claude,shell,shell,test,957,0.025987074349644274,890,67,0
vendor,ALL,claude,shell,shell,write,284,0.007711942649215229,268,16,0
vendor,ALL,claude,skill,tool,process,76,0.002063759300494216,75,1,0
vendor,ALL,claude,task,network,network,15,0.0004073209145712268,15,0,0
vendor,ALL,claude,task,network,process,4,0.00010861891055232716,4,0,0
vendor,ALL,claude,task,subagent,network,1,2.715472763808179e-05,1,0,0
vendor,ALL,claude,task,subagent,process,754,0.02047466463911367,730,14,10
vendor,ALL,claude,task,subagent,test,4,0.00010861891055232716,4,0,0
vendor,ALL,claude,tool discovery,network,process,313,0.0084994297507196,313,0,0
vendor,ALL,claude,wait/control,tool,process,9,0.0002443925487427361,8,1,0
vendor,ALL,claude,write,edit,process,659,0.0178949655134959,643,15,1
vendor,ALL,claude,write,edit,test,4,0.00010861891055232716,4,0,0
vendor,ALL,codex,coordination,subagent,process,5491,0.03801762755049054,0,96,5395
vendor,ALL,codex,coordination,tool,process,1029,0.0071244106263803975,0,0,1029
vendor,ALL,codex,coordination,tool,test,3,2.0770876461750432e-05,0,0,3
vendor,ALL,codex,edit,edit,write,9451,0.0654351844800011,0,16,9435
vendor,ALL,codex,fetch,network,network,12,8.308350584700173e-05,0,4,8
vendor,ALL,codex,multimodal,tool,process,113,0.0007823696800592663,0,2,111
vendor,ALL,codex,other,tool,process,34,0.0002354032665665049,0,21,13
vendor,ALL,codex,plan/goal,plan,network,3,2.0770876461750432e-05,0,0,3
vendor,ALL,codex,plan/goal,plan,process,1501,0.010392361856362466,0,0,1501
vendor,ALL,codex,plan/goal,plan,test,1,6.923625487250144e-06,0,0,1
vendor,ALL,codex,plan/goal,tool,process,45,0.0003115631469262565,0,0,45
vendor,ALL,codex,shell,shell,network,2214,0.015328906828771818,1891,72,251
vendor,ALL,codex,shell,shell,process,33022,0.22863196083997425,26616,1203,5203
vendor,ALL,codex,shell,shell,read,61482,0.4256783422071133,60362,1037,83
vendor,ALL,codex,shell,shell,repo,1564,0.010828550262059224,1366,66,132
vendor,ALL,codex,shell,shell,test,6289,0.04354268068931615,5211,609,469
vendor,ALL,codex,shell,shell,write,5466,0.03784453691330929,5068,302,96
vendor,ALL,codex,task,network,network,19,0.00013154888425775274,0,0,19
vendor,ALL,codex,task,subagent,process,791,0.005476587760414864,0,0,791
