stratum_type,project,vendor,tool_name,tool_family,calls,share,ok,fail,observed,decisive_failure_rate
overall,ALL,ALL,Agent,task,613,0.0033810802910045614,589,14,10,0.02321724709784411
overall,ALL,ALL,AskUserQuestion,other,12,6.618754240139436e-05,10,2,0,0.16666666666666666
overall,ALL,ALL,Bash,shell,14300,0.07887348802832826,13794,504,2,0.03524968527066723
overall,ALL,ALL,Edit,edit,8349,0.04604998262577012,7997,350,2,0.041931232778243684
overall,ALL,ALL,EnterPlanMode,plan/goal,1,5.515628533449529e-06,1,0,0,0.0
overall,ALL,ALL,ExitPlanMode,plan/goal,1,5.515628533449529e-06,1,0,0,0.0
overall,ALL,ALL,Glob,search,22,0.00012134382773588964,22,0,0,0.0
overall,ALL,ALL,Grep,search,42,0.00023165639840488022,42,0,0,0.0
overall,ALL,ALL,LSP,other,3,1.654688560034859e-05,3,0,0,0.0
overall,ALL,ALL,Monitor,wait/control,9,4.964065680104576e-05,8,1,0,0.1111111111111111
overall,ALL,ALL,Read,read,8980,0.04953034423037677,8871,102,7,0.011367435640254095
overall,ALL,ALL,ReportFindings,other,2,1.1031257066899058e-05,2,0,0,0.0
overall,ALL,ALL,SendMessage,coordination,15,8.273442800174294e-05,12,3,0,0.2
overall,ALL,ALL,SendUserFile,multimodal,35,0.00019304699867073353,34,1,0,0.02857142857142857
overall,ALL,ALL,Skill,skill,76,0.0004191877685421642,75,1,0,0.013157894736842105
overall,ALL,ALL,StructuredOutput,network/other,23,0.00012685945626933918,23,0,0,0.0
overall,ALL,ALL,StructuredOutput,other,52,0.0002868126837393755,52,0,0,0.0
overall,ALL,ALL,TaskCreate,task,56,0.00030887519787317364,56,0,0,0.0
overall,ALL,ALL,TaskStop,task,3,1.654688560034859e-05,3,0,0,0.0
overall,ALL,ALL,TaskUpdate,task,106,0.0005846566245456501,106,0,0,0.0
overall,ALL,ALL,TodoWrite,plan/goal,4,2.2062514133798116e-05,4,0,0,0.0
overall,ALL,ALL,ToolSearch,tool discovery,313,0.0017263917309697026,313,0,0,0.0
overall,ALL,ALL,WebFetch,fetch,1253,0.00691108255241226,1210,38,5,0.030448717948717948
overall,ALL,ALL,WebSearch,search,1879,0.010363866014351665,1865,5,9,0.00267379679144385
overall,ALL,ALL,Workflow,other,2,1.1031257066899058e-05,2,0,0,0.0
overall,ALL,ALL,Write,write,663,0.003656861717677038,647,15,1,0.022658610271903322
overall,ALL,ALL,_add_comment_to_issue,other,4,2.2062514133798116e-05,0,0,4,
overall,ALL,ALL,_add_review_to_pr,other,1,5.515628533449529e-06,0,0,1,
overall,ALL,ALL,_create_pull_request,other,18,9.928131360209152e-05,0,18,0,1.0
overall,ALL,ALL,_fetch,fetch,12,6.618754240139436e-05,0,4,8,1.0
overall,ALL,ALL,_fetch_pr,other,1,5.515628533449529e-06,0,1,0,1.0
overall,ALL,ALL,_fetch_pr_comments,other,2,1.1031257066899058e-05,0,0,2,
overall,ALL,ALL,_get_commit_combined_status,other,1,5.515628533449529e-06,0,0,1,
overall,ALL,ALL,_get_pr_info,other,1,5.515628533449529e-06,0,0,1,
overall,ALL,ALL,_get_repo,other,3,1.654688560034859e-05,0,1,2,1.0
overall,ALL,ALL,_mark_pull_request_ready_for_review,other,1,5.515628533449529e-06,0,1,0,1.0
overall,ALL,ALL,_reply_to_review_comment,other,2,1.1031257066899058e-05,0,0,2,
overall,ALL,ALL,apply_patch,edit,9451,0.0521282052696315,0,16,9435,1.0
overall,ALL,ALL,bash,shell,3,1.654688560034859e-05,0,3,0,1.0
overall,ALL,ALL,close_agent,coordination,203,0.0011196725922902545,0,12,191,1.0
overall,ALL,ALL,create_goal,plan/goal,4,2.2062514133798116e-05,0,0,4,
overall,ALL,ALL,exec,shell,37882,0.20894304010413506,33548,450,3884,0.01323607271015942
overall,ALL,ALL,exec_command,shell,72155,0.3979801768310508,66966,2839,2350,0.04067043908029511
overall,ALL,ALL,followup_task,coordination,395,0.0021786732707125642,0,0,395,
overall,ALL,ALL,get_goal,plan/goal,20,0.00011031257066899059,0,0,20,
overall,ALL,ALL,glob,search,1,5.515628533449529e-06,1,0,0,0.0
overall,ALL,ALL,grep_search,search,13,7.170317093484388e-05,13,0,0,0.0
overall,ALL,ALL,interrupt_agent,coordination,111,0.0006122347672128977,0,0,111,
overall,ALL,ALL,list_agents,coordination,767,0.004230487085155789,0,70,697,1.0
overall,ALL,ALL,list_directory,other,3,1.654688560034859e-05,3,0,0,0.0
overall,ALL,ALL,mcp__actplane__reload_policy,plan/goal,9,4.964065680104576e-05,3,6,0,0.6666666666666666
overall,ALL,ALL,read_file,read,21,0.00011582819920244011,21,0,0,0.0
overall,ALL,ALL,read_thread_terminal,wait/control,1,5.515628533449529e-06,0,0,1,
overall,ALL,ALL,resume_agent,coordination,3,1.654688560034859e-05,0,0,3,
overall,ALL,ALL,run_shell_command,shell,2,1.1031257066899058e-05,0,2,0,1.0
overall,ALL,ALL,send_input,wait/control,63,0.00034748459760732036,0,0,63,
overall,ALL,ALL,send_message,coordination,1032,0.005692128646519914,0,0,1032,
overall,ALL,ALL,spawn_agent,task,814,0.004489721626227917,0,0,814,
overall,ALL,ALL,update_goal,plan/goal,21,0.00011582819920244011,0,0,21,
overall,ALL,ALL,update_plan,plan/goal,1505,0.008301020942841542,0,0,1505,
overall,ALL,ALL,view_image,multimodal,113,0.0006232660242797968,0,2,111,1.0
overall,ALL,ALL,wait,wait/control,4403,0.02428531243277828,3815,35,553,0.00909090909090909
overall,ALL,ALL,wait_agent,coordination,4012,0.02212870167619951,0,14,3998,1.0
overall,ALL,ALL,write_file,write,4,2.2062514133798116e-05,4,0,0,0.0
overall,ALL,ALL,write_stdin,wait/control,11432,0.06305466539439501,1898,675,8859,0.26233968130586865
