project,split,context,top_k,policy_threshold,train_transitions,test_transitions,eligible_next_reads,contexts_seen,prefetches_issued,exact_path_hits,hit_rate_over_next_reads,precision_per_prefetch,runtime_hidden_upper_ms,roundtrips_eliminated_transparent_cache,roundtrips_eliminated_fused_upper
all,in_sample_ceiling,op,1,,172346,172346,47424,12,,1955,0.041224,,,0,1955
all,in_sample_ceiling,op,3,,172346,172346,47424,12,,4287,0.090397,,,0,4287
all,chronological_80_20_conditional,op,1,oracle_next_is_read,159106,13240,2314,2314,2314,88,0.038029,0.038029,29076,0,88
all,chronological_80_20_conditional,op,3,oracle_next_is_read,159106,13240,2314,2314,6942,175,0.075627,0.025209,48858,0,175
all,chronological_80_20_actionable,op,1,0.250000,159106,13240,2314,13240,4402,25,0.010804,0.005679,4060,0,25
all,chronological_80_20_actionable,op,1,0.500000,159106,13240,2314,13240,2492,22,0.009507,0.008828,3701,0,22
all,chronological_80_20_actionable,op,1,0.750000,159106,13240,2314,13240,0,0,0.000000,0.000000,0,0,0
all,in_sample_ceiling,op_target,1,,172346,172346,47424,10262,,24405,0.514613,,,0,24405
all,in_sample_ceiling,op_target,3,,172346,172346,47424,10262,,33787,0.712445,,,0,33787
all,chronological_80_20_conditional,op_target,1,oracle_next_is_read,159106,13240,2314,1601,1601,732,0.316335,0.457214,174186,0,732
all,chronological_80_20_conditional,op_target,3,oracle_next_is_read,159106,13240,2314,1601,4321,868,0.375108,0.200879,224424,0,868
all,chronological_80_20_actionable,op_target,1,0.250000,159106,13240,2314,9413,2911,633,0.273552,0.217451,141035,0,633
all,chronological_80_20_actionable,op_target,1,0.500000,159106,13240,2314,9413,1741,377,0.162921,0.216542,90614,0,377
all,chronological_80_20_actionable,op_target,1,0.750000,159106,13240,2314,9413,242,38,0.016422,0.157025,2989,0,38
ActPlane,in_sample_ceiling,op,1,,62129,62129,17214,12,,1408,0.081794,,,0,1408
ActPlane,in_sample_ceiling,op,3,,62129,62129,17214,12,,3134,0.182061,,,0,3134
ActPlane,chronological_80_20_conditional,op,1,oracle_next_is_read,56290,5839,993,993,993,76,0.076536,0.076536,20667,0,76
ActPlane,chronological_80_20_conditional,op,3,oracle_next_is_read,56290,5839,993,993,2979,337,0.339376,0.113125,92949,0,337
ActPlane,chronological_80_20_actionable,op,1,0.250000,56290,5839,993,5839,1899,69,0.069486,0.036335,19319,0,69
ActPlane,chronological_80_20_actionable,op,1,0.500000,56290,5839,993,5839,1027,0,0.000000,0.000000,0,0,0
ActPlane,chronological_80_20_actionable,op,1,0.750000,56290,5839,993,5839,0,0,0.000000,0.000000,0,0,0
ActPlane,in_sample_ceiling,op_target,1,,62129,62129,17214,3504,,9246,0.537121,,,0,9246
ActPlane,in_sample_ceiling,op_target,3,,62129,62129,17214,3504,,12909,0.749913,,,0,12909
ActPlane,chronological_80_20_conditional,op_target,1,oracle_next_is_read,56290,5839,993,812,812,352,0.354481,0.433498,100469,0,352
ActPlane,chronological_80_20_conditional,op_target,3,oracle_next_is_read,56290,5839,993,812,2294,444,0.447130,0.193548,133947,0,444
ActPlane,chronological_80_20_actionable,op_target,1,0.250000,56290,5839,993,4620,1402,308,0.310171,0.219686,86554,0,308
ActPlane,chronological_80_20_actionable,op_target,1,0.500000,56290,5839,993,4620,1178,278,0.279960,0.235993,81683,0,278
ActPlane,chronological_80_20_actionable,op_target,1,0.750000,56290,5839,993,4620,75,10,0.010070,0.133333,1219,0,10
academic-writing-skills,in_sample_ceiling,op,1,,813,813,243,7,,16,0.065844,,,0,16
academic-writing-skills,in_sample_ceiling,op,3,,813,813,243,7,,36,0.148148,,,0,36
academic-writing-skills,chronological_80_20_conditional,op,1,oracle_next_is_read,459,354,57,57,57,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_conditional,op,3,oracle_next_is_read,459,354,57,57,169,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_actionable,op,1,0.250000,459,354,57,348,123,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_actionable,op,1,0.500000,459,354,57,348,66,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_actionable,op,1,0.750000,459,354,57,348,66,0,0.000000,0.000000,0,0,0
academic-writing-skills,in_sample_ceiling,op_target,1,,813,813,243,182,,193,0.794239,,,0,193
academic-writing-skills,in_sample_ceiling,op_target,3,,813,813,243,182,,235,0.967078,,,0,235
academic-writing-skills,chronological_80_20_conditional,op_target,1,oracle_next_is_read,459,354,57,15,15,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_conditional,op_target,3,oracle_next_is_read,459,354,57,15,30,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_actionable,op_target,1,0.250000,459,354,57,95,32,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_actionable,op_target,1,0.500000,459,354,57,95,25,0,0.000000,0.000000,0,0,0
academic-writing-skills,chronological_80_20_actionable,op_target,1,0.750000,459,354,57,95,24,0,0.000000,0.000000,0,0,0
agentsight,in_sample_ceiling,op,1,,93903,93903,26696,12,,1489,0.055776,,,0,1489
agentsight,in_sample_ceiling,op,3,,93903,93903,26696,12,,2973,0.111365,,,0,2973
agentsight,chronological_80_20_conditional,op,1,oracle_next_is_read,91346,2557,692,692,692,60,0.086705,0.086705,9838,0,60
agentsight,chronological_80_20_conditional,op,3,oracle_next_is_read,91346,2557,692,692,2076,81,0.117052,0.039017,10557,0,81
agentsight,chronological_80_20_actionable,op,1,0.250000,91346,2557,692,2557,1286,25,0.036127,0.019440,4060,0,25
agentsight,chronological_80_20_actionable,op,1,0.500000,91346,2557,692,2557,723,22,0.031792,0.030429,3701,0,22
agentsight,chronological_80_20_actionable,op,1,0.750000,91346,2557,692,2557,0,0,0.000000,0.000000,0,0,0
agentsight,in_sample_ceiling,op_target,1,,93903,93903,26696,5710,,13484,0.505094,,,0,13484
agentsight,in_sample_ceiling,op_target,3,,93903,93903,26696,5710,,18834,0.705499,,,0,18834
agentsight,chronological_80_20_conditional,op_target,1,oracle_next_is_read,91346,2557,692,437,437,208,0.300578,0.475973,27278,0,208
agentsight,chronological_80_20_conditional,op_target,3,oracle_next_is_read,91346,2557,692,437,1148,226,0.326590,0.196864,28675,0,226
agentsight,chronological_80_20_actionable,op_target,1,0.250000,91346,2557,692,1568,797,176,0.254335,0.220828,22431,0,176
agentsight,chronological_80_20_actionable,op_target,1,0.500000,91346,2557,692,1568,366,75,0.108382,0.204918,6384,0,75
agentsight,chronological_80_20_actionable,op_target,1,0.750000,91346,2557,692,1568,60,11,0.015896,0.183333,961,0,11
agentskill-observability-paper,in_sample_ceiling,op,1,,817,817,272,10,,161,0.591912,,,0,161
agentskill-observability-paper,in_sample_ceiling,op,3,,817,817,272,10,,195,0.716912,,,0,195
agentskill-observability-paper,chronological_80_20_conditional,op,1,oracle_next_is_read,738,79,31,31,31,14,0.451613,0.451613,913,0,14
agentskill-observability-paper,chronological_80_20_conditional,op,3,oracle_next_is_read,738,79,31,31,91,14,0.451613,0.153846,913,0,14
agentskill-observability-paper,chronological_80_20_actionable,op,1,0.250000,738,79,31,79,77,14,0.451613,0.181818,913,0,14
agentskill-observability-paper,chronological_80_20_actionable,op,1,0.500000,738,79,31,79,1,0,0.000000,0.000000,0,0,0
agentskill-observability-paper,chronological_80_20_actionable,op,1,0.750000,738,79,31,79,0,0,0.000000,0.000000,0,0,0
agentskill-observability-paper,in_sample_ceiling,op_target,1,,817,817,272,67,,221,0.812500,,,0,221
