project,worktree_id,artifact_id,event_id,event_index,ts_ms,session_id,source_stream_id,prompt_index,path,artifact_type,module_anchor,operations,raw_mutation_rows,artifact_episode_ordinal,repeat_episode,validation_outcome,validation_associated
agentsight,e58fce112c6e,agentsight:a00000003,df9891d4fea0d6a6,1722,1780298951521,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,7,collector/src/main.rs,code,collector,write,1,1,False,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,ba5c90403dce98b9,1726,1780298970417,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,7,collector/src/main.rs,code,collector,write,1,2,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000012,fe005c50ab85ad84,1730,1780298983735,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,7,collector/Cargo.toml,config,collector,write,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,fbbc880a11453aef,1738,1780299045848,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,7,collector/src/main.rs,code,collector,write,1,3,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,aba3ced129085ce2,1740,1780299058945,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,7,collector/src/main.rs,code,collector,write,1,4,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000020,020b2ee5b35310aa,1751,1780299258121,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,8,README.md,paper/docs,repo-root,write,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000039,04035611c637ed0c,1769,1780299595844,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,collector/src/framework/runners/common.rs,code,collector,write,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000012,34d3a0de74f35e72,1771,1780299602315,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,collector/Cargo.toml,config,collector,write,1,2,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,ed98a554cd14fdf2,1775,1780299627611,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,collector/src/main.rs,code,collector,write,1,5,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,0fc9b79ba2763e9c,1777,1780299638950,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,collector/src/main.rs,code,collector,write,1,6,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,357196f4d9afee50,1779,1780299649897,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,collector/src/main.rs,code,collector,write,1,7,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,6c09ec81f7200bdd,1781,1780299662588,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,collector/src/main.rs,code,collector,write,1,8,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000020,fe50ee2e1b7a2008,1793,1780299751992,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,12,README.md,paper/docs,repo-root,write,1,2,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,769f996785d83ed8,1802,1780300165226,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,15,collector/src/main.rs,code,collector,write,1,9,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,406fb9a998a02290,1808,1780300216199,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,17,collector/src/main.rs,code,collector,write,1,10,True,observed_validation,True
