cohort,winner,rate_delta_per_1k,codex_rate_per_1k,claude_rate_per_1k,codex,claude,total,one_sided,stack
top,codex,222.222,222.222,0.0,6,0,6,True,project:agentsight;session:countlines;prompt:readline;tool:shell;cmd:rg;effect:read;path:docs/visexp/experiment_plan.md;status:ok
top,codex,185.185,185.185,0.0,5,0,5,True,project:agentsight;session:documentqa;prompt:readcheck;tool:shell;cmd:rg;effect:read;path:docs/visexp/paper;status:ok
top,codex,185.185,185.185,0.0,5,0,5,True,project:agentsight;session:ruling;prompt:readmd;tool:shell;cmd:sed;effect:read;path:docs/visexp/out;status:ok
top,codex,185.185,185.185,0.0,5,0,5,True,project:agentsight;session:verdict;prompt:readfile;tool:shell;cmd:rg;effect:read;path:docs/visexp/claim_verdict.md;status:ok
top,codex,148.148,148.148,0.0,4,0,4,True,project:agentsight;session:updatedocs;prompt:reviewdoc;tool:shell;cmd:sed;effect:read;path:docs/visexp/state.md;status:ok
top,codex,37.037,37.037,0.0,1,0,1,True,project:agentsight;session:documentqa;prompt:readcheck;tool:shell;cmd:rg;effect:read;path:docs/visexp/paper;status:fail
top,codex,37.037,37.037,0.0,1,0,1,True,project:agentsight;session:updatedocs;prompt:reviewdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/state.md;status:ok
subagent,codex,31.359,31.359,0.0,18,0,18,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
all,codex,29.95,29.95,0.0,18,0,18,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
subagent,codex,27.875,27.875,0.0,16,0,16,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
all,codex,26.622,26.622,0.0,16,0,16,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,codex,22.648,22.648,0.0,13,0,13,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:collector/src/sources;status:ok
subagent,codex,22.648,22.648,0.0,13,0,13,True,project:agentsight;session:reviewing;prompt:review;tool:shell;cmd:git;effect:read;path:a34bdef:docs/visexp;status:ok
all,codex,21.631,21.631,0.0,13,0,13,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:collector/src/sources;status:ok
all,codex,21.631,21.631,0.0,13,0,13,True,project:agentsight;session:reviewing;prompt:review;tool:shell;cmd:git;effect:read;path:a34bdef:docs/visexp;status:ok
subagent,codex,17.422,17.422,0.0,10,0,10,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
subagent,codex,17.422,17.422,0.0,10,0,10,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
all,codex,16.639,16.639,0.0,10,0,10,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
all,codex,16.639,16.639,0.0,10,0,10,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
