agentpprof semantic profile
projection=network
project=agentsight
Type: network_events
Time: Jun 16, 2026 at 2:06pm (PDT)
Showing nodes accounting for 82, 100% of 82 total
      flat  flat%   sum%        cum   cum%
        32 39.02% 39.02%         32 39.02%  domain:127.0.0.1:18080
        25 30.49% 69.51%         25 30.49%  domain:crates.io
         9 10.98% 80.49%          9 10.98%  domain:github.com
         6  7.32% 87.80%          6  7.32%  domain:openai.yaml
         5  6.10% 93.90%          5  6.10%  domain:127.0.0.1:7396
         1  1.22% 95.12%          1  1.22%  domain:127.0.0.1:_port
         1  1.22% 96.34%          1  1.22%  domain:127.0.0.1:_srv.server_port
         1  1.22% 97.56%          1  1.22%  domain:api.github.com
         1  1.22% 98.78%          1  1.22%  domain:docs.rs
         1  1.22%   100%          1  1.22%  domain:lib.rs
         0     0%   100%         82   100%  agent:codex
         0     0%   100%         44 53.66%  effect:network
         0     0%   100%          1  1.22%  effect:process
         0     0%   100%         23 28.05%  effect:read
         0     0%   100%          1  1.22%  effect:repo
         0     0%   100%         13 15.85%  effect:write
         0     0%   100%          1  1.22%  process:body_cat
         0     0%   100%          6  7.32%  process:cargo
         0     0%   100%          1  1.22%  process:cat
         0     0%   100%         18 21.95%  process:curl
         0     0%   100%          2  2.44%  process:find
         0     0%   100%          1  1.22%  process:for
         0     0%   100%          2  2.44%  process:gh
         0     0%   100%          3  3.66%  process:git
         0     0%   100%          4  4.88%  process:python
         0     0%   100%          8  9.76%  process:python3
         0     0%   100%          4  4.88%  process:pythonpath_agentflame
         0     0%   100%          6  7.32%  process:rg
         0     0%   100%          3  3.66%  process:rm
         0     0%   100%          1  1.22%  process:rust_backtrace_1
         0     0%   100%         13 15.85%  process:sed
         0     0%   100%          4  4.88%  process:set
         0     0%   100%          4  4.88%  process:time
         0     0%   100%          1  1.22%  process:tmp_mktemp
         0     0%   100%         82   100%  project:agentsight
         0     0%   100%         11 13.41%  prompt:design
         0     0%   100%          4  4.88%  prompt:git
         0     0%   100%          4  4.88%  prompt:inspect
         0     0%   100%          1  1.22%  prompt:network
         0     0%   100%          1  1.22%  prompt:paper
         0     0%   100%         23 28.05%  prompt:profile
         0     0%   100%          1  1.22%  prompt:session
         0     0%   100%         21 25.61%  prompt:tagging
         0     0%   100%         16 19.51%  prompt:work
         0     0%   100%          7  8.54%  session:git
         0     0%   100%         21 25.61%  session:paper
         0     0%   100%         54 65.85%  session:visual
