agentpprof semantic profile
projection=tokens
project=agentsight
Type: tokens
Time: Jun 16, 2026 at 2:06pm (PDT)
Showing nodes accounting for 1838317567, 99.79% of 1842223477 total
Dropped 37 nodes (cum <= 9211117)
      flat  flat%   sum%        cum   cum%
 941013759 51.08% 51.08%  941013759 51.08%  token:input
 897303808 48.71% 99.79%  897303808 48.71%  token:cache
         0     0% 99.79% 1842223477   100%  agent:codex
         0     0% 99.79%   64657594  3.51%  call:llm:claim
         0     0% 99.79%   13509473  0.73%  call:llm:cleanup
         0     0% 99.79%   35273223  1.91%  call:llm:cluster
         0     0% 99.79%   21119167  1.15%  call:llm:collector
         0     0% 99.79%   27256203  1.48%  call:llm:debug
         0     0% 99.79%   99242636  5.39%  call:llm:design
         0     0% 99.79%   12517728  0.68%  call:llm:diff
         0     0% 99.79%   31892812  1.73%  call:llm:frontend
         0     0% 99.79%   25951621  1.41%  call:llm:git
         0     0% 99.79%   64541382  3.50%  call:llm:implement
         0     0% 99.79%   59564307  3.23%  call:llm:inspect
         0     0% 99.79%   54385052  2.95%  call:llm:model
         0     0% 99.79%   20156223  1.09%  call:llm:network
         0     0% 99.79%  356927138 19.37%  call:llm:paper
         0     0% 99.79%  143142680  7.77%  call:llm:profile
         0     0% 99.79%  318403636 17.28%  call:llm:response
         0     0% 99.79%  118374034  6.43%  call:llm:session
         0     0% 99.79%   37076497  2.01%  call:llm:subagent
         0     0% 99.79%  141904937  7.70%  call:llm:tagging
         0     0% 99.79%  128283619  6.96%  call:llm:test
         0     0% 99.79%   57373067  3.11%  call:llm:visual
         0     0% 99.79% 1803539473 97.90%  model:gpt-5.5
         0     0% 99.79%   38684004  2.10%  model:openai
         0     0% 99.79% 1842223477   100%  project:agentsight
         0     0% 99.79%  613062466 33.28%  prompt:design
         0     0% 99.79%   30140637  1.64%  prompt:implement
         0     0% 99.79%   25314118  1.37%  prompt:inspect
         0     0% 99.79%   16899043  0.92%  prompt:network
         0     0% 99.79%  153912800  8.35%  prompt:paper
         0     0% 99.79%   15447503  0.84%  prompt:pr
         0     0% 99.79%  127785372  6.94%  prompt:profile
         0     0% 99.79%   26325330  1.43%  prompt:session
         0     0% 99.79%   76552649  4.16%  prompt:tagging
         0     0% 99.79%   10936449  0.59%  prompt:visual
         0     0% 99.79%  702674372 38.14%  prompt:work
         0     0% 99.79%   85890027  4.66%  session:git
         0     0% 99.79%  235440793 12.78%  session:paper
         0     0% 99.79% 1520856958 82.56%  session:visual
