agentpprof semantic profile
projection=tools
project=agentsight
Type: tool_events
Time: Jun 16, 2026 at 2:06pm (PDT)
Showing nodes accounting for 12042, 92.45% of 13025 total
Dropped 778 nodes (cum <= 65)
      flat  flat%   sum%        cum   cum%
      2582 19.82% 19.82%       2582 19.82%  process:sed
      2410 18.50% 38.33%       2410 18.50%  process:rg
      2139 16.42% 54.75%       2139 16.42%  process:git
      1874 14.39% 69.14%       1874 14.39%  process:python3
       393  3.02% 72.15%        393  3.02%  process:find
       373  2.86% 75.02%        373  2.86%  process:update_plan
       358  2.75% 77.77%        358  2.75%  process:cargo
       354  2.72% 80.48%        354  2.72%  process:write_stdin
       280  2.15% 82.63%        280  2.15%  process:spawn_agent
       193  1.48% 84.12%        193  1.48%  process:nl
       153  1.17% 85.29%        153  1.17%  process:jq
       143  1.10% 86.39%        143  1.10%  process:printf
       139  1.07% 87.45%        139  1.07%  process:rm
       131  1.01% 88.46%        131  1.01%  process:ls
       128  0.98% 89.44%        128  0.98%  process:xelatex
       124  0.95% 90.40%        124  0.95%  process:cat
       122  0.94% 91.33%        122  0.94%  process:gh
        75  0.58% 91.91%         75  0.58%  process:head
        71  0.55% 92.45%         71  0.55%  process:wait_agent
         0     0% 92.45%      13025   100%  agent:codex
         0     0% 92.45%        111  0.85%  call:tool:cluster
         0     0% 92.45%        136  1.04%  call:tool:debug
         0     0% 92.45%        567  4.35%  call:tool:design
         0     0% 92.45%         73  0.56%  call:tool:inspect
         0     0% 92.45%        127  0.98%  call:tool:model
         0     0% 92.45%        107  0.82%  call:tool:network
         0     0% 92.45%        557  4.28%  call:tool:paper
         0     0% 92.45%        556  4.27%  call:tool:profile
         0     0% 92.45%       7660 58.81%  call:tool:read
         0     0% 92.45%        371  2.85%  call:tool:repo
         0     0% 92.45%        499  3.83%  call:tool:session
         0     0% 92.45%        151  1.16%  call:tool:shell
         0     0% 92.45%        131  1.01%  call:tool:subagent
         0     0% 92.45%        159  1.22%  call:tool:tagging
         0     0% 92.45%        463  3.55%  call:tool:test
         0     0% 92.45%         76  0.58%  call:tool:visual
         0     0% 92.45%       1137  8.73%  call:tool:write
         0     0% 92.45%         97  0.74%  effect:network
         0     0% 92.45%       3508 26.93%  effect:process
         0     0% 92.45%       7660 58.81%  effect:read
         0     0% 92.45%        371  2.85%  effect:repo
         0     0% 92.45%        252  1.93%  effect:test
         0     0% 92.45%       1137  8.73%  effect:write
