rank,prompt_tag,total_weight,top_behavior_share_pct,distinct_behaviors,behavior_entropy_bits,top_behaviors
1,analyze,11457,10.98,143,4.657921,process:docker;effect:process;status:ok=1258; process:sed;effect:read;status:ok=1153; process:tail;effect:read;status:ok=993; process:rg;effect:read;status:ok=981; process:tool:tool;effect:process;status:observed=798; process:tool:tool;effect:process;status:ok=797; process:python3;effect:process;status:ok=773; process:git;effect:read;status:ok=685
2,branding,509,11.788,63,4.84646,process:git;effect:read;status:ok=60; process:gh;effect:process;status:ok=58; process:sed;effect:read;status:ok=58; process:tool:tool;effect:process;status:ok=27; process:tool:tool;effect:process;status:observed=26; process:find;effect:read;status:ok=25; process:git;effect:repo;status:ok=24; process:rg;effect:read;status:ok=17
3,build,724,12.707,54,4.406614,process:cd;effect:process;status:ok=92; process:git;effect:read;status:ok=91; process:tool:edit;effect:process;status:ok=76; process:rg;effect:read;status:ok=71; process:find;effect:read;status:ok=58; process:sed;effect:read;status:ok=44; process:tool:read;effect:process;status:ok=43; process:grep;effect:read;status:ok=25
4,docgen,131,12.977,22,4.02545,process:python3;effect:process;status:ok=17; process:cargo;effect:process;status:ok=16; process:rg;effect:read;status:ok=13; process:find;effect:read;status:ok=10; process:git;effect:read;status:ok=10; process:jq;effect:read;status:ok=10; process:sed;effect:read;status:ok=8; process:head;effect:read;status:ok=6
5,todo,292,15.068,28,4.0113,process:tool:tool;effect:process;status:ok=44; process:sed;effect:read;status:ok=38; process:rg;effect:read;status:ok=37; process:git;effect:read;status:ok=36; process:actplane;effect:process;status:ok=16; process:cargo;effect:test;status:ok=13; process:actplane;effect:process;status:observed=12; process:rm;effect:write;status:ok=12
6,test,8012,15.14,225,5.025326,process:sed;effect:read;status:ok=1213; process:rg;effect:read;status:ok=911; process:git;effect:read;status:ok=781; process:tool:tool;effect:process;status:ok=601; process:tool:tool;effect:process;status:observed=521; process:find;effect:read;status:ok=359; process:python3;effect:process;status:ok=227; process:tail;effect:read;status:ok=213
7,docs,3477,15.243,124,4.894375,process:rg;effect:read;status:ok=530; process:sed;effect:read;status:ok=494; process:git;effect:read;status:ok=365; process:nl;effect:read;status:ok=208; process:cd;effect:process;status:ok=118; process:tool:tool;effect:process;status:ok=118; process:python3;effect:process;status:ok=107; process:tool:read;effect:process;status:ok=105
8,install,151,15.894,25,3.917134,process:git;effect:read;status:ok=24; process:sed;effect:read;status:ok=24; process:tool:tool;effect:process;status:observed=21; process:rg;effect:read;status:ok=13; process:gh;effect:process;status:ok=11; process:tool:tool;effect:process;status:ok=7; process:rm;effect:write;status:fail=6; process:cargo;effect:test;status:ok=5
9,backup,116,16.379,25,3.858293,process:find;effect:read;status:ok=19; process:jq;effect:read;status:ok=19; process:local-artifact;effect:process;status:ok=18; process:tool:tool;effect:process;status:ok=10; process:f_find;effect:process;status:ok=8; process:du;effect:process;status:ok=6; process:cd;effect:process;status:ok=4; process:tar;effect:process;status:ok=4
10,eval,273,16.85,24,3.788632,process:python3;effect:process;status:ok=46; process:sed;effect:read;status:ok=45; process:find;effect:read;status:ok=31; process:rg;effect:read;status:ok=22; process:tool:tool;effect:process;status:ok=21; process:cat;effect:read;status:ok=20; process:tool:tool;effect:process;status:observed=15; process:du;effect:process;status:ok=14
11,analyzesess,179,17.877,24,3.857211,process:rg;effect:read;status:ok=32; process:sed;effect:read;status:ok=27; process:python3;effect:process;status:ok=21; process:git;effect:read;status:ok=17; process:find;effect:read;status:ok=13; process:cat;effect:read;status:ok=9; process:tool:tool;effect:process;status:observed=7; process:python3;effect:process;status:observed=6
12,analysis,143,18.182,25,3.914291,process:agentsight-userflow;effect:process;status:ok=26; process:rg;effect:read;status:ok=17; process:agentsight-userflow;effect:process;status:fail=16; process:cp;effect:process;status:ok=12; process:find;effect:read;status:ok=12; process:sed;effect:read;status:ok=10; process:pwd;effect:process;status:ok=8; process:ls;effect:read;status:ok=7
13,design,15705,18.606,195,4.663452,process:rg;effect:read;status:ok=2922; process:sed;effect:read;status:ok=2918; process:tool:tool;effect:process;status:ok=1448; process:tool:tool;effect:process;status:observed=928; process:git;effect:read;status:ok=868; process:find;effect:read;status:ok=789; process:tail;effect:read;status:ok=340; process:nl;effect:read;status:ok=326
14,report,454,18.722,34,3.704724,process:sed;effect:read;status:ok=85; process:git;effect:read;status:ok=80; process:agentsight;effect:process;status:ok=64; process:rg;effect:read;status:ok=47; process:tool:tool;effect:process;status:observed=43; process:cargo;effect:process;status:ok=21; process:sha256sum;effect:process;status:ok=18; process:cargo;effect:test;status:ok=11
15,refactor,73162,18.985,491,4.591923,process:rg;effect:read;status:ok=13890; process:sed;effect:read;status:ok=13514; process:tool:tool;effect:process;status:ok=6338; process:git;effect:read;status:ok=5625; process:tool:tool;effect:process;status:observed=4289; process:find;effect:read;status:ok=2827; process:nl;effect:read;status:ok=2517; process:python3;effect:process;status:ok=1830
16,commitlog,1361,19.251,37,3.873856,process:sed;effect:read;status:ok=262; process:rg;effect:read;status:ok=181; process:cargo;effect:test;status:ok=174; process:git;effect:read;status:ok=156; process:tool:subagent;effect:process;status:observed=90; process:python3;effect:process;status:ok=74; process:cargo;effect:test;status:fail=59; process:tool:plan;effect:process;status:observed=52
17,research,4736,19.637,146,4.619744,process:sed;effect:read;status:ok=930; process:rg;effect:read;status:ok=674; process:git;effect:read;status:ok=571; process:cargo;effect:test;status:ok=250; process:find;effect:read;status:ok=209; process:python3;effect:process;status:ok=204; process:tool:tool;effect:process;status:ok=167; process:tool:plan;effect:process;status:observed=151
18,explain,1463,19.891,51,3.984541,process:git;effect:read;status:ok=291; process:sed;effect:read;status:ok=251; process:rg;effect:read;status:ok=191; process:cargo;effect:test;status:ok=131; process:git;effect:repo;status:ok=81; process:tool:plan;effect:process;status:observed=76; process:find;effect:read;status:ok=43; process:python3;effect:process;status:ok=38
19,merge,472,20.127,49,4.340255,process:git;effect:read;status:ok=95; process:rg;effect:read;status:ok=52; process:sed;effect:read;status:ok=49; process:python3;effect:write;status:ok=39; process:gh;effect:process;status:ok=28; process:agentsight;effect:process;status:ok=18; process:git;effect:repo;status:ok=17; process:rustfmt;effect:process;status:ok=16
20,foldersetup,139,20.144,26,3.986196,process:git;effect:read;status:ok=28; process:sed;effect:read;status:ok=19; process:tool:tool;effect:process;status:ok=13; process:find;effect:read;status:ok=10; process:balancer_ingress;effect:process;status:ok=9; process:cargo;effect:test;status:ok=8; process:python3;effect:process;status:ok=7; process:cmp;effect:process;status:ok=6
21,serve,138,20.29,17,3.493798,process:du;effect:process;status:ok=28; process:tool:tool;effect:process;status:ok=21; process:tool:tool;effect:process;status:observed=19; process:find;effect:read;status:ok=14; process:ps;effect:process;status:ok=14; process:python3;effect:process;status:ok=7; process:ls;effect:read;status:ok=6; process:rm;effect:process;status:ok=6
22,trace,1401,20.343,96,4.442835,process:sed;effect:read;status:ok=285; process:rg;effect:read;status:ok=254; process:git;effect:read;status:ok=199; process:tool:tool;effect:process;status:ok=82; process:cargo;effect:test;status:ok=47; process:find;effect:read;status:ok=41; process:nl;effect:read;status:ok=40; process:tool:plan;effect:process;status:ok=27
23,tag,259,20.463,35,3.981145,process:sed;effect:read;status:ok=53; process:git;effect:read;status:ok=46; process:git;effect:repo;status:ok=23; process:pythonpath_agentflame;effect:process;status:ok=21; process:tool:plan;effect:process;status:observed=17; process:find;effect:read;status:ok=17; process:rg;effect:read;status:ok=13; process:curl;effect:network;status:ok=5
24,log,171,20.468,20,3.461756,process:git;effect:read;status:ok=35; process:rg;effect:read;status:ok=33; process:nl;effect:read;status:ok=23; process:sed;effect:read;status:ok=17; process:find;effect:read;status:ok=13; process:cargo;effect:test;status:ok=10; process:rm;effect:process;status:ok=9; process:tool:plan;effect:process;status:observed=5
25,review,33267,20.474,346,4.578721,process:rg;effect:read;status:ok=6811; process:sed;effect:read;status:ok=5006; process:git;effect:read;status:ok=3879; process:nl;effect:read;status:ok=2959; process:tool:tool;effect:process;status:ok=1869; process:find;effect:read;status:ok=1336; process:cargo;effect:test;status:ok=644; process:wc;effect:read;status:ok=579
26,ignored,1221,20.803,40,3.674419,process:sed;effect:read;status:ok=254; process:tool:tool;effect:process;status:ok=206; process:git;effect:read;status:ok=199; process:rg;effect:read;status:ok=149; process:python3;effect:process;status:ok=63; process:python3;effect:write;status:ok=46; process:llvm-objdump;effect:process;status:ok=37; process:tool:plan;effect:process;status:ok=30
27,doc,171,21.053,24,3.642055,process:rg;effect:read;status:ok=36; process:sed;effect:read;status:ok=34; process:tool:tool;effect:process;status:ok=18; process:git;effect:read;status:ok=14; process:cargo;effect:test;status:ok=12; process:python3;effect:process;status:ok=11; process:rm;effect:write;status:ok=7; process:find;effect:read;status:ok=5
28,testcodexrun,198,21.212,22,3.747356,process:find;effect:read;status:ok=42; process:sed;effect:read;status:ok=28; process:python3;effect:process;status:ok=20; process:tool:tool;effect:process;status:ok=19; process:git;effect:read;status:ok=16; process:ps;effect:process;status:ok=12; process:llama-server;effect:process;status:ok=8; process:tool:tool;effect:process;status:observed=8
29,evaluate,274,21.533,20,3.49669,process:sed;effect:read;status:ok=59; process:rg;effect:read;status:ok=49; process:git;effect:read;status:ok=35; process:find;effect:read;status:ok=26; process:python3;effect:process;status:ok=21; process:jq;effect:read;status:ok=16; process:nl;effect:read;status:ok=14; process:wc;effect:read;status:ok=10
30,compare,535,21.682,40,3.970382,process:tool:tool;effect:process;status:ok=116; process:rg;effect:read;status:ok=80; process:sed;effect:read;status:ok=55; process:jq;effect:read;status:ok=39; process:python3;effect:process;status:ok=33; process:tail;effect:read;status:ok=30; process:find;effect:read;status:ok=22; process:git;effect:read;status:ok=22
31,debug,1587,22.18,75,4.116471,process:rg;effect:read;status:ok=352; process:sed;effect:read;status:ok=291; process:tool:tool;effect:process;status:ok=185; process:tool:tool;effect:process;status:observed=122; process:git;effect:read;status:ok=90; process:python3;effect:process;status:ok=54; process:nl;effect:read;status:ok=49; process:find;effect:read;status:ok=36
32,docsfix,118,23.729,11,3.113897,process:python3;effect:process;status:ok=28; process:nl;effect:read;status:ok=24; process:git;effect:read;status:ok=12; process:tool:tool;effect:process;status:ok=11; process:sed;effect:read;status:ok=10; process:set;effect:process;status:observed=8; process:set;effect:process;status:ok=8; process:python3;effect:process;status:observed=6
33,testcodex,982,24.542,67,4.068993,process:git;effect:read;status:ok=241; process:sed;effect:read;status:ok=182; process:rg;effect:read;status:ok=133; process:find;effect:read;status:ok=42; process:actplane;effect:process;status:ok=38; process:tool:tool;effect:process;status:ok=34; process:nl;effect:read;status:ok=20; process:python3;effect:process;status:ok=20
34,benchmark,4033,24.82,78,3.868778,process:sed;effect:read;status:ok=1001; process:rg;effect:read;status:ok=783; process:tool:tool;effect:process;status:observed=600; process:tool:tool;effect:process;status:ok=251; process:find;effect:read;status:ok=145; process:tool:tool;effect:process;status:fail=143; process:nl;effect:read;status:ok=112; process:tool:plan;effect:process;status:observed=93
35,cli,157,24.841,25,3.73605,process:tool:read;effect:process;status:ok=39; process:grep;effect:read;status:ok=20; process:git;effect:read;status:ok=20; process:find;effect:read;status:ok=12; process:uvx;effect:process;status:ok=12; process:wc;effect:read;status:ok=6; process:tool:tool;effect:process;status:ok=6; process:cargo;effect:test;status:ok=6
36,validate,658,25.076,30,3.380984,process:git;effect:read;status:ok=165; process:tool:tool;effect:process;status:ok=134; process:rg;effect:read;status:ok=110; process:find;effect:read;status:ok=39; process:sed;effect:read;status:ok=36; process:nl;effect:read;status:ok=34; process:python3;effect:process;status:ok=28; process:make;effect:process;status:ok=17
37,flags,131,25.191,21,3.444467,process:sed;effect:read;status:ok=33; process:rg;effect:read;status:ok=23; process:git;effect:read;status:ok=19; process:tool:tool;effect:process;status:ok=12; process:python3;effect:write;status:ok=7; process:tool:plan;effect:process;status:observed=6; process:for;effect:process;status:ok=4; process:llvm-objdump;effect:process;status:ok=4
