mode,dimension,display_tag,support,raw_tag_count,candidate_rows,review_required_rows,raw_tags,top_processes,top_effects,user_visible_drilldown
raw,session,refactor,89914,1,0,0,refactor=89914,,,True
raw,prompt,refactor,73162,1,0,0,refactor=73162,,,True
raw,llm,refactor,41263,1,0,0,refactor=41263,,,True
raw,prompt,review,33267,1,0,0,review=33267,,,True
raw,session,review,29164,1,0,0,review=29164,,,True
raw,session,design,25434,1,0,0,design=25434,,,True
raw,llm,analyze,18712,1,0,0,analyze=18712,,,True
raw,prompt,design,15705,1,0,0,design=15705,,,True
raw,session,analyze,12433,1,0,0,analyze=12433,,,True
raw,session,research,11891,1,0,0,research=11891,,,True
raw,prompt,analyze,11457,1,0,0,analyze=11457,,,True
raw,llm,design,9592,1,0,0,design=9592,,,True
display,llm,analyze,18713,2,0,0,analyze=18712; rqanalyze=1,,,True
pending,llm,analyze,18713,2,0,0,analyze=18712; rqanalyze=1,,,True
display,prompt,design,16109,2,0,0,design=15705; designfix=404,rg=3257; sed=2942; tool/tool=2572; git=1015; find=836; make=432; nl=98; cargo=28,read=9240; process=6289; test=350; repo=122; write=84; network=24,True
pending,prompt,design,16109,2,0,0,design=15705; designfix=404,rg=3257; sed=2942; tool/tool=2572; git=1015; find=836; make=432; nl=98; cargo=28,read=9240; process=6289; test=350; repo=122; write=84; network=24,True
display,prompt,analyze,11460,2,0,0,analyze=11457; rqanalyze=3,tool/tool=1683; docker=1294; python3=1178; sed=1154; rg=1068; tail=997,process=5727; read=5053; write=323; repo=148; test=144; network=65,True
pending,prompt,analyze,11460,2,0,0,analyze=11457; rqanalyze=3,tool/tool=1683; docker=1294; python3=1178; sed=1154; rg=1068; tail=997,process=5727; read=5053; write=323; repo=148; test=144; network=65,True
display,llm,test,9192,4,0,0,test=9184; testcase=6; smoketest=1; testcases=1,,,True
pending,llm,test,9192,4,0,0,test=9184; testcase=6; smoketest=1; testcases=1,,,True
display,prompt,test,8095,3,0,0,test=8012; testcase=81; smoketest=2,sed=1230; tool/tool=1203; rg=980; git=916; find=361; python3=310; cargo=16; bash=6,read=4247; process=3365; test=199; repo=110; write=100; network=74,True
pending,prompt,test,8095,3,0,0,test=8012; testcase=81; smoketest=2,sed=1230; tool/tool=1203; rg=980; git=916; find=361; python3=310; cargo=16; bash=6,read=4247; process=3365; test=199; repo=110; write=100; network=74,True
display,session,test,5192,2,0,0,test=5190; smoketest=2,git=1094; sed=860; rg=764; tool/tool=418; find=276; python3=266; printf=2,read=3276; process=1612; test=198; network=40; write=38; repo=28,True
pending,session,test,5192,2,0,0,test=5190; smoketest=2,git=1094; sed=860; rg=764; tool/tool=418; find=276; python3=266; printf=2,read=3276; process=1612; test=198; network=40; write=38; repo=28,True
display,prompt,docs,4859,15,0,0,docs=3477; docupdate=446; docwrite=174; doc=171; docsfix=118; docsanalyze=90; docrewrite=82; docsupdate=68; docszh=68; docsreview=66; testdocs=40; updatedocs=25; docu=23; rmarkdownfix=10; docsorganize=1,rg=804; sed=729; git=638; tool/tool=449; nl=252; python3=180; find=43; python=39,read=2873; process=1759; repo=70; test=57; write=54; network=45,True
pending,prompt,docs,4859,15,0,0,docs=3477; docupdate=446; docwrite=174; doc=171; docsfix=118; docsanalyze=90; docrewrite=82; docsupdate=68; docszh=68; docsreview=66; testdocs=40; updatedocs=25; docu=23; rmarkdownfix=10; docsorganize=1,rg=804; sed=729; git=638; tool/tool=449; nl=252; python3=180; find=43; python=39,read=2873; process=1759; repo=70; test=57; write=54; network=45,True
display,prompt,benchmark,4050,2,0,0,benchmark=4033; benchfix=17,sed=1012; tool/tool=994; rg=829; find=168; nl=112; cargo=105; python3=3; ls=1,read=2388; process=1533; test=113; write=16,True
pending,prompt,benchmark,4050,2,0,0,benchmark=4033; benchfix=17,sed=1012; tool/tool=994; rg=829; find=168; nl=112; cargo=105; python3=3; ls=1,read=2388; process=1533; test=113; write=16,True
display,llm,docs,3519,12,0,0,docs=3335; docsupdate=45; docupdate=34; updatedocs=32; docwrite=24; doc=22; docu=16; document=4; docrewrite=3; docsfix=2; rqrewrite=1; writedocs=1,,,True
pending,llm,docs,3519,12,0,0,docs=3335; docsupdate=45; docupdate=34; updatedocs=32; docwrite=24; doc=22; docu=16; document=4; docrewrite=3; docsfix=2; rqrewrite=1; writedocs=1,,,True
display,session,docs,3392,3,0,0,docs=3292; docwrite=90; docsupdate=10,rg=574; sed=464; git=340; tool/tool=278; nl=268; python3=190; opencode=14; tool/plan=2,read=1840; process=1400; write=56; test=50; repo=34; network=12,True
pending,session,docs,3392,3,0,0,docs=3292; docwrite=90; docsupdate=10,rg=574; sed=464; git=340; tool/tool=278; nl=268; python3=190; opencode=14; tool/plan=2,read=1840; process=1400; write=56; test=50; repo=34; network=12,True
display,llm,debug,1959,5,0,0,debug=1816; fix=128; fixwarn=9; fixes=3; warnfix=3,,,True
pending,llm,debug,1959,5,0,0,debug=1816; fix=128; fixwarn=9; fixes=3; warnfix=3,,,True
display,prompt,trace,1411,2,0,0,trace=1401; rootpidrefs=10,sed=286; rg=284; git=207; tool/tool=99; cargo=68; python3=43,read=890; process=394; test=60; network=33; write=26; repo=8,True
pending,prompt,trace,1411,2,0,0,trace=1401; rootpidrefs=10,sed=286; rg=284; git=207; tool/tool=99; cargo=68; python3=43,read=890; process=394; test=60; network=33; write=26; repo=8,True
