participant_id,order_index,packet_id,task_id,condition,response_json,task_time_seconds,confidence,notes
P04,1,UT04-event-count-proxy,UT04,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r244_export_smoke"": true, ""task_id"": ""UT04""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,2,UT05-flat-summary,UT05,flat-summary,"{""condition"": ""flat-summary"", ""r244_export_smoke"": true, ""task_id"": ""UT05""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,3,UT06-nonsemantic-stack,UT06,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r244_export_smoke"": true, ""task_id"": ""UT06""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,4,UT07-semantic-stack,UT07,semantic-stack,"{""condition"": ""semantic-stack"", ""r244_export_smoke"": true, ""task_id"": ""UT07""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,5,UT08-trace-tree,UT08,trace-tree,"{""condition"": ""trace-tree"", ""r244_export_smoke"": true, ""task_id"": ""UT08""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,6,UT09-event-count-proxy,UT09,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r244_export_smoke"": true, ""task_id"": ""UT09""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,7,UT10-flat-summary,UT10,flat-summary,"{""condition"": ""flat-summary"", ""r244_export_smoke"": true, ""task_id"": ""UT10""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,8,UT11-nonsemantic-stack,UT11,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r244_export_smoke"": true, ""task_id"": ""UT11""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,9,UT12-semantic-stack,UT12,semantic-stack,"{""condition"": ""semantic-stack"", ""r244_export_smoke"": true, ""task_id"": ""UT12""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,10,UT13-trace-tree,UT13,trace-tree,"{""condition"": ""trace-tree"", ""r244_export_smoke"": true, ""task_id"": ""UT13""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,11,UT14-event-count-proxy,UT14,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r244_export_smoke"": true, ""task_id"": ""UT14""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,12,UT01-nonsemantic-stack,UT01,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r244_export_smoke"": true, ""task_id"": ""UT01""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,13,UT02-semantic-stack,UT02,semantic-stack,"{""condition"": ""semantic-stack"", ""r244_export_smoke"": true, ""task_id"": ""UT02""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
P04,14,UT03-trace-tree,UT03,trace-tree,"{""condition"": ""trace-tree"", ""r244_export_smoke"": true, ""task_id"": ""UT03""}",1.0,3,r244_synthetic_export_smoke_not_human_evidence
