participant_id,order_index,packet_id,task_id,condition,response_json,task_time_seconds,confidence,notes
P01,1,UT01-trace-tree,UT01,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT01""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,2,UT02-event-count-proxy,UT02,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT02""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,3,UT03-flat-summary,UT03,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT03""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,4,UT04-nonsemantic-stack,UT04,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT04""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,5,UT05-semantic-stack,UT05,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT05""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,6,UT06-trace-tree,UT06,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT06""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,7,UT07-event-count-proxy,UT07,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT07""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,8,UT08-flat-summary,UT08,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT08""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,9,UT09-nonsemantic-stack,UT09,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT09""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,10,UT10-semantic-stack,UT10,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT10""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,11,UT11-trace-tree,UT11,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT11""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,12,UT12-event-count-proxy,UT12,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT12""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,13,UT13-flat-summary,UT13,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT13""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P01,14,UT14-nonsemantic-stack,UT14,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT14""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,1,UT02-flat-summary,UT02,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT02""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,2,UT03-nonsemantic-stack,UT03,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT03""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,3,UT04-semantic-stack,UT04,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT04""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,4,UT05-trace-tree,UT05,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT05""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,5,UT06-event-count-proxy,UT06,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT06""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,6,UT07-flat-summary,UT07,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT07""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,7,UT08-nonsemantic-stack,UT08,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT08""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,8,UT09-semantic-stack,UT09,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT09""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,9,UT10-trace-tree,UT10,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT10""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,10,UT11-event-count-proxy,UT11,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT11""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,11,UT12-flat-summary,UT12,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT12""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,12,UT13-nonsemantic-stack,UT13,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT13""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,13,UT14-semantic-stack,UT14,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT14""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P02,14,UT01-event-count-proxy,UT01,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT01""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,1,UT03-semantic-stack,UT03,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT03""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,2,UT04-trace-tree,UT04,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT04""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,3,UT05-event-count-proxy,UT05,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT05""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,4,UT06-flat-summary,UT06,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT06""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,5,UT07-nonsemantic-stack,UT07,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT07""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,6,UT08-semantic-stack,UT08,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT08""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,7,UT09-trace-tree,UT09,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT09""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,8,UT10-event-count-proxy,UT10,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT10""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,9,UT11-flat-summary,UT11,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT11""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,10,UT12-nonsemantic-stack,UT12,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT12""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,11,UT13-semantic-stack,UT13,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT13""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,12,UT14-trace-tree,UT14,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT14""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,13,UT01-flat-summary,UT01,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT01""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P03,14,UT02-nonsemantic-stack,UT02,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT02""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,1,UT04-event-count-proxy,UT04,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT04""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,2,UT05-flat-summary,UT05,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT05""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,3,UT06-nonsemantic-stack,UT06,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT06""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,4,UT07-semantic-stack,UT07,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT07""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,5,UT08-trace-tree,UT08,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT08""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,6,UT09-event-count-proxy,UT09,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT09""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,7,UT10-flat-summary,UT10,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT10""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P04,8,UT11-nonsemantic-stack,UT11,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT11""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
