rank,dimension,raw_tag,active_display_tag,support,candidate_display_tag,candidate_source,governance_action,review_reason
1,prompt,ignored,ignored,1221,refactor,r202_llama_candidate,contextual_split_candidate,review regenerated label before display-map promotion
2,session,uxdesign,uxdesign,1148,design,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
3,prompt,designcodex,designcodex,1074,design,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
4,prompt,testcodex,testcodex,982,test,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
5,prompt,codex,codex,402,codexnavigate,r202_llama_candidate,contextual_split_candidate,review regenerated label before display-map promotion
6,llm,uxdesign,uxdesign,357,design,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
7,llm,check,check,294,review,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
8,prompt,reviewbu,reviewbu,254,review,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
9,session,reviewbu,reviewbu,254,review,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
10,prompt,testcodexrun,testcodexrun,198,test,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
11,prompt,analyzesess,analyzesess,179,analyze,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
12,prompt,codexcheck,codexcheck,176,codexanalyze,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
13,llm,update,update,168,update,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
14,session,visdesign,visdesign,164,design,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
15,prompt,checkpoint,checkpoint,126,checkpoint,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
16,session,bpfanalyze,bpfanalyze,126,,,review_merge,review required before display-map promotion
17,prompt,cleanups,cleanups,106,cleanup,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
18,prompt,codexinteg,codexinteg,100,codexread,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
19,prompt,perfstrace,perfstrace,97,trace,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
20,prompt,update,update,95,refactor,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
21,prompt,testrewrite,testrewrite,78,test,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
22,prompt,costanalysis,costanalysis,71,refactor,r202_llama_candidate,regenerate_candidate,review regenerated label before display-map promotion
23,prompt,refactorrepo,refactorrepo,67,refactor,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
24,prompt,visdesign,visdesign,64,design,r189_profile_guarded_merge_candidate,auto_canonicalize_existing,review profile merge before display-map promotion
25,prompt,loganalyze,loganalyze,61,,,review_merge,review required before display-map promotion
