selected_action_class,best_action_class,decisions,selected_within_tolerance,selected_beats_default,example_tasks
use_flat_full_recall_counterpoint,use_raw_action_mapping_counterpoint,10,10,10,"[""agentnet_incorrect_step"", ""agentnet_redundant_step"", ""agentreward_looping""]"
use_dataset_native_hierarchy,keep_default_operation_stack,7,4,0,"[""agentnet_incorrect_step"", ""agentnet_redundant_step"", ""agentreward_looping""]"
use_dataset_native_hierarchy,drill_down_fixed_session,6,0,2,"[""agentreward_side_effect"", ""osworld_group_start""]"
use_flat_full_recall_counterpoint,use_dataset_native_hierarchy,6,6,6,"[""agentreward_looping"", ""osworld_group_start"", ""satraj_unsafe""]"
keep_default_operation_stack,keep_default_operation_stack,5,5,0,"[""agentnet_incorrect_step"", ""agentnet_redundant_step"", ""agentreward_looping""]"
drill_down_fixed_session,use_dataset_native_hierarchy,4,0,0,"[""satraj_unsafe""]"
retune_operation_stack_ranker,drill_down_fixed_session,4,2,2,"[""osworld_group_start"", ""satraj_unsafe""]"
use_flat_full_recall_counterpoint,drill_down_fixed_session,4,2,4,"[""agentreward_side_effect""]"
drill_down_fixed_session,keep_default_operation_stack,2,0,0,"[""agentreward_side_effect""]"
keep_default_operation_stack,retune_operation_stack_ranker,2,0,0,"[""osworld_group_start""]"
retune_operation_stack_ranker,keep_default_operation_stack,2,2,0,"[""agentnet_incorrect_step""]"
retune_operation_stack_ranker,retune_operation_stack_ranker,2,2,2,"[""agentnet_redundant_step""]"
use_raw_action_mapping_counterpoint,keep_default_operation_stack,2,0,0,"[""satraj_unsafe""]"
use_raw_action_mapping_counterpoint,use_flat_full_recall_counterpoint,2,2,2,"[""osworld_group_start""]"
drill_down_fixed_session,use_raw_action_mapping_counterpoint,1,0,1,"[""agentreward_looping""]"
retune_operation_stack_ranker,use_raw_action_mapping_counterpoint,1,0,1,"[""agentreward_looping""]"
