protocol,task,dataset,query_family,objective,mapped_objective,reason,selected_policy,best_visible_policy
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,dataset_native:query_aware
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:query_aware,operation_stack:visible_risk
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,dataset_native:query_aware
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,fixed_session:width
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,dataset_native:query_aware
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,dataset_native:query_aware
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,operation_stack:visible_risk
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,operation_stack:visible_risk
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:visible_risk,dataset_native:query_aware
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,dataset_native:query_aware
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,dataset_native:query_aware,operation_stack:visible_risk
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,dataset_native:query_aware
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,dataset_native:query_aware,fixed_session:width
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,dataset_native:query_aware
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,dataset_native:query_aware
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,operation_stack:visible_risk
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:width,operation_stack:visible_risk
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_top5_session_recall,sequence_top5_session_recall,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_recall,sequence_budget30_session_recall,sequence_objective_not_in_r348,raw_action_stack:visible_risk,dataset_native:query_aware
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_work,sequence_budget30_session_work,sequence_objective_not_in_r348,flat:query_aware,flat:query_aware
