policy,rank,stack,operations,positives,positive_rate
flat_width,1,analysis_task:osworld_group_start;dataset:osworld-human,1132,243,0.214664
fixed_session_width,1,analysis_task:osworld_group_start;dataset:osworld-human;session:236833a3-5704-47fc-888c-4f298f09f799,255,73,0.286275
fixed_session_width,2,analysis_task:osworld_group_start;dataset:osworld-human;session:3e3fc409-bff3-4905-bf16-c968eee3f807,100,13,0.13
fixed_session_width,3,analysis_task:osworld_group_start;dataset:osworld-human;session:7e287123-70ca-47b9-8521-47db09b69b14,59,7,0.118644
fixed_session_width,4,analysis_task:osworld_group_start;dataset:osworld-human;session:7f35355e-02a6-45b5-b140-f0be698bcf85,24,10,0.416667
fixed_session_width,5,analysis_task:osworld_group_start;dataset:osworld-human;session:51719eea-10bc-4246-a428-ac7c433dd4b3,21,4,0.190476
semantic_width,1,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:hotkey;repeat_signal:loop-like;status:gold,170,3,0.017647
semantic_width,2,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:type;repeat_signal:loop-like;status:gold,143,86,0.601399
semantic_width,3,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:press;repeat_signal:loop-like;status:gold,130,0,0.0
semantic_width,4,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:navigate;action:click;repeat_signal:loop-like;status:gold,108,32,0.296296
semantic_width,5,analysis_task:osworld_group_start;dataset:osworld-human;app:libreoffice_impress;phase:navigate;action:click;repeat_signal:loop-like;status:gold,86,21,0.244186
semantic_visible_rank,1,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:hotkey;repeat_signal:loop-like;status:gold,170,3,0.017647
semantic_visible_rank,2,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:type;repeat_signal:loop-like;status:gold,143,86,0.601399
semantic_visible_rank,3,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:press;repeat_signal:loop-like;status:gold,130,0,0.0
semantic_visible_rank,4,analysis_task:osworld_group_start;dataset:osworld-human;app:chrome;phase:input;action:type;repeat_signal:loop-like;status:gold,12,1,0.083333
semantic_visible_rank,5,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:navigate;action:drag;repeat_signal:loop-like;status:gold,12,0,0.0
learned_boundary_width,1,analysis_task:osworld_group_start;dataset:osworld-human;phase:navigate;learned_group_pattern:select;learned_group_position:single;action:click;status:gold,349,82,0.234957
learned_boundary_width,2,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:middle;action:type;status:gold,133,76,0.571429
learned_boundary_width,3,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:single;action:hotkey;status:gold,103,4,0.038835
learned_boundary_width,4,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:middle;action:press;status:gold,91,0,0.0
learned_boundary_width,5,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:start;action:hotkey;status:gold,53,7,0.132075
learned_boundary_rank,1,analysis_task:osworld_group_start;dataset:osworld-human;phase:navigate;learned_group_pattern:select;learned_group_position:single;action:click;status:gold,349,82,0.234957
learned_boundary_rank,2,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:single;action:hotkey;status:gold,103,4,0.038835
learned_boundary_rank,3,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:start;action:hotkey;status:gold,53,7,0.132075
learned_boundary_rank,4,analysis_task:osworld_group_start;dataset:osworld-human;phase:input;learned_group_pattern:input;learned_group_position:single;action:press;status:gold,40,0,0.0
learned_boundary_rank,5,analysis_task:osworld_group_start;dataset:osworld-human;phase:navigate;learned_group_pattern:select;learned_group_position:single;action:double_click;status:gold,34,10,0.294118
oracle_positive_rate_semantic,1,analysis_task:osworld_group_start;dataset:osworld-human;app:gimp;phase:input;action:hotkey;repeat_signal:none;status:gold,2,2,1.0
oracle_positive_rate_semantic,2,analysis_task:osworld_group_start;dataset:osworld-human;app:libreoffice_calc;phase:navigate;action:right_click;repeat_signal:loop-like;status:gold,1,1,1.0
oracle_positive_rate_semantic,3,analysis_task:osworld_group_start;dataset:osworld-human;app:libreoffice_impress;phase:navigate;action:move_to;repeat_signal:none;status:gold,1,1,1.0
oracle_positive_rate_semantic,4,analysis_task:osworld_group_start;dataset:osworld-human;app:libreoffice_writer;phase:navigate;action:triple_click;repeat_signal:loop-like;status:gold,1,1,1.0
