task,dataset,view,ranker,rank,group_id,stack,operations,positive_operations,positive_rate,sessions
agentreward_looping,agent-reward-bench,flat,width,1,ed24e3e9e240,analysis_task:agentreward_looping;dataset:agent-reward-bench,729,504,0.691358,29
agentreward_looping,agent-reward-bench,fixed_session,query_aware,1,fb4f4799c9ad,analysis_task:agentreward_looping;dataset:agent-reward-bench;session:workarena.servicenow.dashboard-retrieve-catalog-and-max-order-apple-watch-l2,30,30,1.0,1
agentreward_looping,agent-reward-bench,fixed_session,query_aware,2,aff9a07279c9,analysis_task:agentreward_looping;dataset:agent-reward-bench;session:assistantbench.improved.validation.17,30,30,1.0,1
agentreward_looping,agent-reward-bench,fixed_session,query_aware,3,8a63af1d002f,analysis_task:agentreward_looping;dataset:agent-reward-bench;session:visualwebarena.88,30,30,1.0,1
agentreward_looping,agent-reward-bench,fixed_session,query_aware,4,5265bd6699df,analysis_task:agentreward_looping;dataset:agent-reward-bench;session:visualwebarena.569,30,0,0.0,1
agentreward_looping,agent-reward-bench,fixed_session,query_aware,5,eb615ca24d9c,analysis_task:agentreward_looping;dataset:agent-reward-bench;session:workarena.servicenow.two-changes-wide-basic-varied-risk-change-request-scheduling-l2,30,30,1.0,1
agentreward_looping,agent-reward-bench,dataset_native,query_aware,1,5296143fb9ce,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:assistantbench;environment:assistantbench,133,133,1.0,5
agentreward_looping,agent-reward-bench,dataset_native,query_aware,2,eb925e5ae2e6,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:visualwebarena;environment:visualwebarena,147,90,0.612245,9
agentreward_looping,agent-reward-bench,dataset_native,query_aware,3,85b955a80643,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:webarena;environment:webarena,58,41,0.706897,6
agentreward_looping,agent-reward-bench,dataset_native,query_aware,4,d37d88600c70,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:workarena;environment:workarena,391,240,0.613811,9
agentreward_looping,agent-reward-bench,raw_action_stack,query_aware,1,4ef0e4c9eccc,analysis_task:agentreward_looping;dataset:agent-reward-bench;tool:browser;action:hover;status:failure,27,27,1.0,1
agentreward_looping,agent-reward-bench,raw_action_stack,query_aware,2,07586a1e7e2f,analysis_task:agentreward_looping;dataset:agent-reward-bench;tool:browser;action:go_back;status:failure,13,13,1.0,2
agentreward_looping,agent-reward-bench,raw_action_stack,query_aware,3,4fbdf040cb23,analysis_task:agentreward_looping;dataset:agent-reward-bench;tool:browser;action:scroll;status:failure,19,1,0.052632,3
