source,default_policy,baseline_policy,metric,metric_description,direction,wins,ties,losses,median_delta_default_minus_baseline,mean_delta_default_minus_baseline,median_ratio_default_over_baseline
R320,operation_stack:query_aware,flat:width,groups,all folded groups,lower,0,0,6,156.5,156.3333,157.5
R320,operation_stack:query_aware,flat:width,positive_groups,groups containing at least one positive operation,lower,0,0,6,51.5,53.8333,52.5
R320,operation_stack:query_aware,flat:width,groups_to_50pct_recall,ranked groups needed to cover 50% positives,lower,0,0,6,49.0,76.1667,50.0
R320,operation_stack:query_aware,flat:width,work_to_50pct_recall,operation work needed to cover 50% positives,lower,6,0,0,-0.5686,-0.5623,0.4314
R320,operation_stack:query_aware,flat:width,top5_recall,positive recall in top-5 groups,higher,0,0,6,-0.812,-0.7608,0.188
R320,operation_stack:query_aware,flat:width,top5_work,operation work in top-5 groups,lower,6,0,0,-0.9063,-0.8168,0.0937
R320,operation_stack:query_aware,flat:width,budget30_recall,recall under 30% operation budget,higher,6,0,0,0.39,0.451,inf
R320,operation_stack:query_aware,flat:width,work_to_first_positive,work to first positive group,lower,6,0,0,-0.9622,-0.9303,0.0379
R320,operation_stack:query_aware,flat:width,average_precision,AUPRC-style average precision,higher,6,0,0,0.0778,0.1219,1.3549
R320,operation_stack:query_aware,fixed_session:query_aware,groups,all folded groups,lower,4,0,2,-127.5,-178.0,0.5543
R320,operation_stack:query_aware,fixed_session:query_aware,positive_groups,groups containing at least one positive operation,lower,4,0,2,-113.5,-160.3333,0.3278
R320,operation_stack:query_aware,fixed_session:query_aware,groups_to_50pct_recall,ranked groups needed to cover 50% positives,lower,5,0,1,-31.5,-52.5,0.5783
R320,operation_stack:query_aware,fixed_session:query_aware,work_to_50pct_recall,operation work needed to cover 50% positives,lower,1,0,5,0.0428,0.061,1.1645
R320,operation_stack:query_aware,fixed_session:query_aware,top5_recall,positive recall in top-5 groups,higher,5,0,1,0.159,0.1801,3.63
R320,operation_stack:query_aware,fixed_session:query_aware,top5_work,operation work in top-5 groups,lower,2,0,4,0.0135,0.1086,1.7172
R320,operation_stack:query_aware,fixed_session:query_aware,budget30_recall,recall under 30% operation budget,higher,4,0,2,0.0275,0.0655,1.0744
R320,operation_stack:query_aware,fixed_session:query_aware,work_to_first_positive,work to first positive group,lower,2,0,4,0.0057,0.0031,3.4751
R320,operation_stack:query_aware,fixed_session:query_aware,average_precision,AUPRC-style average precision,higher,3,0,3,-0.0002,-0.0099,0.9897
R320,operation_stack:query_aware,dataset_native:query_aware,groups,all folded groups,lower,0,0,6,150.0,133.1667,10.0
R320,operation_stack:query_aware,dataset_native:query_aware,positive_groups,groups containing at least one positive operation,lower,0,0,6,38.0,35.3333,6.325
R320,operation_stack:query_aware,dataset_native:query_aware,groups_to_50pct_recall,ranked groups needed to cover 50% positives,lower,0,1,5,48.5,66.8333,12.2381
R320,operation_stack:query_aware,dataset_native:query_aware,work_to_50pct_recall,operation work needed to cover 50% positives,lower,4,0,2,-0.0255,-0.0045,0.9428
R320,operation_stack:query_aware,dataset_native:query_aware,top5_recall,positive recall in top-5 groups,higher,1,0,5,-0.3474,-0.3904,0.4735
R320,operation_stack:query_aware,dataset_native:query_aware,top5_work,operation work in top-5 groups,lower,6,0,0,-0.4033,-0.4424,0.1992
R320,operation_stack:query_aware,dataset_native:query_aware,budget30_recall,recall under 30% operation budget,higher,5,0,1,0.0292,0.0582,1.1024
R320,operation_stack:query_aware,dataset_native:query_aware,work_to_first_positive,work to first positive group,lower,3,0,3,-0.0007,-0.0707,0.6266
R320,operation_stack:query_aware,dataset_native:query_aware,average_precision,AUPRC-style average precision,higher,4,0,2,0.0096,-0.0437,1.1071
R320,operation_stack:query_aware,raw_action_stack:query_aware,groups,all folded groups,lower,0,0,6,132.0,135.8333,6.162
R320,operation_stack:query_aware,raw_action_stack:query_aware,positive_groups,groups containing at least one positive operation,lower,0,0,6,39.0,43.3333,3.7583
R320,operation_stack:query_aware,raw_action_stack:query_aware,groups_to_50pct_recall,ranked groups needed to cover 50% positives,lower,1,0,5,42.5,66.8333,6.8036
R320,operation_stack:query_aware,raw_action_stack:query_aware,work_to_50pct_recall,operation work needed to cover 50% positives,lower,6,0,0,-0.3451,-0.3272,0.568
R320,operation_stack:query_aware,raw_action_stack:query_aware,top5_recall,positive recall in top-5 groups,higher,1,0,5,-0.0766,-0.0119,0.4415
R320,operation_stack:query_aware,raw_action_stack:query_aware,top5_work,operation work in top-5 groups,lower,5,0,1,-0.0841,-0.01,0.4093
R320,operation_stack:query_aware,raw_action_stack:query_aware,budget30_recall,recall under 30% operation budget,higher,4,1,1,0.1229,0.1068,1.4465
R320,operation_stack:query_aware,raw_action_stack:query_aware,work_to_first_positive,work to first positive group,lower,5,0,1,-0.0249,-0.0038,0.4122
R320,operation_stack:query_aware,raw_action_stack:query_aware,average_precision,AUPRC-style average precision,higher,5,0,1,0.0142,0.0202,1.1218
R320,operation_stack:query_aware,operation_stack:width,groups,all folded groups,lower,0,6,0,0.0,0.0,1.0
R320,operation_stack:query_aware,operation_stack:width,positive_groups,groups containing at least one positive operation,lower,0,6,0,0.0,0.0,1.0
R320,operation_stack:query_aware,operation_stack:width,groups_to_50pct_recall,ranked groups needed to cover 50% positives,lower,1,0,5,40.0,69.8333,12.0
R320,operation_stack:query_aware,operation_stack:width,work_to_50pct_recall,operation work needed to cover 50% positives,lower,3,0,3,-0.0028,-0.0725,0.9993
R320,operation_stack:query_aware,operation_stack:width,top5_recall,positive recall in top-5 groups,higher,1,1,4,-0.264,-0.1927,0.414
R320,operation_stack:query_aware,operation_stack:width,top5_work,operation work in top-5 groups,lower,6,0,0,-0.3038,-0.3101,0.1562
R320,operation_stack:query_aware,operation_stack:width,budget30_recall,recall under 30% operation budget,higher,5,0,1,0.0599,0.1392,1.1856
R320,operation_stack:query_aware,operation_stack:width,work_to_first_positive,work to first positive group,lower,5,1,0,-0.0856,-0.1566,0.1836
R320,operation_stack:query_aware,operation_stack:width,average_precision,AUPRC-style average precision,higher,6,0,0,0.0258,0.0932,1.1189
