task,max_depth,average_precision_value,average_precision_vs_depth4,ndcg_value,ndcg_vs_depth4,top5_precision_value,top5_precision_vs_depth4,top5_recall_value,top5_recall_vs_depth4,top5_f1_value,top5_f1_vs_depth4,top5_work_value,top5_work_vs_depth4,budget30_recall_value,budget30_recall_vs_depth4,budget30_f1_value,budget30_f1_vs_depth4,work_to_first_positive_value,work_to_first_positive_vs_depth4,groups_value,groups_vs_depth4
agentnet_incorrect_step,1,0.061050482689290426,-0.001517,1.0,0.249591,0.05938306835167822,-0.002017,1.0,0.297483,0.112108773730118,-0.000821,1.0,0.32056,0.0,-0.30778,0.0,-0.105346,0.49395298274222044,0.466911,2.0,-6.0
agentnet_incorrect_step,2,0.06056519230700724,-0.002002,0.8080974053665828,0.057688,0.05938306835167822,-0.002017,1.0,0.297483,0.112108773730118,-0.000821,1.0,0.32056,0.13729977116704806,-0.170481,0.09087466868610375,-0.014471,0.12005707297187118,0.093015,4.0,-4.0
agentnet_incorrect_step,3,0.0628605098965588,0.000293,0.8170780693310501,0.066669,0.058935210821928645,-0.002465,0.8524027459954233,0.149886,0.11024787273399926,-0.002682,0.8588802826470988,0.17944,0.18993135011441648,-0.117849,0.09250487601003066,-0.012841,0.060062508493001765,0.033021,6.0,-2.0
agentnet_incorrect_step,4,0.0625676330745061,0.0,0.7504092866219573,0.0,0.0614,0.0,0.7025171624713958,0.0,0.11292992459076696,0.0,0.6794401413235494,0.0,0.30778032036613273,0.0,0.1053456040728412,0.0,0.027041717624677265,0.0,8.0,0.0
agentnet_incorrect_step,5,0.06163719119914674,-0.00093,0.645865274225095,-0.104544,0.06275212909009413,0.001352,0.32036613272311215,-0.382151,0.10494752623688156,-0.007982,0.30316619105856774,-0.376274,0.2780320366132723,-0.029748,0.1036468330134357,-0.001699,0.008764777823073788,-0.018277,13.0,5.0
agentnet_redundant_step,1,0.07269557997516962,0.001402,0.7029554788822692,0.351136,0.07281215853779677,0.00512,1.0,0.939973,0.13574074074074075,0.072111,1.0,0.935433,0.1145975443383356,-0.129604,0.08828166053599579,-0.020467,0.11622131717492798,0.113142,2.0,-14.0
agentnet_redundant_step,2,0.07177251979616636,0.000479,0.5543371846464399,0.202518,0.07281215853779677,0.00512,1.0,0.939973,0.13574074074074075,0.072111,1.0,0.935433,0.13096862210095497,-0.113233,0.0930683470673776,-0.01568,0.05701797953710142,0.053939,4.0,-12.0
agentnet_redundant_step,3,0.07189067111811927,0.000597,0.45574429423924717,0.103925,0.07262112055720578,0.004929,0.9672578444747613,0.907231,0.13509908536585366,0.071469,0.9698023244263435,0.905235,0.2073669849931787,-0.036835,0.10526315789473684,-0.003485,0.024138273567100427,0.021059,6.0,-10.0
agentnet_redundant_step,4,0.07129398364590198,0.0,0.35181921021517637,0.0,0.06769230769230769,0.0,0.06002728512960437,0.0,0.0636297903109183,0.0,0.06456739843051555,0.0,0.24420190995907232,0.0,0.10874848116646417,0.0,0.003079368232839972,0.0,16.0,0.0
agentnet_redundant_step,5,0.0757581315923081,0.004464,0.311065859650648,-0.040753,0.1,0.032308,0.019099590723055934,-0.040928,0.032073310423825885,-0.031556,0.01390682427734181,-0.050661,0.2810368349249659,0.036835,0.1098081023454158,0.00106,0.004470050660574153,0.001391,31.0,15.0
