task,dataset,query_family,view,max_depth,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,groups_to_50pct_recall,work_to_50pct_recall
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_1,1,width,False,729,504,0.691358024691358,2,2,0.6233788859317695,1.0,0.691358024691358,1.0,0.8175182481751825,1.0,0.0,0.0,0.0,0.6844993141289437,1,0.6844993141289437
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_1,1,visible_risk,False,729,504,0.691358024691358,2,2,0.8046887380824578,0.9424381971336483,0.691358024691358,1.0,0.8175182481751825,1.0,0.0,0.0,0.0,0.31550068587105623,2,1.0
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_1,1,query_aware,False,729,504,0.691358024691358,2,2,0.8046887380824578,0.9424381971336483,0.691358024691358,1.0,0.8175182481751825,1.0,0.0,0.0,0.0,0.31550068587105623,2,1.0
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_1,1,oracle_upper_bound,True,729,504,0.691358024691358,2,2,0.8046887380824578,0.9424381971336483,0.691358024691358,1.0,0.8175182481751825,1.0,0.0,0.0,0.0,0.31550068587105623,2,1.0
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_2,2,width,False,729,504,0.691358024691358,4,4,0.7123091170979821,0.9706470035949535,0.691358024691358,1.0,0.8175182481751825,1.0,0.27976190476190477,0.43251533742331294,0.2030178326474623,0.3813443072702332,2,0.6844993141289437
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_2,2,visible_risk,False,729,504,0.691358024691358,4,4,0.84150951897066,0.8379238622265058,0.691358024691358,1.0,0.8175182481751825,1.0,0.15476190476190477,0.2662116040955632,0.11248285322359397,0.11248285322359397,2,0.49382716049382713
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_2,2,query_aware,False,729,504,0.691358024691358,4,4,0.8814779418915971,0.8718580386303756,0.691358024691358,1.0,0.8175182481751825,1.0,0.27976190476190477,0.43251533742331294,0.2030178326474623,0.2030178326474623,3,0.6968449931412894
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_2,2,oracle_upper_bound,True,729,504,0.691358024691358,4,4,0.8814779418915971,0.8718580386303756,0.691358024691358,1.0,0.8175182481751825,1.0,0.27976190476190477,0.43251533742331294,0.2030178326474623,0.2030178326474623,3,0.6968449931412894
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_3,3,width,False,729,504,0.691358024691358,8,8,0.7114301558856533,0.9525267367172706,0.6235093696763203,0.7261904761904762,0.6709440879926674,0.8052126200274349,0.35714285714285715,0.502092050209205,0.29218106995884774,0.29218106995884774,4,0.7160493827160493
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_3,3,visible_risk,False,729,504,0.691358024691358,8,8,0.8394099594595154,0.7606768128326488,0.8547619047619047,0.7123015873015873,0.777056277056277,0.5761316872427984,0.3551587301587302,0.5035161744022504,0.2839506172839506,0.0644718792866941,3,0.4458161865569273
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_3,3,query_aware,False,729,504,0.691358024691358,8,8,0.8726583366550843,0.7320833279952509,0.8813559322033898,0.5158730158730159,0.6508135168961202,0.4046639231824417,0.373015873015873,0.5379113018597997,0.2674897119341564,0.0823045267489712,5,0.4046639231824417
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_3,3,oracle_upper_bound,True,729,504,0.691358024691358,8,8,0.8979656942938546,0.7958664869096973,0.9006772009029346,0.7916666666666666,0.8426610348468849,0.607681755829904,0.373015873015873,0.5379113018597997,0.2674897119341564,0.0823045267489712,3,0.438957475994513
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_4,4,width,False,729,504,0.691358024691358,15,14,0.7314624831202676,0.9679111459047969,0.5790598290598291,0.5376984126984127,0.5576131687242799,0.6419753086419753,0.35714285714285715,0.502092050209205,0.29218106995884774,0.2222222222222222,5,0.6419753086419753
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_4,4,visible_risk,False,729,504,0.691358024691358,15,14,0.8818717439022727,0.6742863465210022,0.8832684824902723,0.4503968253968254,0.5965834428383706,0.35253772290809327,0.38095238095238093,0.5348189415041782,0.2935528120713306,0.03566529492455418,6,0.3936899862825789
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_4,4,query_aware,False,729,504,0.691358024691358,15,14,0.9085422401444418,0.6415897611147818,1.0,0.2638888888888889,0.4175824175824176,0.18244170096021947,0.38095238095238093,0.5348189415041782,0.2935528120713306,0.0411522633744856,9,0.49382716049382713
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_4,4,oracle_upper_bound,True,729,504,0.691358024691358,15,14,0.9281675882848494,0.9544647193230555,0.9568345323741008,0.5277777777777778,0.6803069053708439,0.3813443072702332,0.4087301587301587,0.5706371191135734,0.299039780521262,0.2222222222222222,5,0.3813443072702332
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_5,5,width,False,729,504,0.691358024691358,28,24,0.7135284831217832,0.9707755994915026,0.5903307888040712,0.4603174603174603,0.5172798216276477,0.5390946502057613,0.39285714285714285,0.5492371705963939,0.29766803840877915,0.19204389574759945,7,0.6131687242798354
