max_depth,ranker,tasks,uses_hidden_fields,median_average_precision,median_ndcg,median_top5_precision,median_top5_recall,median_top5_f1,median_top5_work,median_budget30_recall,median_budget30_f1,median_work_to_first_positive,median_groups
1,oracle_upper_bound,6,True,0.2086,1.0,0.1678,1.0,0.2868,1.0,0.0,0.0,0.57,2.0
1,query_aware,6,False,0.1688,0.9712,0.1678,1.0,0.2868,1.0,0.0,0.0,0.4917,2.0
1,visible_risk,6,False,0.1688,0.8227,0.1678,1.0,0.2868,1.0,0.0,0.0,0.4917,2.0
1,width,6,False,0.2066,1.0,0.1678,1.0,0.2868,1.0,0.0,0.0,0.6652,2.0
2,oracle_upper_bound,6,True,0.2223,1.0,0.1678,1.0,0.2868,1.0,0.2709,0.1877,0.3385,4.0
2,query_aware,6,False,0.1548,0.7441,0.1678,1.0,0.2868,1.0,0.1446,0.118,0.2087,4.0
2,visible_risk,6,False,0.1537,0.6931,0.1678,1.0,0.2868,1.0,0.1446,0.118,0.1672,4.0
2,width,6,False,0.2045,0.9851,0.1678,1.0,0.2868,1.0,0.2709,0.1877,0.3813,4.0
3,oracle_upper_bound,6,True,0.338,0.9862,0.2181,0.9584,0.3513,0.7224,0.3606,0.2984,0.1577,7.5
3,query_aware,6,False,0.3009,0.7467,0.1831,0.8731,0.2966,0.7612,0.3371,0.3366,0.0712,7.5
3,visible_risk,6,False,0.1572,0.62,0.1439,0.7154,0.213,0.7111,0.2004,0.1129,0.131,7.5
3,width,6,False,0.1855,0.9674,0.1733,0.9584,0.2903,0.8837,0.315,0.2679,0.301,7.5
4,oracle_upper_bound,6,True,0.4559,0.9783,0.3766,0.8464,0.5029,0.4721,0.3961,0.4347,0.1884,15.0
4,query_aware,6,False,0.3034,0.5834,0.2206,0.3798,0.2755,0.2819,0.276,0.1496,0.0341,15.0
4,visible_risk,6,False,0.1459,0.5416,0.1282,0.3798,0.182,0.3869,0.276,0.1496,0.043,15.0
4,width,6,False,0.1377,0.9486,0.1495,0.7982,0.2361,0.744,0.3241,0.2187,0.2222,15.0
5,oracle_upper_bound,6,True,0.5269,0.9629,0.4534,0.7274,0.4364,0.3772,0.4003,0.4373,0.1782,28.0
5,query_aware,6,False,0.2993,0.5674,0.1675,0.1823,0.1512,0.1067,0.2795,0.1611,0.0222,28.0
5,visible_risk,6,False,0.1491,0.4556,0.099,0.051,0.0746,0.0754,0.2789,0.1512,0.0178,28.0
5,width,6,False,0.1363,0.9742,0.1353,0.6246,0.199,0.6399,0.2602,0.1458,0.192,28.0
