task,max_depth,operations,positives,groups,selected_source_fields,oracle_source_field_overlap,split_decisions,stop_reasons,depth_histogram,min_observed_depth,max_observed_depth,variable_depth,rust_stack_weight_match
agentreward_looping,1,729,504,2,['repeat_state'],[],1,{'max_depth': 2},{1: 2},1,1,False,True
agentreward_looping,2,729,504,4,"['repeat_run', 'repeat_signal', 'repeat_state']",[],3,{'max_depth': 4},{2: 4},2,2,False,True
agentreward_looping,3,729,504,8,"['action', 'repeat_run', 'repeat_signal', 'repeat_state']",[],7,{'max_depth': 8},"{2: 1, 3: 7}",2,3,True,True
agentreward_looping,4,729,504,15,"['action', 'phase', 'repeat_run', 'repeat_signal', 'repeat_state']",[],14,"{'max_depth': 14, 'no_material_split': 1}","{2: 1, 4: 14}",2,4,True,True
agentreward_looping,5,729,504,28,"['action', 'phase', 'repeat_run', 'repeat_signal', 'repeat_state', 'step_error']",[],27,"{'max_depth': 26, 'no_material_split': 2}","{2: 1, 4: 2, 5: 25}",2,5,True,True
agentreward_side_effect,1,729,202,2,['repeat_state'],[],1,{'max_depth': 2},{1: 2},1,1,False,True
agentreward_side_effect,2,729,202,4,"['repeat_run', 'repeat_signal', 'repeat_state']",[],3,{'max_depth': 4},{2: 4},2,2,False,True
agentreward_side_effect,3,729,202,8,"['action', 'repeat_run', 'repeat_signal', 'repeat_state']",[],7,{'max_depth': 8},"{2: 1, 3: 7}",2,3,True,True
agentreward_side_effect,4,729,202,15,"['action', 'phase', 'repeat_run', 'repeat_signal', 'repeat_state']",[],14,"{'max_depth': 14, 'no_material_split': 1}","{2: 1, 4: 14}",2,4,True,True
agentreward_side_effect,5,729,202,28,"['action', 'phase', 'repeat_run', 'repeat_signal', 'repeat_state', 'step_error']",[],27,"{'max_depth': 26, 'no_material_split': 2}","{2: 1, 4: 2, 5: 25}",2,5,True,True
satraj_unsafe,1,4285,622,2,['repeat_signal'],[],1,{'max_depth': 2},{1: 2},1,1,False,True
satraj_unsafe,2,4285,622,4,['repeat_signal'],[],3,{'max_depth': 4},"{1: 2, 2: 2}",1,2,True,True
satraj_unsafe,3,4285,622,7,"['phase', 'repeat_signal']",[],7,{'max_depth': 8},"{1: 1, 2: 3, 3: 3}",1,3,True,True
satraj_unsafe,4,4285,622,12,"['action', 'phase', 'repeat_signal', 'repeat_state']",[],14,"{'max_depth': 14, 'no_material_split': 1}","{1: 1, 2: 1, 3: 5, 4: 5}",1,4,True,True
satraj_unsafe,5,4285,622,24,"['action', 'phase', 'repeat_signal', 'repeat_state']",[],24,"{'max_depth': 20, 'no_material_split': 5}","{1: 1, 2: 1, 3: 5, 4: 11, 5: 6}",1,5,True,True
agentnet_incorrect_step,1,14718,874,2,['domain'],[],1,{'max_depth': 2},{1: 2},1,1,False,True
agentnet_incorrect_step,2,14718,874,4,"['domain', 'efficiency_score']",[],3,{'max_depth': 4},"{1: 2, 2: 2}",1,2,True,True
agentnet_incorrect_step,3,14718,874,6,"['domain', 'efficiency_score', 'task_difficulty']",[],7,{'max_depth': 8},"{1: 2, 2: 2, 3: 2}",1,3,True,True
agentnet_incorrect_step,4,14718,874,8,"['domain', 'efficiency_score', 'task_difficulty']",[],15,{'max_depth': 16},"{1: 2, 2: 2, 3: 2, 4: 2}",1,4,True,True
agentnet_incorrect_step,5,14718,874,13,"['alignment_score', 'domain', 'efficiency_score', 'repeat_signal', 'task_difficulty']",[],31,{'max_depth': 32},"{1: 1, 2: 3, 3: 3, 4: 4, 5: 2}",1,5,True,True
agentnet_redundant_step,1,10067,733,2,['domain'],[],1,{'max_depth': 2},{1: 2},1,1,False,True
agentnet_redundant_step,2,10067,733,4,['domain'],[],3,{'max_depth': 4},"{1: 2, 2: 2}",1,2,True,True
agentnet_redundant_step,3,10067,733,6,['domain'],[],7,{'max_depth': 8},"{1: 2, 2: 2, 3: 2}",1,3,True,True
agentnet_redundant_step,4,10067,733,16,"['domain', 'repeat_signal']",[],15,{'max_depth': 16},"{1: 1, 2: 4, 3: 7, 4: 4}",1,4,True,True
agentnet_redundant_step,5,10067,733,31,"['action', 'domain', 'phase', 'repeat_signal']",[],31,{'max_depth': 32},"{1: 1, 2: 1, 3: 8, 4: 14, 5: 7}",1,5,True,True
osworld_group_start,1,4011,764,2,"['phase', 'repeat_state']",[],1,{'max_depth': 2},{1: 2},1,1,False,True
osworld_group_start,2,4011,764,4,"['action', 'app', 'phase', 'repeat_state']",[],3,{'max_depth': 4},"{1: 1, 2: 3}",1,2,True,True
osworld_group_start,3,4011,764,8,"['action', 'app', 'phase', 'repeat_state']",[],7,{'max_depth': 8},"{2: 4, 3: 4}",2,3,True,True
osworld_group_start,4,4011,764,16,"['action', 'app', 'phase', 'repeat_state']",[],15,{'max_depth': 16},"{2: 2, 3: 6, 4: 8}",2,4,True,True
osworld_group_start,5,4011,764,32,"['action', 'app', 'phase', 'repeat_signal', 'repeat_state']",[],31,{'max_depth': 32},"{3: 5, 4: 12, 5: 15}",3,5,True,True
