task,dataset,query_family,policy,work_budget,best_budget,best_work,best_recall,best_precision,best_f1,best_lift,groups_inspected
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.01,budget5,0.0,0.0,0.0,0.0,0.0,0
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.05,budget5,0.0,0.0,0.0,0.0,0.0,0
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.1,budget5,0.0,0.0,0.0,0.0,0.0,0
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.2,budget5,0.0,0.0,0.0,0.0,0.0,0
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.3,budget5,0.0,0.0,0.0,0.0,0.0,0
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.5,budget5,0.0,0.0,0.0,0.0,0.0,0
agentnet_incorrect_step,agentnet,step-quality,flat:width,1.0,top1,1.0,1.0,0.0594,0.1121,1.0,1
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.01,top5,0.0056,0.0126,0.1341,0.023,2.259,5
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.05,budget5,0.0499,0.0938,0.1116,0.1019,1.8787,71
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.1,budget10,0.0998,0.1636,0.0973,0.1221,1.6393,117
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.2,budget20,0.1998,0.2803,0.0833,0.1285,1.4033,186
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.3,budget30,0.3,0.4062,0.0804,0.1342,1.3541,251
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.5,budget50,0.5,0.619,0.0735,0.1314,1.238,425
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,1.0,budget50,0.5,0.619,0.0735,0.1314,1.238,425
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.01,top1,0.0056,0.0023,0.0241,0.0042,0.4058,1
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.05,budget5,0.0499,0.0652,0.0777,0.0709,1.3077,13
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.1,budget10,0.0993,0.1625,0.0972,0.1216,1.6367,22
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.2,budget20,0.1995,0.2986,0.0889,0.137,1.497,27
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.3,budget30,0.2999,0.4199,0.0831,0.1388,1.4001,34
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.5,budget50,0.5,0.6419,0.0762,0.1363,1.2838,41
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,1.0,budget50,0.5,0.6419,0.0762,0.1363,1.2838,41
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,0.01,top3,0.0083,0.0114,0.082,0.0201,1.3803,3
