policy,target_recall,tasks,tasks_reached,median_min_work,mean_min_work,median_groups_inspected,mean_groups_inspected,median_achieved_recall,unreached_tasks
dataset_native:query_aware,0.1,6,6,0.1411,0.2024,4.0,7.3333,0.221,
dataset_native:query_aware,0.25,6,6,0.2477,0.2686,4.0,9.0,0.3144,
dataset_native:query_aware,0.5,6,5,0.5,0.5196,3.0,11.2,0.6419,agentnet_redundant_step
fixed_session:query_aware,0.1,6,6,0.0998,0.1406,37.5,44.3333,0.157,
fixed_session:query_aware,0.25,6,6,0.2495,0.249,50.0,74.5,0.3436,
fixed_session:query_aware,0.5,6,6,0.4996,0.4324,89.5,153.5,0.5728,
flat:width,0.1,6,6,1.0,1.0,1.0,1.0,1.0,
flat:width,0.25,6,6,1.0,1.0,1.0,1.0,1.0,
flat:width,0.5,6,6,1.0,1.0,1.0,1.0,1.0,
operation_stack:query_aware,0.1,6,6,0.0988,0.0995,12.5,17.6667,0.1356,
operation_stack:query_aware,0.25,6,6,0.2,0.1913,16.0,35.5,0.2763,
operation_stack:query_aware,0.5,6,5,0.4993,0.4597,60.0,96.4,0.587,osworld_group_start
operation_stack:width,0.1,6,6,0.1,0.1413,3.0,3.1667,0.1277,
operation_stack:width,0.25,6,5,0.2,0.2396,4.0,4.0,0.3532,satraj_unsafe
operation_stack:width,0.5,6,5,0.5,0.5024,10.0,9.0,0.5941,satraj_unsafe
raw_action_stack:query_aware,0.1,6,6,0.1,0.1152,11.5,11.6667,0.1517,
raw_action_stack:query_aware,0.25,6,6,0.1993,0.2112,13.0,13.1667,0.2901,
raw_action_stack:query_aware,0.5,6,4,0.9401,0.7337,10.0,10.75,0.9718,agentnet_incorrect_step; agentnet_redundant_step
