baseline,metric,metric_family,direction,wins,ties,losses,missing,median_delta_default_minus_baseline,mean_delta_default_minus_baseline,median_advantage,verdict
flat_width,average_precision,AP/AUPRC-style ranking,higher,6,0,0,0,0.07785,0.121883,0.07785,supports
flat_width,ndcg,nDCG,higher,0,0,6,0,-0.45125,-0.395583,-0.45125,counterpoint
flat_width,top5_precision,precision@5,higher,4,0,2,0,0.07755,0.177633,0.07755,supports
flat_width,top5_recall,recall@5,higher,0,0,6,0,-0.812,-0.760783,-0.812,counterpoint
flat_width,top5_f1,F1@5,higher,1,0,5,0,-0.0886,-0.078717,-0.0886,counterpoint
flat_width,budget30_recall,recall@30% work,higher,6,0,0,0,0.39,0.451033,0.39,supports
flat_width,budget30_f1,F1@30% work,higher,6,0,0,0,0.29875,0.330583,0.29875,supports
flat_width,top5_work,top-5 inspected work,lower,6,0,0,0,-0.9063,-0.81685,0.9063,supports
flat_width,work_to_first_positive,work-to-first-positive,lower,6,0,0,0,-0.96215,-0.930267,0.96215,supports
flat_width,groups,group fragmentation,lower,0,0,6,0,156.5,156.333333,-156.5,counterpoint
fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,3,0,3,0,-0.0002,-0.009867,-0.0002,mixed
fixed_session_query_aware,ndcg,nDCG,higher,3,0,3,0,-0.00375,-0.080483,-0.00375,mixed
fixed_session_query_aware,top5_precision,precision@5,higher,5,0,1,0,0.07605,0.0904,0.07605,supports
fixed_session_query_aware,top5_recall,recall@5,higher,5,0,1,0,0.15905,0.180067,0.15905,supports
fixed_session_query_aware,top5_f1,F1@5,higher,5,0,1,0,0.16695,0.170217,0.16695,supports
fixed_session_query_aware,budget30_recall,recall@30% work,higher,4,0,2,0,0.02755,0.065483,0.02755,supports
fixed_session_query_aware,budget30_f1,F1@30% work,higher,4,0,2,0,0.0098,0.063233,0.0098,supports
fixed_session_query_aware,top5_work,top-5 inspected work,lower,2,0,4,0,0.01345,0.108583,-0.01345,counterpoint
fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,2,0,4,0,0.00565,0.003067,-0.00565,counterpoint
fixed_session_query_aware,groups,group fragmentation,lower,4,0,2,0,-127.5,-178.0,127.5,supports
dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,4,0,2,0,0.0096,-0.0437,0.0096,supports
dataset_native_query_aware,ndcg,nDCG,higher,2,0,4,0,-0.2189,-0.177533,-0.2189,counterpoint
dataset_native_query_aware,top5_precision,precision@5,higher,4,0,2,0,0.09385,0.181933,0.09385,supports
dataset_native_query_aware,top5_recall,recall@5,higher,1,0,5,0,-0.3474,-0.390383,-0.3474,counterpoint
dataset_native_query_aware,top5_f1,F1@5,higher,2,0,4,0,-0.0415,-0.045967,-0.0415,counterpoint
dataset_native_query_aware,budget30_recall,recall@30% work,higher,5,0,1,0,0.0292,0.058183,0.0292,supports
dataset_native_query_aware,budget30_f1,F1@30% work,higher,5,0,1,0,0.01735,0.022817,0.01735,supports
dataset_native_query_aware,top5_work,top-5 inspected work,lower,6,0,0,0,-0.4033,-0.4424,0.4033,supports
dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,3,0,3,0,-0.0007,-0.070667,0.0007,mixed
dataset_native_query_aware,groups,group fragmentation,lower,0,0,6,0,150.0,133.166667,-150.0,counterpoint
raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,5,0,1,0,0.0142,0.020217,0.0142,supports
raw_action_query_aware,ndcg,nDCG,higher,4,0,2,0,0.03915,0.0894,0.03915,supports
raw_action_query_aware,top5_precision,precision@5,higher,5,0,1,0,0.07965,0.120167,0.07965,supports
raw_action_query_aware,top5_recall,recall@5,higher,1,0,5,0,-0.07665,-0.0119,-0.07665,counterpoint
raw_action_query_aware,top5_f1,F1@5,higher,2,0,4,0,-0.00895,0.045533,-0.00895,counterpoint
raw_action_query_aware,budget30_recall,recall@30% work,higher,4,1,1,0,0.1229,0.10685,0.1229,supports
raw_action_query_aware,budget30_f1,F1@30% work,higher,4,0,2,0,0.0418,0.075117,0.0418,supports
raw_action_query_aware,top5_work,top-5 inspected work,lower,5,0,1,0,-0.0841,-0.009983,0.0841,supports
raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,5,0,1,0,-0.02495,-0.00385,0.02495,supports
raw_action_query_aware,groups,group fragmentation,lower,0,0,6,0,132.0,135.833333,-132.0,counterpoint
operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,6,0,0,0,0.02585,0.093217,0.02585,supports
operation_stack_width,ndcg,nDCG,higher,2,0,4,0,-0.252,-0.2515,-0.252,counterpoint
operation_stack_width,top5_precision,precision@5,higher,4,0,2,0,0.07015,0.191333,0.07015,supports
operation_stack_width,top5_recall,recall@5,higher,1,1,4,0,-0.26395,-0.192733,-0.26395,counterpoint
operation_stack_width,top5_f1,F1@5,higher,2,0,4,0,-0.0755,-0.00445,-0.0755,counterpoint
operation_stack_width,budget30_recall,recall@30% work,higher,5,0,1,0,0.05995,0.139167,0.05995,supports
operation_stack_width,budget30_f1,F1@30% work,higher,5,0,1,0,0.0496,0.091467,0.0496,supports
operation_stack_width,top5_work,top-5 inspected work,lower,6,0,0,0,-0.30385,-0.310083,0.30385,supports
operation_stack_width,work_to_first_positive,work-to-first-positive,lower,5,1,0,0,-0.08555,-0.156633,0.08555,supports
operation_stack_width,groups,group fragmentation,lower,0,6,0,0,0.0,0.0,-0.0,weak_support
