protocol,objective,decisions,exact_best,within_tolerance,default_within_tolerance,beats_default,beats_width,beats_fixed,beats_flat,median_target_rank,median_delta_vs_best,operation_stack_selected,fixed_session_selected,flat_selected,dataset_native_selected,raw_action_selected
leave_dataset,budget30_operation_recall,6,2,2,3,0,2,2,4,6.0,-0.0903,3,1,0,2,0
leave_dataset,first_positive_work,6,1,3,4,3,5,3,6,2.5,-0.0202,4,2,0,0,0
leave_dataset,groups_to_50pct,6,3,6,1,6,6,6,0,1.5,0.0,0,0,6,0,0
leave_dataset,ranking_fidelity_ap,6,0,2,4,1,3,1,5,7.0,-0.0593,0,1,0,5,0
leave_dataset,sequence_budget30_session_recall,6,0,1,3,1,2,3,5,7.0,-0.1429,0,0,0,2,4
leave_dataset,sequence_budget30_session_work,6,6,6,0,6,6,6,0,1.0,0.0,0,0,6,0,0
leave_dataset,sequence_top5_session_recall,6,3,6,1,5,5,6,0,2.5,0.0,0,0,6,0,0
leave_dataset,top5_localization_f1,6,0,4,1,5,6,6,0,5.0,-0.0106,0,0,4,0,2
leave_task,budget30_operation_recall,6,3,3,3,0,3,3,4,3.5,-0.0635,4,1,0,1,0
leave_task,first_positive_work,6,1,3,4,3,5,3,6,3.5,-0.0318,5,1,0,0,0
leave_task,groups_to_50pct,6,3,6,1,6,6,6,0,1.5,0.0,0,0,6,0,0
leave_task,ranking_fidelity_ap,6,0,2,4,1,3,1,5,7.0,-0.0593,0,1,0,5,0
leave_task,sequence_budget30_session_recall,6,0,2,3,1,3,5,6,6.5,-0.0788,0,0,0,0,6
leave_task,sequence_budget30_session_work,6,6,6,0,6,6,6,0,1.0,0.0,0,0,6,0,0
leave_task,sequence_top5_session_recall,6,3,6,1,5,5,6,0,2.5,0.0,0,0,6,0,0
leave_task,top5_localization_f1,6,0,4,1,5,6,6,0,5.0,-0.0106,0,0,4,0,2
