experiment,spec,format,operation_rows,samples,unique_stacks,median_runtime_ms,output_bytes,deterministic_semantic_hash,deterministic_raw_hash,stable_samples,stable_unique_stacks,hash,raw_hash
r300_views,docs/visexp/out/operation-query-utility-r300/fixed_session-profile-spec.json,folded,34539,34539,2012,2661.4719,207442,True,True,True,True,2fc689a4d49c260316df3efb67fd90d29bf9750cfdf0b506ccb4c246b78cc3ee,2fc689a4d49c260316df3efb67fd90d29bf9750cfdf0b506ccb4c246b78cc3ee
r300_views,docs/visexp/out/operation-query-utility-r300/flat-profile-spec.json,folded,34539,34539,6,2189.6117,375,True,True,True,True,f8d0ec6986fbb467ed70e49b0fd6d78b6159e8f7f7cc4f93e7864e68397be491,f8d0ec6986fbb467ed70e49b0fd6d78b6159e8f7f7cc4f93e7864e68397be491
r300_views,docs/visexp/out/operation-query-utility-r300/label_drilldown-profile-spec.json,folded,34539,34539,318,4235.2008,55839,True,True,True,True,1a542ab041188e1c9b87172dd9d033a06d87a722a8ffb3a28223a9c5207de92a,1a542ab041188e1c9b87172dd9d033a06d87a722a8ffb3a28223a9c5207de92a
r300_views,docs/visexp/out/operation-query-utility-r300/operation_stack-profile-spec.json,folded,34539,34539,944,4298.446,162759,True,True,True,True,b6e54ac6227e388f9788800a66126d43aeba8928608baf712b7ceefb8ed8cbde,b6e54ac6227e388f9788800a66126d43aeba8928608baf712b7ceefb8ed8cbde
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-coarse-op-features-profile-spec.json,json,34539,14718,43,2265.7126,35132,True,True,True,True,145a70a443de9c4535501a91ee14dbf218be169da73ad10ebf58aea8664f2901,54a9815948d9c06d2426d5173803c593e47a00da52ecc8bd5518edb576eb187c
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-semantic-op-features-profile-spec.json,json,34539,14718,289,2673.4813,197500,True,True,True,True,b49d0d8adb1663d77ac170b968b9920d6d5f7895f33b3d519cf03905f8ef3a29,b2a1093212f2b3039f8b05da8bd6905018024fa84e8eafcdfe5b26e3f2f25788
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-coarse-op-features-profile-spec.json,json,34539,10067,42,1757.7261,31489,True,True,True,True,65cb19a21ef58d4522109fbd802269afbbc6987bd64d3304d57ec48630a51403,4eebc7af5bc592ed59af77c212f2f039832a86ba1afe8fbff076ddc7ee3b3b81
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-semantic-op-features-profile-spec.json,json,34539,10067,260,2067.638,174785,True,True,True,True,be79dbfbe7d58a1854495e5e1a45c165ab6282c684f541379e040278837ebd21,0a35694b99ff4217f7d087e88648a05016bf2b7ef333d5c281555837e66fb434
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-coarse-op-features-profile-spec.json,json,34539,729,16,1254.238,15728,True,True,True,True,57ee9b47e574c0a834533e1068f34cae13b1b0655caea919475f588d996dc221,c11edb5bed09f22b72575943acfc03cf87e73b02b0cf2ff2ffb90d7467758e11
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-semantic-op-features-profile-spec.json,json,34539,729,40,1261.2054,37546,True,True,True,True,38cb478beb3caa3084721001718c1b37fb0c6aba143040cbbccd097943668cd5,378c9fa05520e9d02961fe91b5d225bf267284e068e2f09b347216e7cd7dda10
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentreward_side_effect-coarse-op-features-profile-spec.json,json,34539,729,16,1253.2879,16556,True,True,True,True,63e4d9d7452e9cfd66f688762cc937afbd89c4867b0ae05b4c0d3a21e86f1eb9,371fcc3de97a633a75edebbc47ccff145c52aa9a68b0b6fdd8a30eea682cf805
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentreward_side_effect-semantic-op-features-profile-spec.json,json,34539,729,40,1276.8126,40566,True,True,True,True,e415a28d1ae14d6572cd9f098673fa463a9b9e5f193e238ada1757b485f6ce32,2c7c8487f989f064898f9dd80e8e5a0ac3004bbef154037810678680c1c10d54
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/osworld_group_start-coarse-op-features-profile-spec.json,json,34539,4011,32,1475.4571,23191,True,True,True,True,5ff11bf21833af6520e010f093fc2308c7fd8f673c9b059b36b65d8d9be68caf,d17f3f040bb6596f7c1eb3993383c78709f83ed5bb438e3cc30b662bd9ce8860
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/osworld_group_start-semantic-op-features-profile-spec.json,json,34539,4011,173,1567.6917,135492,True,True,True,True,80eb30de8a2f0d74bed5c3d44f6092e912538699c6914332600372ba7e2913af,a468e4b0946985831ddab5e051140de4ff2665de512c9b766999749d07d9238e
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/satraj_unsafe-coarse-op-features-profile-spec.json,json,34539,4285,22,1513.8926,24492,True,True,True,True,d558af64dc35ad3663070099188b60eb8405f3590b567c81e940a27758900a42,3b171316e0495b8d42faf0270dafde5986260c83fb54c06e7c352f2b4146db2c
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/satraj_unsafe-semantic-op-features-profile-spec.json,json,34539,4285,142,1649.7373,131983,True,True,True,True,cb7724d9b218da3d096f2a18bb40fc4a967dc21a5050786ae05bb41a87e9b895,1ebdcc55304096526df2c8a1aae5223087df244412b57e207854dc01d839a78b
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-coarse-global_equal-profile-spec.json,json,34539,14718,43,2730.9206,52215,True,True,True,True,d7370f12fa10f72fe2583aef03181fb7ccd004f97a200529a508a2462d486dd1,6374cdbfeefa828b6f47c3ead47a3476fec9fa44fe3020f23942ef1a2043d35e
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-coarse-r325_repaired-profile-spec.json,json,34539,14718,43,2275.0438,35132,True,True,True,True,145a70a443de9c4535501a91ee14dbf218be169da73ad10ebf58aea8664f2901,54a9815948d9c06d2426d5173803c593e47a00da52ecc8bd5518edb576eb187c
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-coarse-task_equal-profile-spec.json,json,34539,14718,43,2275.8477,35128,True,True,True,True,f63b974cef4b1b9b55db59d65f04e63182f521644a71bc10f6a347254885a110,bde699c89453081c40c0a42f703a2727f321c1069f7f1571e5402ae8d6c4a793
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-coarse-task_weighted-profile-spec.json,json,34539,14718,43,2276.2463,35132,True,True,True,True,145a70a443de9c4535501a91ee14dbf218be169da73ad10ebf58aea8664f2901,54a9815948d9c06d2426d5173803c593e47a00da52ecc8bd5518edb576eb187c
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-coarse-width-profile-spec.json,json,34539,14718,43,1769.7724,17903,True,True,True,True,848788af12df88997ae2dccfefe8769be6e7e94597592ce595211dfb7495609d,d0e611d67edbe54b5e4b150538d33b27f2c1b3513eb77613ad02a3a3630745bc
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-semantic-global_equal-profile-spec.json,json,34539,14718,289,3093.806,306099,True,True,True,True,8497d86bdc6a5cd53b2264e4348990669f73a6a97c4eab04a34b1b71088789c2,698a585505854c3684578ea510a6ab4605116094fa2e160fb50d440bf60bd3f5
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-semantic-r325_repaired-profile-spec.json,json,34539,14718,289,2662.6154,197500,True,True,True,True,b49d0d8adb1663d77ac170b968b9920d6d5f7895f33b3d519cf03905f8ef3a29,b2a1093212f2b3039f8b05da8bd6905018024fa84e8eafcdfe5b26e3f2f25788
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-semantic-task_equal-profile-spec.json,json,34539,14718,289,2679.0805,197500,True,True,True,True,6a7556ec9d737bcd29826cf386051e85f59537944b53eeeaf01292390cef566d,1ab53a62e3f97d738800ea45a8fdbbaf7e302d90cabd7462d58ab043d4dbfa4b
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-semantic-task_weighted-profile-spec.json,json,34539,14718,289,2686.6097,197500,True,True,True,True,b49d0d8adb1663d77ac170b968b9920d6d5f7895f33b3d519cf03905f8ef3a29,b2a1093212f2b3039f8b05da8bd6905018024fa84e8eafcdfe5b26e3f2f25788
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_incorrect_step-semantic-width-profile-spec.json,json,34539,14718,289,2162.5623,129533,True,True,True,True,aaec48e2f5027020ac3fef6a2ea01518855ff835f092e67e018773a7a67cdfde,32af139c06de6c0f63aa8072848148a91eab4b5b90a41530bdbaeba325c0a6f8
r326_rank_feature_robustness,docs/visexp/out/operation-rank-feature-robustness-r326/agentnet_redundant_step-coarse-global_equal-profile-spec.json,json,34539,10067,42,2222.8385,49707,True,True,True,True,7df772860f482b44c6238458aeae36b33b423d94e0b213466e572dd45a96e53d,87714b0569df8569a7caa7f540b30d989b03089499a0de616cdc014d3c9d14b7
