task,dataset,stack_kind,summary_groups,positives,profile_spec_composes_pipeline,has_prompt_or_session_frame,ranking_policy,width_ap,op_feature_ap,delta_ap,delta_top5_lift,width_first_positive_work,op_feature_first_positive_work,delta_first_positive_work,profile_spec,rust_json
agentreward_looping,agent-reward-bench,semantic,40,504,True,False,visible_operation_rule_score_then_width,0.7653,0.8808,0.1155,0.282,0.2058,0.2058,0.0,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-semantic-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-semantic-op-features.json
agentreward_looping,agent-reward-bench,coarse,16,504,True,False,visible_operation_rule_score_then_width,0.6633,0.8174,0.1541,0.1934,0.3539,0.1399,-0.214,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-coarse-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-coarse-op-features.json
agentreward_side_effect,agent-reward-bench,semantic,40,202,True,False,visible_operation_rule_score_then_width,0.3661,0.3947,0.0286,-0.2728,0.2058,0.0645,-0.1413,docs/visexp/out/operation-rank-feature-r324/agentreward_side_effect-semantic-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentreward_side_effect-semantic-op-features.json
agentreward_side_effect,agent-reward-bench,coarse,16,202,True,False,visible_operation_rule_score_then_width,0.3909,0.4252,0.0343,0.3763,0.3539,0.0933,-0.2606,docs/visexp/out/operation-rank-feature-r324/agentreward_side_effect-coarse-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentreward_side_effect-coarse-op-features.json
satraj_unsafe,satraj-os-safety,semantic,142,622,True,False,visible_operation_rule_score_then_width,0.1,0.4772,0.3772,6.2384,0.6366,0.0112,-0.6254,docs/visexp/out/operation-rank-feature-r324/satraj_unsafe-semantic-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/satraj_unsafe-semantic-op-features.json
satraj_unsafe,satraj-os-safety,coarse,22,622,True,False,visible_operation_rule_score_then_width,0.0995,0.6081,0.5086,1.955,0.8261,0.038,-0.7881,docs/visexp/out/operation-rank-feature-r324/satraj_unsafe-coarse-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/satraj_unsafe-coarse-op-features.json
agentnet_incorrect_step,agentnet,semantic,289,874,True,False,visible_operation_rule_score_then_width,0.0687,0.0847,0.016,2.501,0.0821,0.0001,-0.082,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-semantic-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-semantic-op-features.json
agentnet_incorrect_step,agentnet,coarse,43,874,True,False,visible_operation_rule_score_then_width,0.065,0.077,0.012,1.1263,0.133,0.0123,-0.1207,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-coarse-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-coarse-op-features.json
agentnet_redundant_step,agentnet,semantic,260,733,True,False,visible_operation_rule_score_then_width,0.0863,0.0874,0.0011,0.8679,0.0948,0.0051,-0.0897,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-semantic-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-semantic-op-features.json
agentnet_redundant_step,agentnet,coarse,42,733,True,False,visible_operation_rule_score_then_width,0.0773,0.0772,-0.0001,-0.0425,0.1738,0.0463,-0.1275,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-coarse-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-coarse-op-features.json
osworld_group_start,osworld-human,semantic,173,764,True,False,visible_operation_rule_score_then_width,0.2218,0.2214,-0.0004,-0.1277,0.1331,0.1311,-0.002,docs/visexp/out/operation-rank-feature-r324/osworld_group_start-semantic-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/osworld_group_start-semantic-op-features.json
osworld_group_start,osworld-human,coarse,32,764,True,False,visible_operation_rule_score_then_width,0.1945,0.186,-0.0085,-0.1459,0.4024,0.4024,0.0,docs/visexp/out/operation-rank-feature-r324/osworld_group_start-coarse-op-features-profile-spec.json,docs/visexp/out/operation-rank-feature-r324/osworld_group_start-coarse-op-features.json
