task,dataset,stack_kind,groups,positives,width_ap,op_feature_ap,delta_ap,width_top5_lift,op_feature_top5_lift,delta_top5_lift,width_first_positive_work,op_feature_first_positive_work,delta_first_positive_work
agentreward_looping,agent-reward-bench,semantic,40,504,0.7653,0.8808,0.1155,1.0359,1.3179,0.282,0.2058,0.2058,0.0
agentreward_looping,agent-reward-bench,coarse,16,504,0.6633,0.8174,0.1541,1.0075,1.2009,0.1934,0.3539,0.1399,-0.214
agentreward_side_effect,agent-reward-bench,semantic,40,202,0.3661,0.3947,0.0286,1.0559,0.7831,-0.2728,0.2058,0.0645,-0.1413
agentreward_side_effect,agent-reward-bench,coarse,16,202,0.3909,0.4252,0.0343,0.8618,1.2381,0.3763,0.3539,0.0933,-0.2606
satraj_unsafe,satraj-os-safety,semantic,142,622,0.1,0.4772,0.3772,0.0,6.2384,6.2384,0.6366,0.0112,-0.6254
satraj_unsafe,satraj-os-safety,coarse,22,622,0.0995,0.6081,0.5086,0.3386,2.2936,1.955,0.8261,0.038,-0.7881
agentnet_incorrect_step,agentnet,semantic,289,874,0.0687,0.0847,0.016,1.1075,3.6085,2.501,0.0821,0.0001,-0.082
agentnet_incorrect_step,agentnet,coarse,43,874,0.065,0.077,0.012,1.1017,2.228,1.1263,0.133,0.0123,-0.1207
agentnet_redundant_step,agentnet,semantic,260,733,0.0863,0.0874,0.0011,1.1159,1.9838,0.8679,0.0948,0.0051,-0.0897
agentnet_redundant_step,agentnet,coarse,42,733,0.0773,0.0772,-0.0001,1.101,1.0585,-0.0425,0.1738,0.0463,-0.1275
osworld_group_start,osworld-human,semantic,173,764,0.2218,0.2214,-0.0004,1.0417,0.914,-0.1277,0.1331,0.1311,-0.002
osworld_group_start,osworld-human,coarse,32,764,0.1945,0.186,-0.0085,1.062,0.9161,-0.1459,0.4024,0.4024,0.0
